AREA;Regione;prov;2015_CodCom;NTN_2015_Uffici;NTN_2015_Negozi_Lab;NTN_2015_Depositi_Comm;NTN_2015_TCO_B04;NTN_2015_TCO_D02;NTN_2015_TCO_D05;NTN_2015_TCO_D08;NTN_2015_PRO;NTN_2015_AGR
Centro;Lazio;FR;A032;0;0;0;0;0;0;0;0;0
Centro;Lazio;FR;A054;0;0;0;0;0;0;0;0;1
Centro;Lazio;FR;A081;0;0;0;0;0;0;0;0;0
Centro;Lazio;FR;A123;0;4;4,13;0;0;0;1;0;1
Centro;Lazio;FR;A244;1;1;3,5;0;0;0;0;1;1
Centro;Lazio;FR;A256;0;2;0,5;0;0;0;0;0;0
Centro;Lazio;FR;A269;1;7;20,32;0;0;0;1;4,5;1
Centro;Lazio;FR;A310;2;12,33;0;0;0;0;0;0;0
Centro;Lazio;FR;A348;0;2;1,67;0;0;0;0;0;0
Centro;Lazio;FR;A363;0;5;1,33;0;0;0;0;0;0
Centro;Lazio;FR;A421;0;0;0,75;0;0;0;0;0;0
Centro;Lazio;FR;A433;0;1;3;0;0;0;0;0;0
Centro;Lazio;FR;A486;1;0;2;0;0;0;1;0;0
Centro;Lazio;FR;A502;0;0;1,58;0;0;0;0;3;0
Centro;Lazio;FR;A720;0;3;1;0;0;0;0;0;0
Centro;Lazio;FR;A763;0;0;0;0;0;0;0;0;0
Centro;Lazio;FR;B195;0;0;0,22;0;0;0;0;2;0
Centro;Lazio;FR;B543;0;0;0;0;0;0;0;0;0
Centro;Lazio;FR;B862;0;0;0;0;0;0;0;0;0
Centro;Lazio;FR;B919;0;0;1;0;0;0;0;1;0
Centro;Lazio;FR;C034;6;15,96;15,76;0;0,5;0;19;3;0
Centro;Lazio;FR;C177;0;0;0;0;0;0;0;0;0
Centro;Lazio;FR;C223;0;0;0;0;0;0;0;0;0
Centro;Lazio;FR;C338;0;0;1;0;0;0;0;0;0
Centro;Lazio;FR;C340;0;1;1;0;0;0;0;0;0
Centro;Lazio;FR;C413;2;12;4;0;0;0;0;0;0
Centro;Lazio;FR;C479;1;4;1,67;0;0;0;0;0;0
Centro;Lazio;FR;C545;0;0;0;0;0;0;0;0;0
Centro;Lazio;FR;C836;0;0;0;0;0;0;0;0;0
Centro;Lazio;FR;C864;0;0;1;0;0;0;0;0;0
Centro;Lazio;FR;C870;0;0;0;0;0;0;0;0;0
Centro;Lazio;FR;C998;0;0;1;0;0;0;0;0;0
Centro;Lazio;FR;D440;0;0;2;0;0;0;0;2;0
Centro;Lazio;FR;D483;0;0;2;0;0;0;0;1;0
Centro;Lazio;FR;D539;0;3;8,22;0;0;0;0;6;0
Centro;Lazio;FR;D591;0;0;3;0;0;0;0;0;0
Centro;Lazio;FR;D667;0;0;1;0;0;0;0;0;0
Centro;Lazio;FR;D682;0;0;1,5;0;0;0;0;0;0
Centro;Lazio;FR;D810;9;21;5,75;0;0;0;2;3;0
Centro;Lazio;FR;D819;0;0;0;0;0;0;0;0;0
Centro;Lazio;FR;D881;0;0;1;0;0;0;0;0;0
Centro;Lazio;FR;E057;0;0;1,86;0;0;0;0;0;0
Centro;Lazio;FR;E236;0;0;0;0;0;0;0;0;0
Centro;Lazio;FR;E340;1;9;4,11;0;0;0;1;6;0
Centro;Lazio;FR;F620;0;6,33;2;0;0;0;0;1;0
Centro;Lazio;FR;F740;0;1;2,5;0;0;0;0;0;0
Centro;Lazio;FR;G276;0;2;4;0;0;0;0;0;0
Centro;Lazio;FR;G362;0;0;1;0;0;0;0;0;0
Centro;Lazio;FR;G374;0;1;1;0;0;0;0;8;0
Centro;Lazio;FR;G500;0;0;0;0;0;0;0;0;0
Centro;Lazio;FR;G591;0;0;0;0;0;0;0;0;0
Centro;Lazio;FR;G592;0;2;1;0;0;0;0;0;0
Centro;Lazio;FR;G598;1;3;2;0;0;0;0;2;0
Centro;Lazio;FR;G659;0;0;3;0;0;0;0;0;0
Centro;Lazio;FR;G662;0;0;0;0;0;0;0;0;0
Centro;Lazio;FR;G749;0;2;1;0;0;0;0;4;0
Centro;Lazio;FR;G838;1;2,75;2,35;0;0;0;0;3;0
Centro;Lazio;FR;G935;0;0;0;0;0;0;0;0;0
Centro;Lazio;FR;H324;0;0,67;1,5;0;0;0;0;0;0
Centro;Lazio;FR;H393;0;2;0;0;0;0;0;0;0
Centro;Lazio;FR;H443;0;3;3,5;0;0;0;3;1;0
Centro;Lazio;FR;H779;0;0;0;0;0;0;0;0;0
Centro;Lazio;FR;H824;0;2;1,5;0;0;0;0;0;0
Centro;Lazio;FR;H880;0;3;1;0;0;0;2;0;0
Centro;Lazio;FR;H917;0;0;0;0;0;0;0;0;0
Centro;Lazio;FR;I256;0;0;0;0;0;0;0;0;0
Centro;Lazio;FR;I265;0;1;0;0;0;0;0;0;0
Centro;Lazio;FR;I302;0;0;0;0;0;0;0;0;0
Centro;Lazio;FR;I321;0;0;2,17;0;0;0;0;0;0
Centro;Lazio;FR;I351;0;0;0,17;0;0;0;0;0;0
Centro;Lazio;FR;I364;0;1;1;0;0;0;0;0;0
Centro;Lazio;FR;I408;0;0;0;0;0;0;0;0;0
Centro;Lazio;FR;I669;0;1,2;2,5;0;0;0;0;0;0
Centro;Lazio;FR;I697;0;0;0;0;0;0;0;0;0
Centro;Lazio;FR;I716;0;0;2;0;0;0;0;0;0
Centro;Lazio;FR;I838;1;8,78;3,07;0;0;0;1;2;0
Centro;Lazio;FR;I973;0;0;0;0;0;0;0;0;0
Centro;Lazio;FR;L009;1;0;0,89;0;0;0;0;0;0
Centro;Lazio;FR;L105;0;0;0;0;0;0;0;0;0
Centro;Lazio;FR;L243;0;0,8;0;0;0;0;0;0;0
Centro;Lazio;FR;L290;1;0;1,25;0;0;0;0;0;0
Centro;Lazio;FR;L398;0;0;4,13;0;0;0;0;0;0
Centro;Lazio;FR;L437;0;0;0;0;0;0;0;0;0
Centro;Lazio;FR;L598;0;1;1;0;0;0;0;0;0
Centro;Lazio;FR;L605;0;0;0;0;0;0;0;0;0
Centro;Lazio;FR;L614;0;0;0;0;0;0;0;0;0
Centro;Lazio;FR;L780;3;3,5;9,17;0;0;0;0;0;0
Centro;Lazio;FR;L836;0;0;0;0;0;0;0;0;0
Centro;Lazio;FR;L843;0;0;1;0;0;0;0;0;0
Centro;Lazio;FR;L905;0;0;1;0;0;0;0;1;0
Centro;Lazio;FR;M083;0;0;0;0;0;0;0;0;0
Centro;Lazio;LT;A341;10;20,5;55,24;0;0;0;3;18;3,5
Centro;Lazio;LT;A707;0;1;0;0;0;0;0;0;0
Centro;Lazio;LT;B527;0;0;0;0;0;0;0;0;0
Centro;Lazio;LT;C104;0;0;1;0;0;0;0;0;0
Centro;Lazio;LT;C740;3;9;16,61;0;0;0;0;6;3
Centro;Lazio;LT;D003;0;3;13,57;0,5;0;0;0;0;0
Centro;Lazio;LT;D662;2;9;30,06;0;0;0;2;0;0
Centro;Lazio;LT;D708;0;13,33;23,57;0;0;0;0;6;0
Centro;Lazio;LT;D843;0;6,33;16,7;0;0;0;1;0;0
Centro;Lazio;LT;E375;0;1;2;0;0;0;0;0;0
Centro;Lazio;LT;E472;32;61,8;41,67;0;0;0;2;3;1
Centro;Lazio;LT;E527;0;1;1;0;0;0;0;0;0
Centro;Lazio;LT;E798;0;0;0;0;0;0;0;0;0
Centro;Lazio;LT;F224;0;4;9,51;0;0;0;0;2;0
Centro;Lazio;LT;F616;0;1;7;0;0;0;0;0;0
Centro;Lazio;LT;F937;0;4;4,33;0;0;0;0;0;0
Centro;Lazio;LT;G698;0;1,5;5,5;0;0;0,25;0;0;0
Centro;Lazio;LT;G865;4;0,33;12,66;0;0;0;0;1;1
Centro;Lazio;LT;G871;0;0;0;0;0;0;0;0;0
Centro;Lazio;LT;H076;0;0;2;0;0;0;0;0;0
Centro;Lazio;LT;H413;0;1;6;0;0;0;0;0;0
Centro;Lazio;LT;H421;0;0;1;0;0;0;0;0;0
Centro;Lazio;LT;H444;0;0;0;0;0;0;0;0;0
Centro;Lazio;LT;H647;2;5,25;15,07;0;0;0;1;3,66;0,83
Centro;Lazio;LT;H836;0;2,5;3;0;0;0;0;0;0
Centro;Lazio;LT;I339;0;0;5,63;0;0;0;2;0;0
Centro;Lazio;LT;I634;0;3;4;0;0;0;1;2;0
Centro;Lazio;LT;I712;0;7;12,07;0;0;0;0;3;0
Centro;Lazio;LT;I832;0;2;3,4;0;0;0;0;0;0
Centro;Lazio;LT;I892;0;1,5;1;0;0;0;0;0;0
Centro;Lazio;LT;I902;1;0;0;0;0;0;0;1;0
Centro;Lazio;LT;L120;2;23,25;22,87;0;0;0;3,5;2;1
Centro;Lazio;LT;L742;0;0;0;0;0;0;0;0;0
Centro;Lazio;RI;A019;0;0;6;0;0;0;0;0;0
Centro;Lazio;RI;A258;0;2;6,5;0;0;0;0;0;0
Centro;Lazio;RI;A315;0;1;2;0;0;0;0;0;0
Centro;Lazio;RI;A464;0;0;0;0;0;0;0;0;0
Centro;Lazio;RI;A472;0;2,5;3;0;0;0;0;0;0
Centro;Lazio;RI;A765;0;0;1;0;0;0;0;0;0
Centro;Lazio;RI;A981;0;0;1,5;0;0;0;0;0;0
Centro;Lazio;RI;A996;0;0;0;0;0;0;0;0;0
Centro;Lazio;RI;B008;0;0;7,5;0;0;0;0;0;0
Centro;Lazio;RI;B595;0;0;3;0;0;0;0;0;0
Centro;Lazio;RI;B627;0;0;8,94;0;0;0;0;0;0
Centro;Lazio;RI;B631;0;1;4;0;0;0;0;0;0
Centro;Lazio;RI;B934;0;0;0;0;0;0;0;0;0
Centro;Lazio;RI;C098;0;0;0;0;0;0;0;0;0
Centro;Lazio;RI;C224;0;0;1;0;0;0;0;0;0
Centro;Lazio;RI;C268;0;0;1;0;0;0;0;0;0
Centro;Lazio;RI;C746;0;3;2,17;0;0;0;1;8;0
Centro;Lazio;RI;C749;0;0;0;0;0;0;0;0;0
Centro;Lazio;RI;C841;0;0;1;0;0;0;0;0;0
Centro;Lazio;RI;C857;0;0;0;0;0;0;0;0;0
Centro;Lazio;RI;C859;0;0;1;0;0;0;0;0;0
Centro;Lazio;RI;C876;0;1;5,47;0;0;0;0;0;0
Centro;Lazio;RI;C880;0;0;0;0;0;0;0;0;0
Centro;Lazio;RI;C946;0;0;1;0;0;0;0;0;0
Centro;Lazio;RI;C959;0;0;3;0;0;0;0;0;0
Centro;Lazio;RI;C969;0;1;2;0;0;0;0;0;0
Centro;Lazio;RI;D124;0;0;0;0;0;0;0;0;0
Centro;Lazio;RI;D493;1;2;6,33;0;0;0;0;0,5;0
Centro;Lazio;RI;D560;0;1;2;0;0;0;0;0;0
Centro;Lazio;RI;D689;0;0;0;0;0;0;0;0;0
