AREA;REGIONE;PROVINCIA;2021_CodCom;NTN 2021 fino a 50 mq;NTN  2021 50 -| 85 mq;NTN 2021 85 -| 115 mq;NTN  2021 115 -| 145 mq;NTN  2021 oltre 145 mq;NTN 2021
Sud;Campania;CE;A106;0,5;0,98;0;2;5;8,48
Nord Ovest;Piemonte;BI;A107;0;0;0;1,33;2;3,33
Nord Ovest;Valle d'Aosta;AO;A108;5;9,5;5;3;0,5;23
Nord Ovest;Piemonte;TO;A109;6;19,5;13,5;4;14,5;57,5
Sud;Campania;BN;A110;10;5;7;3,17;17;42,17
Nord Ovest;Liguria;IM;A111;6;5;6;4;1;22
Nord Ovest;Lombardia;LC;A112;1;13,4;11;2,5;6,33;34,23
Nord Ovest;Piemonte;CN;A113;1;1,67;5,25;0;2;9,92
Isole;Sardegna;SS;A115;0;1;1;0,55;2;4,55
Nord Ovest;Piemonte;TO;A117;9;14;5;1;4;33
Nord Ovest;Lombardia;PV;A118;0;1;1;3;11,15;16,15
Nord Ovest;Piemonte;VC;A119;2,5;12;8,16;2;2;26,66
Sud;Abruzzo;PE;A120;0;4;1,5;3,5;8,17;17,17
Nord Est;Veneto;BL;A121;1;3;6,5;5,5;12,17;28,17
Nord Ovest;Liguria;SV;A122;50;172,54;116,33;37,33;27,06;403,26
Centro;Lazio;FR;A123;2;20;33,77;24,17;54,5;134,44
Nord Ovest;Piemonte;CN;A124;39;175,62;120,32;58,5;70;463,44
Sud;Abruzzo;TE;A125;69,75;216,55;71;35,67;12,34;405,31
Isole;Sardegna;OR;A126;0;0;0;0;1;1
Nord Ovest;Lombardia;MI;A127;4;20,5;29;12,5;6;72
Sud;Campania;SA;A128;7;5;5;3;10,28;30,28
Nord Ovest;Lombardia;BG;A129;4;37;49,47;31,66;17;139,13
Nord Ovest;Piemonte;VC;A130;0,33;1,33;1;1;1,33;4,99
Sud;Basilicata;PZ;A131;1;0,5;2;1;1,5;6
Centro;Lazio;RM;A132;34,33;149,46;133,42;67,89;54,93;440,03
Nord Ovest;Lombardia;PV;A134;0;1;0,5;0;2;3,5
Nord Ovest;Lombardia;SO;A135;4;2,08;6;0;1;13,08
Nord Est;Veneto;VR;A137;2;6;15,5;8;29,42;60,92
Nord Est;Emilia-Romagna;PR;A138;1;7,25;12,33;6,75;16,58;43,91
Nord Ovest;Piemonte;CN;A139;1;0;0;0;3;4
Nord Ovest;Lombardia;CO;A143;12;23,33;13;8,78;20,83;77,94
Nord Ovest;Liguria;SV;A145;63,94;130,4;70,17;26,2;22,5;313,21
Nord Ovest;Piemonte;AL;A146;2,5;1;4;2;1;10,5
Sud;Puglia;BA;A149;10,5;21,31;15;15;8;69,81
Sud;Puglia;FG;A150;2;7;3,22;1;0;13,22
Nord Ovest;Lombardia;CO;A153;2;11;14,5;7;12,33;46,83
Nord Est;Veneto;VI;A154;2;3;1;6;17,22;29,22
Sud;Calabria;CZ;A155;1;1;1;0;0;3
Nord Ovest;Piemonte;TO;A157;0;0;3,75;2;6,5;12,25
Nord Ovest;Lombardia;MI;A159;9;39,39;30,25;28;12;118,64
Sud;Calabria;CS;A160;0;1;2;0;0;3
Nord Est;Veneto;PD;A161;15;80,39;126,87;120,25;178,99;521,5
Nord Est;Emilia-Romagna;RE;A162;1;13,44;24,83;14,28;39,51;93,06
Nord Ovest;Lombardia;BG;A163;16,17;67,65;79,98;49,86;58,25;271,91
Nord Ovest;Lombardia;CO;A164;1;10,7;13;10;6;40,7
Nord Ovest;Liguria;SV;A165;10;44,12;16,5;10;9;89,62
Nord Ovest;Liguria;SV;A166;20,5;94,21;62,23;18,5;12;207,44
Nord Ovest;Lombardia;VA;A167;1;19,07;13,89;4;17;54,96
Nord Ovest;Lombardia;PV;A171;0;0;1;0;7;8
Nord Ovest;Lombardia;SO;A172;6,67;7;6,67;10,5;8,33;39,17
Nord Ovest;Piemonte;AT;A173;0;1;3;2;5;11
Nord Ovest;Lombardia;PV;A175;5;19,17;20,17;7,33;13,5;65,17
Isole;Sicilia;TP;A176;43,16;116,72;139,15;114,32;84,55;497,9
Isole;Sicilia;ME;A177;1;0;0;0;2,92;3,92
Isole;Sardegna;OR;A180;0;0;1;2;5,5;8,5
Isole;Sicilia;AG;A181;4;3;2;6;5;20
Nord Ovest;Piemonte;AL;A182;89,06;440,27;330,41;163,18;249,76;1272,68
Sud;Calabria;CS;A183;1;1;1;0;1;4
Sud;Puglia;LE;A184;1;9,83;7;6,33;15,09;39,25
Sud;Puglia;LE;A185;13;14,42;24,25;18,25;17,92;87,84
Sud;Campania;SA;A186;0;1;0;0;0,5;1,5
Sud;Abruzzo;AQ;A187;10;29,33;8,5;1;0;48,83
Nord Ovest;Lombardia;BS;A188;1;0;5;2;8,83;16,83
Nord Ovest;Piemonte;AL;A189;1;0;0;1;13,47;15,47
Nord Est;Emilia-Romagna;RA;A191;4;23;21,5;25,83;54,38;128,71
Isole;Sardegna;SS;A192;121,12;355,97;174,77;89,26;66,85;807,97
Nord Ovest;Lombardia;BG;A193;1,02;3;3,51;1,5;2;11,03
Isole;Sicilia;ME;A194;0;0;0;1;1;2
Isole;Sicilia;PA;A195;7;5;4;2;6,5;24,5
Sud;Basilicata;MT;A196;2;1;1;0;0;4
Nord Ovest;Piemonte;AL;A197;0;0;1;2;7;10
Nord Ovest;Piemonte;VC;A198;1;3;4;2;15;25
Sud;Campania;CE;A200;3;6,78;2;5;14,5;31,28
Isole;Sicilia;ME;A201;1,5;11,08;8;2,33;1;23,91
Isole;Sicilia;PA;A202;0;0,86;3;1;8,03;12,89
Isole;Sicilia;PA;A203;1;0;0,67;1;1;3,67
Isole;Sardegna;OR;A204;0;0;1;0;1;2
Nord Ovest;Valle d'Aosta;AO;A205;0;0;1;0;0;1
Nord Est;Veneto;BL;A206;8,5;25;9,87;3,8;2;49,17
Centro;Umbria;TR;A207;0;2;1,75;3;2,67;9,42
Sud;Puglia;LE;A208;7;19;15,9;19,5;9;70,4
Centro;Lazio;RM;A210;4;14,5;5,34;3;0;26,84
Nord Ovest;Lombardia;BG;A214;4,5;31,5;30,16;5;6;77,16
Nord Ovest;Lombardia;BG;A215;2;9,33;23,02;18,8;16;69,15
Nord Ovest;Lombardia;BG;A216;3;24,21;23,01;26,28;18,55;95,05
Nord Ovest;Lombardia;BG;A217;0,6;12;11,49;9,67;18,67;52,43
Nord Ovest;Piemonte;TO;A218;7;16,65;18,5;15,5;34,8;92,45
Nord Est;Veneto;VI;A220;0;5;1,33;3,66;8,28;18,27
Nord Ovest;Piemonte;TO;A221;4;7;6;1;1;19
Nord Ovest;Piemonte;TO;A222;11;88,67;63,75;21,5;56,57;241,49
Nord Est;Emilia-Romagna;PC;A223;1,17;13,33;25,13;12,5;20,28;72,41
Nord Ovest;Lombardia;CO;A224;4;15,28;10;2;4,08;35,36
Sud;Puglia;BA;A225;104,02;214,46;269,02;190,43;108,14;886,07
Nord Ovest;Liguria;SV;A226;2;8;10,17;2;4;26,17
Nord Ovest;Piemonte;AL;A227;0;1;0;1;11,75;13,75
Sud;Campania;AV;A228;3;9;9;1;4;26
Isole;Sicilia;PA;A229;12;26,34;29,75;48,44;67,42;183,95
Sud;Campania;SA;A230;6;4;5,67;3,59;19,63;38,89
Nord Est;Veneto;VI;A231;20;64,57;66,31;31;26,89;208,77
Centro;Marche;AP;A233;2;22;20,5;7;8;59,5
Sud;Calabria;CS;A234;0,5;1;1;0;1;3,5
Sud;Abruzzo;CH;A235;0;3;6;8;3;20
Nord Est;Veneto;VI;A236;2;3,51;8,75;5;3;22,26
Nord Est;Veneto;TV;A237;3;14;20,83;7;21,5;66,33
Nord Ovest;Piemonte;CN;A238;0;1;2;0;0;3
Isole;Sicilia;PA;A239;9;8;12;8;20,5;57,5
Sud;Calabria;CS;A240;0;2;1;2;6;11
Centro;Toscana;LU;A241;6,5;60,5;53;36,67;43;199,67
Centro;Umbria;TR;A242;0;0;5;0;7;12
Sud;Campania;CE;A243;0;0;5;4,3;6,22;15,52
Centro;Lazio;FR;A244;0;7;3;3;13;26
Nord Ovest;Piemonte;AL;A245;0;0;0;0;1;1
Nord Ovest;Lombardia;BG;A246;22;73,66;82,95;40,35;44,46;263,42
Nord Ovest;Lombardia;CO;A249;3;18;27,17;8;9,5;65,67
Sud;Campania;SA;A251;4,37;7,3;5;5,92;6;28,59
Centro;Marche;AP;A252;4;5,5;6,5;4,5;19,16;39,66
Sud;Calabria;CS;A253;6,22;44,33;24,5;30,89;20,33;126,27
Nord Est;Friuli- Venezia Giulia;UD;A254;1;3;1;0;3,5;8,5
Sud;Calabria;CZ;A255;1;3;2;0;1;7
Centro;Lazio;FR;A256;3;5,83;6;4;5;23,83
Sud;Calabria;CZ;A257;3;1;3;0;1;8
Centro;Lazio;RI;A258;10,33;6,55;4,17;2;4,33;27,38
Nord Ovest;Lombardia;BG;A259;0;9;15;3,33;4;31,33
Nord Ovest;Liguria;SP;A261;16,66;34,5;23,5;11;8,58;94,24
Centro;Umbria;TR;A262;6;30,17;52;37,75;39,5;165,42
Sud;Calabria;CS;A263;1;3;7,67;6;3,17;20,84
Nord Ovest;Piemonte;NO;A264;0;3;7;3,5;6;19,5
Sud;Campania;BN;A265;1;2;0;6;8,89;17,89
Nord Est;Friuli- Venezia Giulia;UD;A267;0;2;4,67;0;5;11,67
Sud;Campania;NA;A268;3;9,75;4;4,5;5,5;26,75
Centro;Lazio;FR;A269;7;47;34;29,67;25,5;143,17
Sud;Abruzzo;TE;A270;0;2;3;7,5;3,94;16,44
Centro;Marche;AN;A271;94,77;340,42;401,17;249,22;184,15;1269,73
Sud;Calabria;CZ;A272;0;0;1;0;0;1
Nord Ovest;Lombardia;SO;A273;2,03;1,03;0;0;0,03;3,09
Nord Ovest;Piemonte;TO;A275;0;4;8;5,67;3;20,67
Nord Ovest;Liguria;SV;A278;77,69;126,01;42,5;19;14,94;280,14
Nord Ovest;Piemonte;BI;A280;4,3;7,9;7,86;5,11;11;36,17
Sud;Puglia;LE;A281;2,5;10,67;6;2,5;6;27,67
Nord Ovest;Piemonte;TO;A282;0,67;12,45;4;1;4,5;22,62
Nord Est;Friuli- Venezia Giulia;PN;A283;0;2;1;1;3;7
Sud;Campania;AV;A284;2;2,92;2;0;1;7,92
Sud;Puglia;BA;A285;77,77;214,38;305,38;199,8;133,52;930,85
Isole;Sardegna;SS;A287;1,89;1;1;0,75;1;5,64
Nord Ovest;Lombardia;BS;A288;2;10;3,67;2;3;20,67
Nord Ovest;Lombardia;VA;A290;5;20,5;17,17;14,67;23;80,34
Centro;Toscana;AR;A291;4;9,26;17,42;18,61;28,37;77,66
Nord Est;Veneto;VR;A292;0;1;14;19;20,84;54,84
Nord Ovest;Lombardia;BS;A293;18,83;6;4;4;6;38,83
Sud;Campania;SA;A294;20;32;56;51,93;30,67;190,6
Nord Ovest;Piemonte;TO;A295;3;8;4;6;1;22
Nord Est;Veneto;PD;A296;1;3,67;16,16;7,5;11;39,33
Centro;Lazio;RM;A297;15;56,44;54,08;27,2;46,88;199,6
Nord Ovest;Lombardia;CR;A299;0;4;4,34;7;9;24,34
Nord Ovest;Piemonte;AT;A300;0;1;3,17;5;12;21,17
Nord Ovest;Lombardia;LC;A301;0;5,5;3,5;3;5,5;17,5
Nord Est;Veneto;VE;A302;3;11;9;3,25;9,64;35,89
Sud;Calabria;RC;A303;3;3;2;1;4;13
Nord Ovest;Lombardia;BG;A304;1;7;12;11,5;11,44;42,94
Nord Ovest;Valle d'Aosta;AO;A305;16,47;18,83;4;2;0;41,3
Nord Ovest;Valle d'Aosta;AO;A308;4;4,84;0;0;0;8,84
Centro;Lazio;RM;A309;0;4;2;2;1;9
Centro;Lazio;FR;A310;33,08;54,83;29,78;19,68;19;156,37
Nord Ovest;Piemonte;AT;A312;1;0;4;4;12;21
Isole;Sicilia;ME;A313;1;1,75;3;0;0;5,75
Sud;Calabria;RC;A314;1;1;1;2;1;6
Centro;Lazio;RI;A315;4,5;8;7,5;3;5,16;28,16
Nord Ovest;Piemonte;VB;A317;0;3;2,67;4,75;1;11,42
Sud;Abruzzo;AQ;A318;0;5,94;1;0,22;1;8,16
Nord Ovest;Lombardia;CO;A319;1;3;3;2,5;7;16,5
Sud;Puglia;FG;A320;1;3,5;2,67;0;2;9,17
Sud;Basilicata;PZ;A321;1;3;1;1;0;6
Centro;Lazio;RM;A323;70,17;408,06;443,41;237,65;186,19;1345,48
Nord Est;Emilia-Romagna;BO;A324;6;70,1;57,17;24,15;27,05;184,47
Nord Ovest;Piemonte;VB;A325;0;0;0;2;0;2
Nord Ovest;Valle d'Aosta;AO;A326;47,29;140,35;130,43;43,62;24,96;386,65
Centro;Marche;PS;A327;0;4;2;2;7,76;15,76
Sud;Campania;BN;A328;1;6;6,75;9;21,33;44,08
Centro;Marche;MC;A329;1;3;4;1;4,33;13,33
Sud;Campania;BN;A330;2;3,33;2;0,25;0;7,58
Nord Ovest;Lombardia;CO;A333;4,08;26;32,13;16,91;27,67;106,79
Centro;Marche;MC;A334;3;2;13;5;8,94;31,94
Centro;Marche;AP;A335;0;1;6;0,5;1;8,5
Nord Ovest;Lombardia;SO;A337;39,48;45,55;6,25;3,25;0;94,53
Nord Ovest;Liguria;IM;A338;3;7,5;1,5;3;5;20
Sud;Puglia;FG;A339;14,33;17,25;37,5;21;19,67;109,75
Sud;Calabria;CS;A340;0;4;2;4;9,17;19,17
Centro;Lazio;LT;A341;24;246,78;254,82;133,71;120,1;779,41
Sud;Campania;SA;A343;1;3;3;2;5;14
Nord Ovest;Liguria;IM;A344;1,67;1,67;0;0;1,67;5,01
Sud;Abruzzo;AQ;A345;50,09;174,88;195,06;161,75;161,12;742,9
Sud;Campania;AV;A347;1,75;1;5,75;3,3;1,5;13,3
Centro;Lazio;FR;A348;0;5,5;7,67;3,97;8,83;25,97
Sud;Puglia;LE;A350;9,49;22;9,25;13;12,59;66,33
Isole;Sicilia;AG;A351;6,5;19,78;8,5;16,75;16;67,53
Nord Ovest;Piemonte;AT;A352;0;0;0;1;10;11
Nord Est;Friuli- Venezia Giulia;PN;A354;0;0;1;1;9,33;11,33
Isole;Sardegna;NU;A355;10,61;64,41;34,5;14,29;23,31;147,12
Isole;Sardegna;OR;A357;0;1;9,67;7,08;19,11;36,86
Nord Ovest;Piemonte;VC;A358;1;1;2;3,5;5;12,5
Isole;Sardegna;CA;A359;24;24,66;16,92;12,75;12,6;90,93
Nord Est;Veneto;TV;A360;0;9;16;7,5;20,17;52,67
Centro;Lazio;FR;A363;1;2,17;9,5;15;15,94;43,61
Nord Ovest;Lombardia;BG;A365;2;14,5;27,5;11,58;15;70,58
Centro;Marche;AN;A366;5;13;6,11;12,22;25,98;62,31
Sud;Abruzzo;CH;A367;1;3;2;3;4;13
Isole;Sardegna;OR;A368;0;0;1;2,67;2,58;6,25
Centro;Toscana;GR;A369;97,69;94;15,5;11,75;17,44;236,38
Centro;Lazio;RM;A370;10;29;13;9;6,5;67,5
Nord Ovest;Lombardia;VA;A371;10,5;30,22;36,97;19,67;19,22;116,58
Nord Ovest;Liguria;SP;A373;9,5;53;49,66;22,61;14,63;149,4
Nord Est;Veneto;VR;A374;3;8;16,5;17,5;32,5;77,5
Nord Ovest;Lombardia;MI;A375;2;18,17;25,09;23;21;89,26
Nord Ovest;Lombardia;MI;A376;33,14;79,21;101,78;42,3;31,17;287,6
Nord Est;Veneto;VI;A377;8,5;17,53;14,03;23,2;35,1;98,36
Isole;Sardegna;SS;A379;0;0;2;1;2;5
Isole;Sardegna;OR;A380;0;0;0;0;3;3
Nord Ovest;Lombardia;SO;A382;1;12;6,67;6,17;3,5;29,34
Nord Ovest;Lombardia;BG;A383;10,83;25,41;10;9;8,5;63,74
Sud;Calabria;RC;A385;2,5;9,75;19,25;6,5;12;50
Sud;Calabria;VV;A386;0;3;0;1;2;6
Nord Ovest;Lombardia;PV;A387;0;1;1;3;9,43;14,43
Nord Ovest;Liguria;GE;A388;27;83,83;58,76;31,7;30;231,29
Nord Ovest;Lombardia;MI;A389;16,5;65,53;101;48,5;66,48;298,01
Centro;Toscana;AR;A390;41,75;248,5;303,08;240,18;225,52;1059,03
Nord Ovest;Lombardia;CO;A391;3;12;4;7;10;36
Nord Est;Emilia-Romagna;BO;A392;6,25;48,8;49,3;14;20,5;138,85
Nord Est;Emilia-Romagna;FE;A393;5;60,25;82,31;63,5;95,16;306,22
Nord Ovest;Piemonte;CN;A394;12;8,67;3;0;0;23,67
Nord Ovest;Piemonte;CN;A396;0;0;2;0;1;3
Sud;Calabria;CZ;A397;0;0;0;0;0;0
Sud;Abruzzo;CH;A398;1;4,16;1;3;4;13,16
Sud;Campania;AV;A399;9,67;23,92;27,03;34,84;37,61;133,07
Nord Est;Veneto;RO;A400;1;4;6;6;7,5;24,5
Centro;Lazio;RM;A401;9,05;42,71;49,76;26,27;25,01;152,8
Sud;Abruzzo;CH;A402;0;1;2;1;0,33;4,33
Sud;Campania;CE;A403;5;7,4;8,5;8,68;7;36,58
Nord Ovest;Piemonte;TO;A405;1;0;3;2;9;15
Isole;Sardegna;NU;A407;0,88;1;2,67;0;1,88;6,43
Nord Ovest;Piemonte;VB;A409;3,74;4;10;6,89;17;41,63
Centro;Lazio;VT;A412;0;3;5;4;4;16
Nord Ovest;Lombardia;MI;A413;21,55;69,94;48,94;15,75;22,57;178,75
Nord Ovest;Piemonte;NO;A414;4;9;9,17;7;8;37,17
Sud;Basilicata;PZ;A415;2;0;3;1;1;7
Nord Ovest;Liguria;IM;A418;0;1;1;2;0;4
Isole;Sardegna;CA;A419;0;2;0;0;1,33;3,33
Centro;Lazio;FR;A421;1;0;0;1;1;3
Nord Ovest;Liguria;SV;A422;0;1;5;2;0;8
Nord Ovest;Valle d'Aosta;AO;A424;1;1;0;1;1;4
Sud;Puglia;LE;A425;2;5;11;2;5,5;25,5
Nord Ovest;Piemonte;VB;A427;0;1;1;3;1;6
Nord Ovest;Piemonte;NO;A429;14;81,66;89,84;52,81;42,5;280,81
Nord Ovest;Lombardia;CO;A430;2;22,5;23;16;9;72,5
Sud;Campania;BN;A431;0;1;3;3;6;13
Sud;Campania;BN;A432;0;4,67;0;2;3;9,67
Centro;Lazio;FR;A433;7;11;6,99;10;26,12;61,11
Nord Est;Veneto;PD;A434;0;8;3;4;15;30
Nord Est;Veneto;RO;A435;0;5;8;5,5;10;28,5
Nord Ovest;Piemonte;AL;A436;0;14;34,67;16,83;16,16;81,66
Centro;Marche;AP;A437;4,72;6;3,89;3;2,08;19,69
Nord Est;Veneto;PD;A438;0,5;3;6;5,5;13;28
Centro;Umbria;TR;A439;3,34;3;4;2;4,62;16,96
Nord Ovest;Lombardia;BG;A440;1;8;12,5;12,51;9,4;43,41
Nord Ovest;Lombardia;VA;A441;4;20,33;8;6,83;11,5;50,66
Nord Est;Veneto;BL;A443;4;14,94;7,83;8,5;15,94;51,21
Nord Est;Veneto;VI;A444;1,5;6;11;8,5;11,7;38,7
Sud;Abruzzo;TE;A445;0;0;0;0;0;0
Centro;Lazio;RM;A446;3;1,67;4,5;1;1,5;11,67
Nord Est;Friuli- Venezia Giulia;UD;A447;4,5;8;3;2;6;23,5
Nord Est;Friuli- Venezia Giulia;UD;A448;2;4;10,5;6;17;39,5
Centro;Lazio;RM;A449;5;26,5;29,17;13;13,5;87,17
Nord Ovest;Lombardia;BS;A451;18,5;41,45;16,5;5;11,03;92,48
Nord Ovest;Valle d'Aosta;AO;A452;2;3;1;1;0;7
Isole;Sardegna;SS;A453;53,91;136,78;74,49;45,47;77,25;387,9
Isole;Sardegna;NU;A454;0;0;2;0;1;3
Sud;Campania;NA;A455;30;37,23;47,67;40,79;21;176,69
Nord Est;Veneto;PD;A458;3,5;10;11;9;23,25;56,75
Nord Est;Veneto;VI;A459;12;70,5;83,11;56,8;88,76;311,17
Sud;Campania;SA;A460;9,83;33,93;27,5;7;6,4;84,66
Centro;Toscana;SI;A461;5,5;14;29,75;18,75;18,75;86,75
Centro;Marche;AP;A462;10;102,69;130,82;108,61;80,17;432,29
Sud;Puglia;FG;A463;4;12,07;21,75;9,08;5,1;52
Centro;Lazio;RI;A464;5;3;1,75;0;1;10,75
Nord Est;Veneto;VI;A465;16;80,28;49,38;19,58;23,18;188,42
Nord Ovest;Piemonte;VC;A466;0;3,5;4,25;6;2;15,75
Nord Est;Veneto;VI;A467;0;1;1;0,08;7,16;9,24
Centro;Toscana;SI;A468;3;21;30,82;29,77;43,5;128,09
Nord Ovest;Lombardia;MN;A470;3,11;39,39;29,57;15;38,77;125,84
Nord Est;Veneto;TV;A471;3;30;16;11;22,08;82,08
Centro;Lazio;RI;A472;0;4;5;1;2,5;12,5
Nord Ovest;Lombardia;MI;A473;10;63;55,81;18;21,5;168,31
Isole;Sardegna;CA;A474;6;78;71,5;29,78;31,24;216,52
Centro;Umbria;PG;A475;24,47;67,2;79,37;53,17;73,24;297,45
Nord Ovest;Lombardia;CO;A476;2,5;17,5;10;7,67;12;49,67
Isole;Sardegna;OR;A477;0;0;0;0;0,14;0,14
Isole;Sicilia;EN;A478;5,18;9;8,5;7,75;3;33,43
Nord Ovest;Piemonte;AT;A479;61,25;322,16;306,51;113,5;170,61;974,03
Isole;Sardegna;OR;A480;0;0;0;1;0,5;1,5
Sud;Abruzzo;AQ;A481;0;17;1,25;2;4;24,25
Sud;Basilicata;PZ;A482;7;8;7,5;11;4,75;38,25
Sud;Campania;SA;A484;0;1;1,67;6;8;16,67
Sud;Abruzzo;CH;A485;4;13;11;10;24,5;62,5
Centro;Lazio;FR;A486;4;9;6,5;6;10,84;36,34
Sud;Campania;SA;A487;2;1;0;1,13;0;4,13
Sud;Abruzzo;TE;A488;4;14,05;21,33;16;17;72,38
Sud;Campania;AV;A489;1,06;12;21;19;19,06;72,12
Centro;Umbria;TR;A490;0;5,67;4;4;8;21,67
