AREA;REGIONE;PROVINCIA;2021_CodCom;NTN_2021_Depositi_Pert;NTN_2021_Box
Sud;Abruzzo;CH;L363;0;4
Nord Est;Veneto;VR;L364;14,44;55,66
Centro;Marche;MC;L366;26;47,5
Nord Ovest;Piemonte;CN;L367;0;0
Isole;Sicilia;CT;L369;8,22;140,96
Nord Ovest;Lombardia;BS;L372;8,75;46,34
Sud;Campania;SA;L377;5,5;0
Sud;Campania;CE;L379;6;90,98
Nord Ovest;Lombardia;BS;L380;1;48,76
Nord Est;Friuli- Venezia Giulia;UD;L382;2;8
Sud;Puglia;LE;L383;5;26,17
Centro;Toscana;SI;L384;3;8,5
Centro;Toscana;MS;L386;13,84;3
Nord Ovest;Lombardia;BG;L388;20,32;118,28
Nord Ovest;Lombardia;CR;L389;2;44,33
Nord Ovest;Lombardia;SO;L392;9;19
Isole;Sardegna;OR;L393;3,67;1
Nord Est;Veneto;VR;L396;3;16,34
Centro;Umbria;PG;L397;14;28,86
Centro;Lazio;FR;L398;3;20
Sud;Campania;AV;L399;1;0
Nord Ovest;Lombardia;BG;L400;129,53;521,75
Centro;Lazio;RM;L401;19,57;38
Nord Est;Veneto;TV;L402;7,75;73,25
Nord Ovest;Piemonte;AL;L403;0;2
Nord Ovest;Lombardia;BG;L404;41,5;162,9
