AREA;Regione;prov;2014_CodFitt;NTN 2014 fino a 50 mq;NTN 2014 50 -| 85 mq;NTN 2014 85 -| 115 mq;NTN 2014 115 -| 145 mq;NTN 2014 oltre 145;NTN 2014
Nord Ovest;Lombardia;VA;B219;0;1;0;0;0;1
Nord Ovest;Lombardia;VA;B228;2;8,3;7;4;3;24,3
Nord Ovest;Lombardia;VA;B258;0;9;4;8,67;6,33;28
Nord Ovest;Lombardia;VA;B300;44,05;233,82;209,67;116,38;99,5;703,42
Nord Ovest;Lombardia;VA;B312;0,5;0;1;1;1;3,5
Nord Ovest;Lombardia;VA;B326;0;7;6,28;4;6,5;23,78
Nord Ovest;Lombardia;VA;B347;0;0;0;4;5;9
Nord Ovest;Lombardia;VA;B368;1;15;5,5;8;5;34,5
Nord Ovest;Lombardia;VA;B634;1;10;15;5,5;5,83;37,33
Nord Ovest;Lombardia;VA;B732;0;3,33;2;2;2;9,33
Nord Ovest;Lombardia;VA;B754;7;51;30,44;14,26;24,67;127,37
Nord Ovest;Lombardia;VA;B796;0;17;13;12,5;6;48,5
Nord Ovest;Lombardia;VA;B805;12,5;85,23;63,08;19,13;18,44;198,38
Nord Ovest;Lombardia;VA;B807;0,67;4,5;2;4,1;6,5;17,77
Nord Ovest;Lombardia;VA;B875;0;9;7,34;4;2;22,34
Nord Ovest;Lombardia;VA;B921;1,5;1,5;2;2;3;10
Nord Ovest;Lombardia;VA;B949;0;1;11;3,42;10,44;25,86
Nord Ovest;Lombardia;VA;B987;0;12,89;7,83;1;7,75;29,47
Nord Ovest;Lombardia;VA;B999;0;0;0;2;0;2
Nord Ovest;Lombardia;VA;C004;2;34,5;62,49;33,64;17,31;149,94
Nord Ovest;Lombardia;VA;C139;9;55,76;58,49;15,22;15,24;153,71
Nord Ovest;Lombardia;VA;C181;2;3;9,83;3;6,22;24,05
Nord Ovest;Lombardia;VA;C273;0;2;0;4;5;11
Nord Ovest;Lombardia;VA;C300;3;12,5;22,84;8;8;54,34
Nord Ovest;Lombardia;VA;C343;2;8;10,5;3;5,5;29
Nord Ovest;Lombardia;VA;C382;1,67;9,28;8,25;8;5;32,2
Nord Ovest;Lombardia;VA;C409;0;0;0,17;1;0;1,17
Nord Ovest;Lombardia;VA;C732;5;27,17;40,83;18,5;12,42;103,92
Nord Ovest;Lombardia;VA;C751;0;2;6;2;5;15
Nord Ovest;Lombardia;VA;C796;3;2;2;1;2,5;10,5
Nord Ovest;Lombardia;VA;C810;1;4;6,5;3,6;6,25;21,35
Nord Ovest;Lombardia;VA;C911;1;0,45;1,67;2;4;9,12
Nord Ovest;Lombardia;VA;C922;0;4;5,5;5;5;19,5
Nord Ovest;Lombardia;VA;D144;0;1;2,5;1;1;5,5
Nord Ovest;Lombardia;VA;D185;1;0;1;2;0;4
Nord Ovest;Lombardia;VA;D192;2;10,5;9;2,5;4,16;28,16
Nord Ovest;Lombardia;VA;D199;1;6,5;6;6,5;2,33;22,33
Nord Ovest;Lombardia;VA;D204;0;2,5;6,17;3;6,34;18,01
Nord Ovest;Lombardia;VA;D217;0;0,83;2;1;1,5;5,33
Nord Ovest;Lombardia;VA;D238;1;2;3;3,5;6,5;16
Nord Ovest;Lombardia;VA;D239;0;1;3;0;1;5
Nord Ovest;Lombardia;VA;D256;0;3;3,5;1;6;13,5
Nord Ovest;Lombardia;VA;D384;1;3,5;6;2,5;3;16
Nord Ovest;Lombardia;VA;D385;0;0;0;1;0;1
Nord Ovest;Lombardia;VA;D467;7;30,68;25,87;14,33;13,99;91,87
Nord Ovest;Lombardia;VA;D543;2;17,5;12,5;2,25;7,33;41,58
Nord Ovest;Lombardia;VA;D551;0;0;1,83;2;2,67;6,5
Nord Ovest;Lombardia;VA;D869;35,75;162,22;131,45;72,58;51,06;453,06
Nord Ovest;Lombardia;VA;D871;0;4;2;0;5;11
Nord Ovest;Lombardia;VA;D946;9;35;23,33;7;9,75;84,08
Nord Ovest;Lombardia;VA;D951;2,75;9;13;2,5;8,33;35,58
Nord Ovest;Lombardia;VA;D963;0;2;4;6,55;6,88;19,43
Nord Ovest;Lombardia;VA;D981;6;31,8;23,17;10;11,66;82,63
Nord Ovest;Lombardia;VA;D987;2;13,67;15,5;4;2;37,17
Nord Ovest;Lombardia;VA;E079;1,75;8,5;7,5;7;4;28,75
Nord Ovest;Lombardia;VA;E101;0;6;9,17;2;4,5;21,67
Nord Ovest;Lombardia;VA;E102;6;20,5;29;3;5,34;63,84
Nord Ovest;Lombardia;VA;E104;2;1;0;2;2;7
Nord Ovest;Lombardia;VA;E144;0;2;0;1,22;2,94;6,16
Nord Ovest;Lombardia;VA;E292;0;1;0,5;4,5;1;7
Nord Ovest;Lombardia;VA;E299;2;22,83;20,34;14,99;15,67;75,83
Nord Ovest;Lombardia;VA;E367;2;14,1;5,6;9;8;38,7
Nord Ovest;Lombardia;VA;E386;2;13,33;4,11;3;8,5;30,94
Nord Ovest;Lombardia;VA;E494;6;20,72;16,85;7,87;9;60,44
Nord Ovest;Lombardia;VA;E496;4,51;32,58;19,78;13,5;10,5;80,87
Nord Ovest;Lombardia;VA;E510;0,5;15,5;9;5;8,25;38,25
Nord Ovest;Lombardia;VA;E529;0;1;4;2,5;1;8,5
Nord Ovest;Lombardia;VA;E665;0;10;17;13,5;7,92;48,42
Nord Ovest;Lombardia;VA;E666;3;22,01;22;15,5;10,17;72,68
Nord Ovest;Lombardia;VA;E707;1;4;6;0,33;3;14,33
Nord Ovest;Lombardia;VA;E734;21,25;43,18;34,48;35,5;20,5;154,91
Nord Ovest;Lombardia;VA;E769;0;1;2;2,75;6;11,75
Nord Ovest;Lombardia;VA;E856;0;4;1,5;3;1,92;10,42
Nord Ovest;Lombardia;VA;E863;4;48,5;51,91;19,17;26,75;150,33
Nord Ovest;Lombardia;VA;E929;2,06;4,66;9,66;6,67;2;25,05
Nord Ovest;Lombardia;VA;E965;2;15;21,5;15;9,3;62,8
Nord Ovest;Lombardia;VA;F002;1;1;0;0;0,5;2,5
Nord Ovest;Lombardia;VA;F007;0;0;1;0;0;1
Nord Ovest;Lombardia;VA;F134;1;12;3;2;0;18
Nord Ovest;Lombardia;VA;F154;1;6,5;1;0;3;11,5
Nord Ovest;Lombardia;VA;F526;2;5;3,5;4;1;15,5
Nord Ovest;Lombardia;VA;F703;1;1,5;4;2,17;4;12,67
Nord Ovest;Lombardia;VA;F711;1;8;5,11;6;9,67;29,78
Nord Ovest;Lombardia;VA;F736;0,5;6,5;12;6,76;9;34,76
Nord Ovest;Lombardia;VA;G008;0;6;8,5;5,5;6,5;26,5
Nord Ovest;Lombardia;VA;G028;5;23;35;27;21;111
Nord Ovest;Lombardia;VA;G103;1;58,75;33;15,41;10,5;118,66
Nord Ovest;Lombardia;VA;G105;0;3;0;0;1;4
Nord Ovest;Lombardia;VA;G906;1;8,5;5;1,5;2;18
Nord Ovest;Lombardia;VA;G907;1,5;11;9,5;3,5;4;29,5
Nord Ovest;Lombardia;VA;H173;1;0;0;1;1;3
Nord Ovest;Lombardia;VA;H174;0;2,5;4;5;7;18,5
Nord Ovest;Lombardia;VA;H723;1;5;7,75;3,5;2,75;20
Nord Ovest;Lombardia;VA;H736;2,5;19,5;28,1;25,84;15,08;91,02
Nord Ovest;Lombardia;VA;H872;0;2;1,5;1;2;6,5
Nord Ovest;Lombardia;VA;I441;18,67;123,6;84,11;57,34;51,08;334,8
Nord Ovest;Lombardia;VA;I688;3;38,4;24,4;11,25;13,5;90,55
Nord Ovest;Lombardia;VA;I793;1;10;9;2;4;26
Nord Ovest;Lombardia;VA;I794;2;13,5;9;9;2;35,5
Nord Ovest;Lombardia;VA;I819;11,5;47,83;47,52;24,95;13,33;145,13
Nord Ovest;Lombardia;VA;L003;2;8,83;5,5;7,39;6,83;30,55
Nord Ovest;Lombardia;VA;L032;0;7;9,5;1;4;21,5
Nord Ovest;Lombardia;VA;L115;0;3;7;4;4;18
Nord Ovest;Lombardia;VA;L319;9;45,21;39,56;30,5;24,75;149,02
Nord Ovest;Lombardia;VA;L342;4;14,5;4;8;5;35,5
Nord Ovest;Lombardia;VA;L480;4,33;33,43;24,06;11,95;7;80,77
Nord Ovest;Lombardia;VA;L577;1;2;2,5;4;7;16,5
Nord Ovest;Lombardia;VA;L671;3,17;6,34;6;4,57;4,5;24,58
Nord Ovest;Lombardia;VA;L682;33,52;206,47;189,52;116,19;123,67;669,37
Nord Ovest;Lombardia;VA;L703;0;12;16;11;21,2;60,2
Nord Ovest;Lombardia;VA;L733;1;10;11,49;3;6,58;32,07
Nord Ovest;Lombardia;VA;L734;3;14,75;20,9;14,17;8,5;61,32
Nord Ovest;Lombardia;VA;L765;4,2;14,5;11,83;11,58;11,17;53,28
Nord Ovest;Lombardia;VA;L876;1,89;12,37;11;2,27;9,5;37,03
Nord Ovest;Lombardia;VA;M101;0;1,98;1;0;0;2,98
Nord Ovest;Lombardia;VA;M339;9;23,5;10,25;8;4,33;55,08
Nord Ovest;Piemonte;AL;A052;1;57;58,11;34,86;21,61;172,58
Nord Ovest;Piemonte;AL;A146;0;0;0;0;0;0
Nord Ovest;Piemonte;AL;A182;32,5;194,31;184,47;97,33;119,17;627,78
Nord Ovest;Piemonte;AL;A189;0;1;2;1;4;8
Nord Ovest;Piemonte;AL;A197;1;0;0;2,5;3,75;7,25
Nord Ovest;Piemonte;AL;A211;0;0;0;0;3;3
Nord Ovest;Piemonte;AL;A227;0;0;0;0;3,3;3,3
Nord Ovest;Piemonte;AL;A245;0;0;0;1;0;1
Nord Ovest;Piemonte;AL;A436;2;18,33;25,67;12;3,25;61,25
Nord Ovest;Piemonte;AL;A523;0;0;1;0;2;3
Nord Ovest;Piemonte;AL;A605;0;2;2,5;1;1;6,5
Nord Ovest;Piemonte;AL;A689;0;1;0;5;7;13
Nord Ovest;Piemonte;AL;A708;0;3;0,5;0,5;7;11
Nord Ovest;Piemonte;AL;A738;0;1;1,67;0;0;2,67
Nord Ovest;Piemonte;AL;A793;1;0;1;2;1;5
Nord Ovest;Piemonte;AL;A813;0;0;0;0;0;0
Nord Ovest;Piemonte;AL;A889;0;4;2;3;2,33;11,33
Nord Ovest;Piemonte;AL;A998;0;3;2;2;5;12
Nord Ovest;Piemonte;AL;B029;0;0;0;2;1;3
Nord Ovest;Piemonte;AL;B037;0;0;0;0;3,83;3,83
Nord Ovest;Piemonte;AL;B071;0;2;5;2;14,77;23,77
Nord Ovest;Piemonte;AL;B080;0;2;0;1;1;4
Nord Ovest;Piemonte;AL;B109;0;1;0;0;2;3
Nord Ovest;Piemonte;AL;B179;0;0;0;0;0,5;0,5
Nord Ovest;Piemonte;AL;B311;0;2;0;3;2;7
Nord Ovest;Piemonte;AL;B453;0;1;0;2;5,5;8,5
Nord Ovest;Piemonte;AL;B482;0;0;2;2;3,01;7,01
Nord Ovest;Piemonte;AL;B629;3;4;4;1;4;16
Nord Ovest;Piemonte;AL;B701;1;0,33;3;1;4,67;10
Nord Ovest;Piemonte;AL;B736;0;0;1;0;3;4
Nord Ovest;Piemonte;AL;B765;0;1;0;0;0;1
Nord Ovest;Piemonte;AL;B769;0;0;2;0;1,5;3,5
Nord Ovest;Piemonte;AL;B818;0;0;1;0;3;4
Nord Ovest;Piemonte;AL;B836;2;3;1;0;1;7
Nord Ovest;Piemonte;AL;B840;1;0;0;1;0;2
Nord Ovest;Piemonte;AL;B847;0;0;0;1,5;1;2,5
Nord Ovest;Piemonte;AL;B870;0;0;3;0;6;9
Nord Ovest;Piemonte;AL;B882;0;1;0;0;1;2
Nord Ovest;Piemonte;AL;B885;20;89,44;65,7;51;64,25;290,39
Nord Ovest;Piemonte;AL;B902;0;6;1;0,33;4,25;11,58
Nord Ovest;Piemonte;AL;B941;1;0;0;0;0;1
Nord Ovest;Piemonte;AL;C005;0;1;3;5;3;12
Nord Ovest;Piemonte;AL;C027;0;5,5;6;2;8;21,5
Nord Ovest;Piemonte;AL;C030;0;2;0;1,5;3,2;6,7
Nord Ovest;Piemonte;AL;C137;0;0;0;0,5;1;1,5
Nord Ovest;Piemonte;AL;C142;0;2;0;0,5;0;2,5
Nord Ovest;Piemonte;AL;C148;0;6,75;3,5;2;15,71;27,96
Nord Ovest;Piemonte;AL;C156;1;0;0;0;1,67;2,67
Nord Ovest;Piemonte;AL;C158;1;3;5;1;5;15
Nord Ovest;Piemonte;AL;C160;0;0;0;0;2;2
Nord Ovest;Piemonte;AL;C162;0;1;3;0,5;2;6,5
Nord Ovest;Piemonte;AL;C229;0;1;2;0;0,66;3,66
Nord Ovest;Piemonte;AL;C243;1;8;2;4,25;13,24;28,49
Nord Ovest;Piemonte;AL;C274;0;0;0;0;2;2
Nord Ovest;Piemonte;AL;C387;0;0;0;1;1;2
Nord Ovest;Piemonte;AL;C432;0;0;1;1;2;4
Nord Ovest;Piemonte;AL;C503;0;0;0;1;3;4
Nord Ovest;Piemonte;AL;C507;0;1;0;0;2;3
Nord Ovest;Piemonte;AL;C531;0;1;1;0;2;4
Nord Ovest;Piemonte;AL;C962;0;1;0;0;2,5;3,5
Nord Ovest;Piemonte;AL;C977;0;0;1;0,33;2;3,33
Nord Ovest;Piemonte;AL;D102;0;0;1;1;2;4
Nord Ovest;Piemonte;AL;D149;2;1,25;3;2;1;9,25
Nord Ovest;Piemonte;AL;D194;0;1;1;0;0;2
Nord Ovest;Piemonte;AL;D272;0;1;2;0;1;4
Nord Ovest;Piemonte;AL;D277;0;0;0;1;0;1
Nord Ovest;Piemonte;AL;D447;0;0;3;2;2;7
Nord Ovest;Piemonte;AL;D528;0;0;2;1;2;5
Nord Ovest;Piemonte;AL;D559;0;1;0;0;1,33;2,33
Nord Ovest;Piemonte;AL;D759;1;0;1;0;2;4
Nord Ovest;Piemonte;AL;D770;0;0,83;1;0;0,83;2,66
Nord Ovest;Piemonte;AL;D777;0;0;1;0;1;2
Nord Ovest;Piemonte;AL;D780;0;1;1;1;3;6
Nord Ovest;Piemonte;AL;D797;0;0;1;0;1;2
Nord Ovest;Piemonte;AL;D813;0;0;2;1;2,5;5,5
Nord Ovest;Piemonte;AL;D814;0;6;9;2,17;3,83;21
Nord Ovest;Piemonte;AL;D835;1,5;0,5;2;1;4;9
Nord Ovest;Piemonte;AL;D890;1;0;1;1;0,5;3,5
Nord Ovest;Piemonte;AL;D910;0;1;0;2;2,5;5,5
Nord Ovest;Piemonte;AL;D941;0;1;2;0;0;3
Nord Ovest;Piemonte;AL;D944;5;10,17;14;3;10,85;43,02
Nord Ovest;Piemonte;AL;E015;0;0;0;0,5;0;0,5
Nord Ovest;Piemonte;AL;E164;0,5;0,5;0;0;1;2
Nord Ovest;Piemonte;AL;E188;0,5;5;0;1,5;1;8
Nord Ovest;Piemonte;AL;E191;0;2,84;3;0;0;5,84
Nord Ovest;Piemonte;AL;E255;0;0;0;0;1;1
Nord Ovest;Piemonte;AL;E360;0;0;0;2;2;4
Nord Ovest;Piemonte;AL;E543;1,18;0,33;3;0;4,13;8,64
Nord Ovest;Piemonte;AL;E712;0;0;1;2;2;5
Nord Ovest;Piemonte;AL;E870;0;0;0;1;0;1
Nord Ovest;Piemonte;AL;F015;1;1;3;3;4,5;12,5
Nord Ovest;Piemonte;AL;F096;0;0;1,5;2;3;6,5
Nord Ovest;Piemonte;AL;F131;0;0;2;1;0;3
Nord Ovest;Piemonte;AL;F232;0;0;2,47;2,5;6,83;11,8
Nord Ovest;Piemonte;AL;F281;2;5;2;7,5;3,5;20
Nord Ovest;Piemonte;AL;F293;0;0;0;0;1;1
Nord Ovest;Piemonte;AL;F313;0;2;1;2;2,8;7,8
Nord Ovest;Piemonte;AL;F320;0;0;0;0;0;0
Nord Ovest;Piemonte;AL;F337;0;0;1;0;1;2
Nord Ovest;Piemonte;AL;F365;0;1;0;0;2;3
Nord Ovest;Piemonte;AL;F374;0;1;0;0,66;3;4,66
Nord Ovest;Piemonte;AL;F387;0;3;0;1;0;4
Nord Ovest;Piemonte;AL;F403;0;0;0;1;1;2
Nord Ovest;Piemonte;AL;F404;0;0;1;0,5;0,5;2
Nord Ovest;Piemonte;AL;F455;0;0;0;4;0;4
Nord Ovest;Piemonte;AL;F469;0,75;1,75;0;2;2;6,5
Nord Ovest;Piemonte;AL;F518;0;0;0;0;0;0
Nord Ovest;Piemonte;AL;F562;0;1;0;0;1,22;2,22
Nord Ovest;Piemonte;AL;F707;0;1;0;3;0;4
Nord Ovest;Piemonte;AL;F713;1;0;2,34;2;2;7,34
Nord Ovest;Piemonte;AL;F737;0;0,04;1;1;1;3,04
Nord Ovest;Piemonte;AL;F751;1;1;1;0;2;5
Nord Ovest;Piemonte;AL;F814;0;1;1;2;4;8
Nord Ovest;Piemonte;AL;F965;12;77,5;76,41;44,89;30,17;240,97
Nord Ovest;Piemonte;AL;F995;0;0;1;1;0;2
Nord Ovest;Piemonte;AL;F997;0;1;3;1;2;7
Nord Ovest;Piemonte;AL;F998;0;0;0;0;2;2
Nord Ovest;Piemonte;AL;G042;0;0;0;0;0;0
Nord Ovest;Piemonte;AL;G124;0;2;1;0;0;3
Nord Ovest;Piemonte;AL;G193;0;0;0;1;2;3
Nord Ovest;Piemonte;AL;G197;4;17,11;17,75;11;14,5;64,36
Nord Ovest;Piemonte;AL;G199;0;0,17;0;5,17;2;7,34
Nord Ovest;Piemonte;AL;G204;0;1;2;0;5,26;8,26
Nord Ovest;Piemonte;AL;G215;0;0;0;1;1;2
Nord Ovest;Piemonte;AL;G334;0;0;1;0,67;3;4,67
Nord Ovest;Piemonte;AL;G338;0;1;1;3;1;6
Nord Ovest;Piemonte;AL;G367;0;0;2;3;3;8
Nord Ovest;Piemonte;AL;G397;0;0;2;1;4;7
Nord Ovest;Piemonte;AL;G619;1;0,84;0;2;3,5;7,34
Nord Ovest;Piemonte;AL;G695;0;0;1;0;1;2
Nord Ovest;Piemonte;AL;G807;0;0;0;0;1,5;1,5
Nord Ovest;Piemonte;AL;G839;1;5;4;3;5,67;18,67
Nord Ovest;Piemonte;AL;G858;0;0;0;1;4;5
Nord Ovest;Piemonte;AL;G861;0;1;2;3;1,5;7,5
Nord Ovest;Piemonte;AL;G872;0;0;0,5;0;2;2,5
Nord Ovest;Piemonte;AL;G877;3;4,06;5;3,72;4,72;20,5
Nord Ovest;Piemonte;AL;G960;0;0;0;0;2,17;2,17
Nord Ovest;Piemonte;AL;G961;0;7;10;9,25;9;35,25
Nord Ovest;Piemonte;AL;G987;0;2;0;1;0;3
Nord Ovest;Piemonte;AL;H021;0;0;1;3;5,75;9,75
Nord Ovest;Piemonte;AL;H104;0;0;0,25;3,04;4,5;7,79
Nord Ovest;Piemonte;AL;H121;0;0;0;0;6,33;6,33
Nord Ovest;Piemonte;AL;H272;0;2;0;3;3,5;8,5
Nord Ovest;Piemonte;AL;H334;2;5;4;1,17;4;16,17
Nord Ovest;Piemonte;AL;H343;0;0;0;2;0;2
Nord Ovest;Piemonte;AL;H406;0;0;0;0;0;0
Nord Ovest;Piemonte;AL;H414;1;3;2;3;4;13
Nord Ovest;Piemonte;AL;H465;2;2;1;0;1;6
Nord Ovest;Piemonte;AL;H569;0;0;1;1;4;6
Nord Ovest;Piemonte;AL;H677;0;0;0;1;1,69;2,69
Nord Ovest;Piemonte;AL;H694;2;3;8,5;4;10,83;28,33
Nord Ovest;Piemonte;AL;H810;0;0;1,25;0;1,08;2,33
Nord Ovest;Piemonte;AL;H878;0;1;2;4;2,75;9,75
Nord Ovest;Piemonte;AL;I144;0;2;5;2;5,7;14,7
Nord Ovest;Piemonte;AL;I150;0;1;3;0;2;6
Nord Ovest;Piemonte;AL;I190;0;0,5;0;0;0,5;1
Nord Ovest;Piemonte;AL;I429;0;1;1;0;2;4
Nord Ovest;Piemonte;AL;I432;0;3;0;1;2,95;6,95
Nord Ovest;Piemonte;AL;I645;0;0;0;0;2;2
Nord Ovest;Piemonte;AL;I657;2;6;5,5;5;2;20,5
Nord Ovest;Piemonte;AL;I711;0;1;0;2;2;5
Nord Ovest;Piemonte;AL;I738;0;3,5;4;8;3;18,5
Nord Ovest;Piemonte;AL;I798;0;2,5;1;3;5;11,5
Nord Ovest;Piemonte;AL;I808;0;0,25;0;0;0,25;0,5
Nord Ovest;Piemonte;AL;I901;1;1;1;3;3;9
Nord Ovest;Piemonte;AL;I911;0;1;0;0;1;2
Nord Ovest;Piemonte;AL;I941;0;3;2;3;4,5;12,5
Nord Ovest;Piemonte;AL;I977;0;2;2,33;2;6,83;13,16
Nord Ovest;Piemonte;AL;L027;0;1;2;3,5;2;8,5
Nord Ovest;Piemonte;AL;L059;0;0;0,5;0;1;1,5
Nord Ovest;Piemonte;AL;L139;0;0;0;0;1;1
Nord Ovest;Piemonte;AL;L143;0;1;0;1;2,01;4,01
Nord Ovest;Piemonte;AL;L165;0,33;0;3,99;0;4;8,32
Nord Ovest;Piemonte;AL;L304;11;69,57;72,39;28;46,67;227,63
Nord Ovest;Piemonte;AL;L403;0;0;1;1;0;2
Nord Ovest;Piemonte;AL;L432;0;6;4;1;4;15
Nord Ovest;Piemonte;AL;L570;4;40,19;27;22,4;28,17;121,76
Nord Ovest;Piemonte;AL;L633;0;2;2;0;1;5
Nord Ovest;Piemonte;AL;L881;0;0;0;1;6,5;7,5
Nord Ovest;Piemonte;AL;L887;0;6;0;5,5;3;14,5
Nord Ovest;Piemonte;AL;L904;0;2;2;0;2,5;6,5
Nord Ovest;Piemonte;AL;L931;0;0;0;0;3,83;3,83
Nord Ovest;Piemonte;AL;L963;0;0;1;2;2;5
Nord Ovest;Piemonte;AL;L970;0;0;0;1;0,5;1,5
Nord Ovest;Piemonte;AL;L972;0;3;3;1;4,5;11,5
Nord Ovest;Piemonte;AL;M009;0;1,5;1;0,25;2;4,75
Nord Ovest;Piemonte;AL;M077;0;3;2;2;2,17;9,17
Nord Ovest;Piemonte;AL;M120;1;1;1;0;1;4
Nord Ovest;Piemonte;AL;M121;0;0;0;0;0;0
Nord Ovest;Piemonte;AL;M123;0;0,61;1;0;1;2,61
Nord Ovest;Piemonte;AT;A072;0;0;2,5;0;5,15;7,65
Nord Ovest;Piemonte;AT;A173;0;0;1,5;2;5;8,5
Nord Ovest;Piemonte;AT;A300;0;4;5;1;5;15
Nord Ovest;Piemonte;AT;A312;1;0;1;0;4;6
Nord Ovest;Piemonte;AT;A352;1;0;0;0;2,83;3,83
Nord Ovest;Piemonte;AT;A479;44,17;209,88;191,65;93,59;75,67;614,96
Nord Ovest;Piemonte;AT;A527;0;0;0;0;2;2
Nord Ovest;Piemonte;AT;A588;0;3;0,5;2;2;7,5
Nord Ovest;Piemonte;AT;A770;0;0;0,5;0;3,67;4,17
Nord Ovest;Piemonte;AT;A812;0;0;0;0;3;3
Nord Ovest;Piemonte;AT;B221;0;0;0;0;1;1
Nord Ovest;Piemonte;AT;B236;0;2;1;2;1;6
Nord Ovest;Piemonte;AT;B306;0;2;2;3;5,17;12,17
Nord Ovest;Piemonte;AT;B376;2;6;1;2;4,28;15,28
Nord Ovest;Piemonte;AT;B418;0;1;0;1;5,5;7,5
Nord Ovest;Piemonte;AT;B425;0;0;1;1;3,39;5,39
Nord Ovest;Piemonte;AT;B469;0;0;0;1;3;4
Nord Ovest;Piemonte;AT;B594;1;25,5;21;7,88;21,25;76,63
Nord Ovest;Piemonte;AT;B633;0;0;5;1;5;11
Nord Ovest;Piemonte;AT;B707;0;0;0;1;2;3
Nord Ovest;Piemonte;AT;B991;0;3;0;1;6,61;10,61
Nord Ovest;Piemonte;AT;C022;0;1;1;1,04;4,04;7,08
Nord Ovest;Piemonte;AT;C047;1;1;1,5;0,5;5;9
Nord Ovest;Piemonte;AT;C049;0;3;2;1;14,13;20,13
Nord Ovest;Piemonte;AT;C064;0;1;0;0;1,33;2,33
Nord Ovest;Piemonte;AT;C127;0;7;3;2;4;16
Nord Ovest;Piemonte;AT;C154;0;0;0;1;2;3
Nord Ovest;Piemonte;AT;C161;0;0;0;0;1;1
Nord Ovest;Piemonte;AT;C226;0;1;0;1;1;3
Nord Ovest;Piemonte;AT;C230;0;1;1;0;1,5;3,5
Nord Ovest;Piemonte;AT;C232;1;2;7,5;2;5;17,5
Nord Ovest;Piemonte;AT;C253;0;0;2;1;0;3
Nord Ovest;Piemonte;AT;C438;1;0;1;1;2;5
Nord Ovest;Piemonte;AT;C440;0;0;0;0,5;2;2,5
Nord Ovest;Piemonte;AT;C528;0;0;0;1;0;1
Nord Ovest;Piemonte;AT;C533;0,5;0;0;1,5;3,5;5,5
Nord Ovest;Piemonte;AT;C583;1;0;0;1;3;5
Nord Ovest;Piemonte;AT;C658;0;0;0;0;0;0
Nord Ovest;Piemonte;AT;C701;0;1;0;0;1;2
Nord Ovest;Piemonte;AT;C739;1;0;1;5,83;1;8,83
Nord Ovest;Piemonte;AT;C804;0;1;0;0;0;1
Nord Ovest;Piemonte;AT;C807;2;1;0;2,28;12,59;17,87
Nord Ovest;Piemonte;AT;D046;0;0;0;0;0;0
Nord Ovest;Piemonte;AT;D050;0;0;0;1;1;2
Nord Ovest;Piemonte;AT;D051;0;0;0;0;0;0
Nord Ovest;Piemonte;AT;D052;0;0;0,5;1;4;5,5
Nord Ovest;Piemonte;AT;D072;0;1,66;0;2;0;3,66
Nord Ovest;Piemonte;AT;D101;0;0;0;0;0;0
Nord Ovest;Piemonte;AT;D119;2;12;6;6;19,45;45,45
Nord Ovest;Piemonte;AT;D207;0;1;0;0;1;2
Nord Ovest;Piemonte;AT;D388;0;4,1;0;1;3;8,1
Nord Ovest;Piemonte;AT;D554;0;2;2;1;7,5;12,5
Nord Ovest;Piemonte;AT;D678;0;0;0;2;3;5
Nord Ovest;Piemonte;AT;D802;1;0;0;0;4;5
Nord Ovest;Piemonte;AT;E134;1;1;3;0;3;8
Nord Ovest;Piemonte;AT;E159;0;2;0;1;1;4
Nord Ovest;Piemonte;AT;E295;1;5,25;3;0,38;9,13;18,76
Nord Ovest;Piemonte;AT;E338;2;8,67;3,34;3;5;22,01
Nord Ovest;Piemonte;AT;E633;0;0;0;0;4;4
Nord Ovest;Piemonte;AT;E917;0;0;0;0;2;2
Nord Ovest;Piemonte;AT;E944;0;0;0;0;1,67;1,67
Nord Ovest;Piemonte;AT;F254;0;0;1;1;1;3
Nord Ovest;Piemonte;AT;F308;0;0;0;0;0;0
Nord Ovest;Piemonte;AT;F311;1;3;1,55;0;4,5;10,05
Nord Ovest;Piemonte;AT;F316;0;0,33;1,08;0,08;3,33;4,82
Nord Ovest;Piemonte;AT;F323;1;0;0;3;1;5
Nord Ovest;Piemonte;AT;F325;0;1;0,5;0;4,5;6
Nord Ovest;Piemonte;AT;F336;0;0,83;3;3,16;7;13,99
Nord Ovest;Piemonte;AT;F343;0;0;0;0;1;1
Nord Ovest;Piemonte;AT;F361;0;0;0;0;1;1
Nord Ovest;Piemonte;AT;F386;0;0;0;0;2;2
Nord Ovest;Piemonte;AT;F390;0;0;3;1;3,5;7,5
Nord Ovest;Piemonte;AT;F409;0;2;5;0;3;10
Nord Ovest;Piemonte;AT;F468;0;0;1;1;3;5
Nord Ovest;Piemonte;AT;F527;0;4;6,33;2;11;23,33
Nord Ovest;Piemonte;AT;F556;0;0;1;0,33;2,83;4,16
Nord Ovest;Piemonte;AT;F709;0;0;0;1,92;0;1,92
Nord Ovest;Piemonte;AT;F902;3;25,5;30;14;17,33;89,83
Nord Ovest;Piemonte;AT;G048;0;1;0;0;0;1
Nord Ovest;Piemonte;AT;G358;1;1;6;1;6;15
Nord Ovest;Piemonte;AT;G430;0;0;0;2;2,5;4,5
Nord Ovest;Piemonte;AT;G593;0;0;0;1;1;2
Nord Ovest;Piemonte;AT;G676;0;0;0;1;0;1
Nord Ovest;Piemonte;AT;G692;0;0;0;0;2;2
