Area;Regione;Provincia;2024_CodCom;NTN_2024_Uffici;NTN_2024_Negozi_Lab;NTN_2024_Depositi_Comm_Autorimesse;NTN_2024_TCO_B04;NTN_2024_TCO_D02;NTN_2024_TCO_D05;NTN_2024_TCO_D08;NTN_2024_PRO;NTN_2024_AGR
Centro;Lazio;FR;A123;0,58;12;19,43;0;0;0;1;3,67;0
Nord Ovest;Piemonte;CN;A124;15;23,06;32,47;0;1;0;4;18;1,5
Sud;Abruzzo;TE;A125;3;18,5;28,12;0;1;0;3,5;1;0
Isole;Sardegna;OR;A126;0;0;0;0;0;0;0;0;0
Nord Ovest;Lombardia;MI;A127;0;1;3,5;0;0;0;0;1;1
Sud;Campania;SA;A128;0;4;11,17;0;0;0;0;1;2
Nord Ovest;Lombardia;BG;A129;2;10;9,33;0;0;0;0;14,51;0
Nord Ovest;Piemonte;VC;A130;0;0;0;0;0;0;0;0;0
Sud;Basilicata;PZ;A131;0;0;1;0;0;0;0;0;0
Centro;Lazio;RM;A132;2,5;24;54,22;0;0;0;2;9;0
Nord Ovest;Lombardia;PV;A134;0;1;0;0;0;0;0;2;0
Nord Ovest;Lombardia;SO;A135;0;0;3,5;0;0;0;0;0;0
Nord Est;Veneto;VR;A137;3;4,88;17,94;0;0;0;0;2;2,5
Nord Est;Emilia-Romagna;PR;A138;0;0;6,77;0;0;0;0;0;0,33
Nord Ovest;Piemonte;CN;A139;0;0;4;0;0;0;0;0;0
Nord Ovest;Lombardia;CO;A143;0;0;7;0;0;0;0;8,27;0
Nord Ovest;Liguria;SV;A145;10,01;24,63;40,5;0;1;0;12;5,25;0
Nord Ovest;Piemonte;AL;A146;0;0;7,5;0;0;0;0;0;0
Sud;Puglia;BA;A149;1;9;12,67;0;0;0;1;0;0
Sud;Puglia;FG;A150;0;0;3,5;0;0;0;0;0;1
Nord Ovest;Lombardia;CO;A153;0;1;10;0;0;0;0;2,07;0
Nord Est;Veneto;VI;A154;0;2;4;0;0;0;0;1;2
Sud;Calabria;CZ;A155;0;0;1;0;0;0;0;0;0
Nord Ovest;Piemonte;TO;A157;0;0,25;2,25;0;0;0;0;0;0
Nord Ovest;Lombardia;MI;A159;1;7;3,55;0;0;0;0;4;1
Sud;Calabria;CS;A160;0;2;2;0;0;0;0;0;0
Nord Est;Veneto;PD;A161;6,5;18,73;16,61;0;0;0;7;8;0
Nord Est;Emilia-Romagna;RE;A162;4;4;17,3;0;0;0;0;2;0
Nord Ovest;Lombardia;BG;A163;16;18;33,62;0;0;0;3;13,06;0
Nord Ovest;Lombardia;CO;A164;0;0,17;7,75;0;0;0;0;0,53;0
Nord Ovest;Liguria;SV;A165;0;4;6,5;0;0;0;0;0;0
Nord Ovest;Liguria;SV;A166;1;4;23,83;0;0;0;0;2,02;0
Nord Ovest;Lombardia;VA;A167;0;3,17;11;0;0;0;1;1,06;0
Nord Ovest;Lombardia;PV;A171;0;0;0;0;0;0;0;0,5;0,5
Nord Ovest;Lombardia;SO;A172;0;0;17,16;0;0;0;0;0;1
Nord Ovest;Piemonte;AT;A173;1;0;6;0;0;0;0;0;0
Nord Ovest;Lombardia;PV;A175;0;2;3,5;0;0;0;0;0;0
Isole;Sicilia;TP;A176;6,33;34,39;93,06;0;0;0;1;2;1
Isole;Sicilia;ME;A177;0;0;3;0;0;0;0;0;0
Isole;Sardegna;OR;A180;0;1;1;0;0;0;0;0;0
Isole;Sicilia;AG;A181;0;0;4;0;0;0;0;0;0
Nord Ovest;Piemonte;AL;A182;30,25;77,35;143,56;1;0;1;9;18;3
Sud;Calabria;CS;A183;0;0;1;0;0;0;0;0;0
Sud;Puglia;LE;A184;1;11,5;7;0;0;0;0;6;0
Sud;Puglia;LE;A185;0;2,29;19,82;0;0;0;0;0;0
Sud;Campania;SA;A186;0;0;0,13;0;0;0;0;0;0
Sud;Abruzzo;AQ;A187;0;0;2,04;0;0;0;0;0;0
Nord Ovest;Lombardia;BS;A188;0;1;4;0;0;0;0;3;0
Nord Ovest;Piemonte;AL;A189;0;0;5;0;0;0;0;0;0
Nord Est;Emilia-Romagna;RA;A191;0;3;21,34;0;1;0;1;4;2,5
Isole;Sardegna;SS;A192;11,5;37,83;67,75;0;0;0;11;6;3,5
Nord Ovest;Lombardia;BG;A193;0;1;0;0;0;0;0;0;0
Isole;Sicilia;ME;A194;0;0;3;0;0;0;0;0;0
Isole;Sicilia;PA;A195;0;1;9,98;0;0;0;0;0;0
Sud;Basilicata;MT;A196;0;1;13,21;0;0;0;0;1;0
Nord Ovest;Piemonte;AL;A197;0;0;2;0;0;0;0;0;0
Nord Ovest;Piemonte;VC;A198;0;0;8;0;0;0;0;2;0
Sud;Campania;CE;A200;3;3;10;0;0;0;1;4;0
Isole;Sicilia;ME;A201;0;4,88;5,5;0;0;0;0;0;0
Isole;Sicilia;PA;A202;0;1;3,5;0;0;0;0;0;0
Isole;Sicilia;PA;A203;0;0;3,5;0;0;0;0;0;0
Isole;Sardegna;OR;A204;0;0;0;0;0;0;0;0;0
Nord Ovest;Valle d'Aosta;AO;A205;0;0;1,33;0;0;0;0;0;1
Nord Est;Veneto;BL;A206;0;4;11;0;3;0;0;0;0
Centro;Umbria;TR;A207;0;0;6;0;0;0;0;0;0
Sud;Puglia;LE;A208;0;1;8,08;0;0;0;0;0;0
Centro;Lazio;RM;A210;0;2;3,75;0;0;0;0;0;0
Nord Ovest;Lombardia;BG;A214;2;4,56;9,17;0;0;0;0;3,02;0
Nord Ovest;Lombardia;BG;A215;0;7;7,46;0;0;0;1;0,04;0
Nord Ovest;Lombardia;BG;A216;0;3;8,08;0;0;0;0;4;0
Nord Ovest;Lombardia;BG;A217;0;5;6,66;0;0;0;0;1;0,2
Nord Ovest;Piemonte;TO;A218;0;1,25;12,38;0;0;0;0;2;0
Nord Est;Veneto;VI;A220;0;0;1;0;0;0;0;0;0
Nord Ovest;Piemonte;TO;A221;0;0;1;0;0;0;0;0;0
Nord Ovest;Piemonte;TO;A222;1;7,33;25,09;0;0;0;1;9;0
Nord Est;Emilia-Romagna;PC;A223;0;4,33;9,5;0;0;0;0;2;5
Nord Ovest;Lombardia;CO;A224;0;0;1;0;0;0;0;1;0
Sud;Puglia;BA;A225;28;66,89;146,72;0;0;0;2;14;6
Nord Ovest;Liguria;SV;A226;0;0;7;0;0;0;1;1;0
Nord Ovest;Piemonte;AL;A227;0;0;7,5;0;0;0;0;0;0
Sud;Campania;AV;A228;0;1;2,33;0;0;0;0;0;0
Isole;Sicilia;PA;A229;0;9;19,08;0;0;0;0;0;0
Sud;Campania;SA;A230;0;8,5;20,5;0;0;0;0;1;0
Nord Est;Veneto;VI;A231;2;2,33;15,68;0;0;0;7;9,38;0
Centro;Marche;AP;A233;2;1,5;9,72;0;0;0;0;2;0
Sud;Calabria;CS;A234;0;2;1;0;0;0;0;0;0
Sud;Abruzzo;CH;A235;0;3,75;0,67;0;0;0;0;0;0
Nord Est;Veneto;VI;A236;0;2;4,34;0;0;0;0;1;0
Nord Est;Veneto;TV;A237;0;4,65;19,33;0;0;0;0;3;1,25
Nord Ovest;Piemonte;CN;A238;0;0;1;0;0;0;0;0;0
Isole;Sicilia;PA;A239;0;2;17,33;0;0;0;0;0,5;0
Sud;Calabria;CS;A240;0;2;3;0;0;0;0;4;0
Centro;Toscana;LU;A241;5;6;17,5;0;0;0;10;3;0
Centro;Umbria;TR;A242;0;0;3;0;1;0;0;0;0
Sud;Campania;CE;A243;0;0;5;0;0;0;0;1;0
Centro;Lazio;FR;A244;0;1,5;3,75;0;0;0;0;0;0
Nord Ovest;Piemonte;AL;A245;0;0;0;0;0;0;0;0;2
Nord Ovest;Lombardia;BG;A246;4;9;21,74;0;0;0;4;4,04;0
Nord Ovest;Lombardia;CO;A249;0;5;5;0;0;0;0;1;1
Sud;Campania;SA;A251;0;3;5,87;0;1;0;0;0;0
Centro;Marche;AP;A252;0;1;7,95;0;0;0;0;1,06;0
Sud;Calabria;CS;A253;1;11;12,31;0;0;0;2;1;0
Nord Est;Friuli- Venezia Giulia;UD;A254;0;1;3;0;0;0;0;3;0
Sud;Calabria;CZ;A255;0;0;1,52;0;0;0;0;0;0
Centro;Lazio;FR;A256;0;5;4,66;0;0;0;0;0;2
Sud;Calabria;CZ;A257;0;0;0;0;0;0;0;0;0
Centro;Lazio;RI;A258;0;0,5;5,04;0;0;0;0;0;0
Nord Ovest;Lombardia;BG;A259;0;3;3,33;0;0;0;0;0;0
Nord Ovest;Liguria;SP;A261;0;4;6,27;0;1;0;1;2;0
Centro;Umbria;TR;A262;1;3,33;34,66;0;0;0;0;5;0,5
Sud;Calabria;CS;A263;0;2;8,1;0;0;0;0;1;0
Nord Ovest;Piemonte;NO;A264;0;0;8;0;0;0;0;0;0
Sud;Campania;BN;A265;0;0;1,25;0;0;0;0;1;0
Nord Est;Friuli- Venezia Giulia;UD;A267;0;1;1,33;0;0;0;0;0;0
Sud;Campania;NA;A268;0;2;2;0;0;0;0;1;0
Centro;Lazio;FR;A269;0;12;21,45;0;0;0;0;16;0
Sud;Abruzzo;TE;A270;0;4;0;0;0;0;0;4;0
Centro;Marche;AN;A271;38,15;102,56;126,38;4;0,07;2;35;33,13;0,33
Sud;Calabria;CZ;A272;0;1;1;0;0;0;0;0;0
Nord Ovest;Lombardia;SO;A273;0;2;2;0;0;0;0;0;0
Nord Ovest;Piemonte;TO;A275;1;2;4,17;0;0;0;0;2;0
Nord Ovest;Liguria;SV;A278;2;6;12;0;0,33;0;2,02;2;0
Nord Ovest;Piemonte;BI;A280;0;6;14,72;0;0;0;0;0;0
Sud;Puglia;LE;A281;0;2;5;0;0;0;0;0;0
Nord Ovest;Piemonte;TO;A282;0;0;2;0;0;0;0;0;0
Nord Est;Friuli- Venezia Giulia;PN;A283;0;0;2;0;0;0;0;0;0
Sud;Campania;AV;A284;0;0;4;0;0;0;0;0;0
Sud;Puglia;BA;A285;5,05;37,74;125,17;0;0;0;2;9,04;0
Isole;Sardegna;SS;A287;0;0;3,92;0;0;0;0;0;0
Nord Ovest;Lombardia;BS;A288;0;0;2;0;0;0;0;0;0
Nord Ovest;Lombardia;VA;A290;0;3;19;0;1;0;1;2,34;0,17
Centro;Toscana;AR;A291;0;3,5;7,5;0;0;0;0;2,29;3
Nord Est;Veneto;VR;A292;0;2;6,25;0;0;0;0;1;0
Nord Ovest;Lombardia;BS;A293;0;0;9;0;0;0;0;0;0
Sud;Campania;SA;A294;2;21,5;34,03;0;0;0;9;8;0
Nord Ovest;Piemonte;TO;A295;0;0;3;0;0;0;0;0;0
Nord Est;Veneto;PD;A296;0;3,34;10,06;0;0;0;0;0;0
Centro;Lazio;RM;A297;2;19,33;21,84;0;0,5;0;0;3;0
Nord Ovest;Lombardia;CR;A299;0;1;2;0;0;0;0;0;0,17
Nord Ovest;Piemonte;AT;A300;0;0;1,88;0;0;0;0;1;0
Nord Ovest;Lombardia;LC;A301;0;1;6,34;0;0;0;0;1;0
Nord Est;Veneto;VE;A302;0;3;5,67;0;0;0;2;5;0
Sud;Calabria;RC;A303;0;3;2;0;0;0;0;0;0
Nord Ovest;Lombardia;BG;A304;0;6,08;4,89;0;0;0;0;3;3
Nord Ovest;Valle d'Aosta;AO;A305;0;1;1,75;0;0;0;0;0;0
Nord Ovest;Valle d'Aosta;AO;A308;0;0;0;0;0;0;0;0;0
Centro;Lazio;RM;A309;0;0,5;1;0;0;0;0;0;0
Centro;Lazio;FR;A310;0;7;13,83;0;5;0;1;0;0
Nord Ovest;Piemonte;AT;A312;0;0;3;0;0;0;0;0;0
Isole;Sicilia;ME;A313;0;0;0;0;0;0;0;0;0
Sud;Calabria;RC;A314;0;0;0;0;0;0;0;0;0
Centro;Lazio;RI;A315;1;1;2,5;0;0;0;0;1;0
Nord Ovest;Piemonte;VB;A317;0;0;2;0;0;0;0;0;0
Sud;Abruzzo;AQ;A318;0;5;1;0;0;0;0;0;0
Nord Ovest;Lombardia;CO;A319;0;2;2;0;0;0;1;0;0
Sud;Puglia;FG;A320;0;3;2;0;0;0;0;0;0
Sud;Basilicata;PZ;A321;0;0;17;0;0;0;0;0;0
Centro;Lazio;RM;A323;1;44,94;56,58;0;0;0;0;1;0
Nord Est;Emilia-Romagna;BO;A324;3;9;10,6;0;0;0;2;8;0
Nord Ovest;Piemonte;VB;A325;0;0;2;0;0;0;0;3;0
Nord Ovest;Valle d'Aosta;AO;A326;11;23,12;30,75;0;0;0;5;3,16;1
Centro;Marche;PS;A327;0;2;1;0;0;0;0;0;0,5
Sud;Campania;BN;A328;0;4;7,33;0;0;0;0;0;1
Centro;Marche;MC;A329;2;0;9,91;0;0;0;0;1;6
Sud;Campania;BN;A330;0;0;2;0;0;0;0;0;0
Nord Ovest;Lombardia;CO;A333;3;3;17,17;0;0;1;0;1;0
Centro;Marche;MC;A334;0;5;19,6;0;0;0;1;4;1
Centro;Marche;AP;A335;0;1;0,67;0;0;0;0;0;0
Nord Ovest;Lombardia;SO;A337;0;5;11;0;0;0;0;0,03;0
Nord Ovest;Liguria;IM;A338;0;1;2;0;0;0;0;0;0
Sud;Puglia;FG;A339;1;6,67;29,68;0;0;0;2;4;5,2
Sud;Calabria;CS;A340;0;0;1;0;0;0;0;0;0
Centro;Lazio;LT;A341;17;40,84;111,41;0;2;1;7;28,01;3,67
Sud;Campania;SA;A343;0;0;7;0;0;0;0;0;0
Nord Ovest;Liguria;IM;A344;0;0;3;0;0;0;0;0;0
Sud;Abruzzo;AQ;A345;41,12;63,99;93,19;0;0;0;21,95;25,17;0
Sud;Campania;AV;A347;0;1;3,5;0;0;0;0;0;0
Centro;Lazio;FR;A348;0;0;7;0;0;0;0;0;0
Sud;Puglia;LE;A350;0;4;9;0;0;0;0;0;0
Isole;Sicilia;AG;A351;1;2;22,6;0;0;0;0;1;0
Nord Ovest;Piemonte;AT;A352;0;0;2;0;0;0;0;0;0
Nord Est;Friuli- Venezia Giulia;PN;A354;0;0;6;0;0;0;0;0;0
Isole;Sardegna;NU;A355;8;19,07;11;0;0;0;1;4;1
Isole;Sardegna;OR;A357;0;2;2,5;0;0;0;0;0;12,28
Nord Ovest;Piemonte;VC;A358;0;1;11;0;0;0;0;2;0
Isole;Sardegna;CA;A359;0,38;6;8,66;0;0;0;0;1;0,11
Nord Est;Veneto;TV;A360;1;3;3,5;0;0;0;0;0;0
Centro;Lazio;FR;A363;2;7;6,86;0;0;0;0;0;0
Nord Ovest;Lombardia;BG;A365;0;2;21,5;0;0;0;0;7,15;0
Centro;Marche;AN;A366;0;1,03;24,83;0;0;0;0;1;1
Sud;Abruzzo;CH;A367;0;1;5;0;0;0;0;0;0
Isole;Sardegna;OR;A368;0;1;1;0;0;0;0;0;0
Centro;Toscana;GR;A369;0;6,33;15;0;0;0;0;1;0,14
Centro;Lazio;RM;A370;0;0;1,33;0;0;0;0;0;0
Nord Ovest;Lombardia;VA;A371;1;1;11,26;0;0;0;2;11,5;1
Nord Ovest;Liguria;SP;A373;0;7,75;9,2;0;1;0;1;7,13;0
Nord Est;Veneto;VR;A374;4;4,17;22,34;0;0;0;0;7;0
Nord Ovest;Lombardia;MI;A375;0;6;10;0;0;0;0;5;0
Nord Ovest;Lombardia;MI;A376;1;10,5;16,49;0;0;0;2;14,5;0
Nord Est;Veneto;VI;A377;2;9;10,25;0;0;0;0;16,31;0
Isole;Sardegna;SS;A379;0;0;1;0;0;0;0;0;2
Isole;Sardegna;OR;A380;0;0;0;0;0;0;0;0;0
Nord Ovest;Lombardia;SO;A382;0;1;17,83;0;0;0;1;1;0
Nord Ovest;Lombardia;BG;A383;0;0;8,08;0;0;0;0;0,17;0
Sud;Calabria;RC;A385;0;3;3;0;0;0;0;1;0
Sud;Calabria;VV;A386;0;0;2;0;0;0;0;0;0
Nord Ovest;Lombardia;PV;A387;0;0;5;0;0;0;2;1;0
Nord Ovest;Liguria;GE;A388;2,17;3;11,5;0;0;1;1;5;0
Nord Ovest;Lombardia;MI;A389;3;12;5;0;0;0;0;1;0
Centro;Toscana;AR;A390;52;151,97;145,85;2;0;2;10;7,23;1
Nord Ovest;Lombardia;CO;A391;0;1;0,33;0;0;0;0;0;0
Nord Est;Emilia-Romagna;BO;A392;18;11;5,83;0;0;0;18;13,08;0
Nord Est;Emilia-Romagna;FE;A393;2;3;31,25;1;0;0;4;7;12,96
Nord Ovest;Piemonte;CN;A394;0;0;0;0;0;0;0;0;0
Nord Ovest;Piemonte;CN;A396;0;0;0;0;0;0;0;0;0
Sud;Calabria;CZ;A397;0;0;0;0;0;0;0;0;0
Sud;Abruzzo;CH;A398;0;0;5;0;0;0;0;0;0
Sud;Campania;AV;A399;2;11,5;39,89;0;0;0;0;4,06;2
Nord Est;Veneto;RO;A400;0;5;11,5;0;0;0;1;6;1,25
Centro;Lazio;RM;A401;1;12;31,83;0;0;0;2,84;18;0,5
Sud;Abruzzo;CH;A402;0;0;1;0;0;0;0;0;0
Sud;Campania;CE;A403;0;0;10,84;0;0;0;0;2;0
Nord Ovest;Piemonte;TO;A405;2;1,17;1;0;0;0;0;0;0
Isole;Sardegna;NU;A407;0;1;0;0;0;0;0;0;0
Nord Ovest;Piemonte;VB;A409;0;0;4;0;0;0;0;0;0
Centro;Lazio;VT;A412;0;0;11,99;0;0;0;0;0;0
Nord Ovest;Lombardia;MI;A413;1;10;18,76;0;0;0;1;9;0
Nord Ovest;Piemonte;NO;A414;0;2;8,75;0;0;0;0;0;0
Sud;Basilicata;PZ;A415;0;0;3;0;0;0;0;0;0
Nord Ovest;Liguria;IM;A418;0;0;1;0;0;0;0;0;0
Isole;Sardegna;CA;A419;0;0;2;0;0;0;0;0;0
Centro;Lazio;FR;A421;0;1;2;0;0;0;0;0;0
Nord Ovest;Liguria;SV;A422;0;0;5;0;0;0;0;0;0
Nord Ovest;Valle d'Aosta;AO;A424;0;0;5;0;0;0;0;1;0
Sud;Puglia;LE;A425;0;1;3;0;0;0;0;0;0
Nord Ovest;Piemonte;VB;A427;0;0;3;0;0;0;0;0;0
Nord Ovest;Piemonte;NO;A429;4;12,22;18,22;0;0;0;3;3;0
Nord Ovest;Lombardia;CO;A430;0;2,5;9,75;0;0;0;1;3;0
Sud;Campania;BN;A431;0;0;4;0;0;0;1;0;0
Sud;Campania;BN;A432;0;0;1;0;0;0;0;0;0
Centro;Lazio;FR;A433;0;4;5;0;0;0;1;1;0
Nord Est;Veneto;PD;A434;0;0;5,28;0;0;0;0;0;0
Nord Est;Veneto;RO;A435;0;1;7;0;0;0;1;2;1,13
Nord Ovest;Piemonte;AL;A436;1;6;10,5;0;0;0;2;3;0
Centro;Marche;AP;A437;0;0;2,5;0;0;0;0;0;0
Nord Est;Veneto;PD;A438;0;0;4,5;0;0;0;0;0;0
Centro;Umbria;TR;A439;0;4;6,5;0;0;0;0;0;0
Nord Ovest;Lombardia;BG;A440;0;2;2;0;0;0;0;2;0
Nord Ovest;Lombardia;VA;A441;1;3;5;0;0;0;0;5;0
Nord Est;Veneto;BL;A443;0;2;9,9;0;0;0;0;0;0
Nord Est;Veneto;VI;A444;0;3;6,25;0;0;0;0;1;0
Sud;Abruzzo;TE;A445;0;1;4;0;0;0;0;0;0
Centro;Lazio;RM;A446;0;0;2;0;0;0;0;0;0
Nord Est;Friuli- Venezia Giulia;UD;A447;0;1;5,13;0;0;0;1;0;0
Nord Est;Friuli- Venezia Giulia;UD;A448;0;3;3;0;0;0;0;2;0
Centro;Lazio;RM;A449;1;7;11;0;0;0;3;1;0
Nord Ovest;Lombardia;BS;A451;1;0;5,76;0;0;0;0;0;2
Nord Ovest;Valle d'Aosta;AO;A452;0;0;8,5;0;0;0;0;1;1,5
Isole;Sardegna;SS;A453;8,03;44,33;25,13;0;3,11;0;2;4;1
Isole;Sardegna;NU;A454;0;0;2;0;0;0;0;0;0
Sud;Campania;NA;A455;2;15;18,2;0;0;0;5;4,51;0
Nord Est;Veneto;PD;A458;0;2;7,53;0;0;0;0;0;1
Nord Est;Veneto;VI;A459;16;9,5;41,68;0;0;0;0;19,84;0
Sud;Campania;SA;A460;2;2;6;0;1;0;0;0;0
Centro;Toscana;SI;A461;1;8;24,5;0;0;0;0;2;3
Centro;Marche;AP;A462;14,5;35,6;43,77;0;0;0;3;29,83;0
Sud;Puglia;FG;A463;0;1;9,17;0;0;0;1;2;0
Centro;Lazio;RI;A464;0;0;0;0;0;0;0;0;0
Nord Est;Veneto;VI;A465;6;3,56;13,16;0;1;0;0;1;3,14
Nord Ovest;Piemonte;VC;A466;0;1;9;0;0;0;0;0;0
