Area;Regione;Provincia;2024_CodCom;NTN 2024 fino a 50 mq;NTN 2024 50 -| 85 mq;NTN 2024 85 -| 115 mq;NTN 2024 115 -| 145 mq;NTN 2024 oltre 145 mq;NTN_2024
Nord Ovest;Lombardia;BS;A060;0;8,2;18,03;14,25;20,67;61,15
Nord Est;Veneto;VR;A061;3;6;3,17;5,67;9,17;27,01
Centro;Lazio;RM;A062;1,33;4,33;2;1,67;0;9,33
Sud;Campania;NA;A064;104,17;136,62;121,47;70,34;33,47;466,07
Sud;Calabria;RC;A065;0;1;1;1;3;6
Nord Est;Emilia-Romagna;PC;A067;0;6;11,5;10;8,33;35,83
Sud;Campania;NA;A068;4;13,33;11,67;8,5;7,5;45
Isole;Sardegna;SS;A069;3;3;4;0;2,5;12,5
Isole;Sicilia;EN;A070;10;18,5;16;10,98;11;66,48
Centro;Toscana;PT;A071;4;43,5;33,42;21,5;39,03;141,45
Nord Ovest;Piemonte;AT;A072;1;6,33;9,58;4,33;14,99;36,23
Nord Ovest;Piemonte;TO;A074;2;2;7;4;11;26
Nord Est;Veneto;PD;A075;0;7;7;6,75;27;47,75
Nord Ovest;Lombardia;CR;A076;3;28,83;9;11,36;17,5;69,69
Sud;Calabria;RC;A077;0;0;0;0;1;1
Sud;Molise;IS;A080;0;12,9;5;5,8;12,36;36,06
Centro;Lazio;FR;A081;1;0,5;1;1;1,75;5,25
Nord Ovest;Lombardia;BS;A082;0,5;2,73;6,25;3;11,73;24,21
Nord Est;Veneto;BL;A083;8;23;11,5;7;3,9;53,4
Centro;Lazio;RM;A084;1;10,78;6;4,67;2;24,45
Nord Ovest;Lombardia;VA;A085;0;12,33;1;2;4,5;19,83
Nord Ovest;Lombardia;MI;A087;27,77;104,8;132,57;62,17;22,25;349,56
Nord Ovest;Piemonte;NO;A088;2;4;4;3;10,5;23,5
Isole;Sicilia;AG;A089;77,52;137,8;172,55;143,2;118,75;649,82
Sud;Campania;SA;A091;49,5;107,5;105,13;53;25,7;340,83
Centro;Marche;AN;A092;0,67;12,67;11;13,5;11;48,84
Nord Est;Veneto;VI;A093;1,5;4;0;0,5;6;12
Nord Ovest;Valle d'Aosta;AO;A094;24;38,54;14;6;11,33;93,87
Nord Ovest;Lombardia;MI;A096;1,6;14,6;11;3;6,5;36,7
Isole;Sardegna;OR;A097;0;0;0;0;2;2
Isole;Sicilia;EN;A098;1,58;8,02;4,67;6;8,63;28,9
Sud;Abruzzo;AQ;A100;3,5;9;2;2;5,67;22,17
Sud;Campania;AV;A101;1;6;4;5;14;30
Sud;Calabria;CS;A102;1;0;0;6;2;9
Sud;Calabria;CS;A105;1;0;0;0,5;0;1,5
Sud;Campania;CE;A106;0;1;0;0,11;4;5,11
Nord Ovest;Piemonte;BI;A107;0;0;0;2;0;2
Nord Ovest;Valle d'Aosta;AO;A108;3;8;2;1,9;1;15,9
Nord Ovest;Piemonte;TO;A109;10;21,83;11;4;9;55,83
Sud;Campania;BN;A110;8,89;7,94;6,17;18,5;24;65,5
Nord Ovest;Liguria;IM;A111;2;3;2;0;1;8
Nord Ovest;Lombardia;LC;A112;2;13;10,17;3,5;5;33,67
Nord Ovest;Piemonte;CN;A113;1;2;0;1;1;5
Isole;Sardegna;SS;A115;0;1;1;2;5;9
Nord Ovest;Piemonte;TO;A117;9;12;3;1;3;28
Nord Ovest;Lombardia;PV;A118;0;1;4;2;6,17;13,17
Nord Ovest;Piemonte;VC;A119;14,85;61,85;11;2;2,83;92,53
Sud;Abruzzo;PE;A120;0;3;4,5;2,5;5,5;15,5
Nord Ovest;Liguria;SV;A122;51;154,94;76;24,33;20,5;326,77
Centro;Lazio;FR;A123;6;23,5;15,85;23,67;49,5;118,52
Nord Ovest;Piemonte;CN;A124;34,95;127,76;113,5;60,5;47,58;384,29
Sud;Abruzzo;TE;A125;104,34;235,13;83,5;36,5;16;475,47
Isole;Sardegna;OR;A126;0;0;0;1;0;1
Nord Ovest;Lombardia;MI;A127;5;14;14;6,5;12;51,5
Sud;Campania;SA;A128;2;3;10;7;19,67;41,67
Nord Ovest;Lombardia;BG;A129;8;28,78;36;19;18,63;110,41
Nord Ovest;Piemonte;VC;A130;0;1;3;0;1;5
Sud;Basilicata;PZ;A131;0;1,17;1;1;0;3,17
Centro;Lazio;RM;A132;36,5;168,49;120,99;57,44;34,16;417,58
Nord Ovest;Lombardia;PV;A134;0;0;3;0;1;4
Nord Ovest;Lombardia;SO;A135;1;1;0;0;0;2
Nord Est;Veneto;VR;A137;0,22;8;11;7,33;24,72;51,27
Nord Est;Emilia-Romagna;PR;A138;2;7,67;6,74;7;16,33;39,74
Nord Ovest;Piemonte;CN;A139;1;0;0;0;1;2
Nord Ovest;Lombardia;CO;A143;4;17,5;21;5;16;63,5
Nord Ovest;Liguria;SV;A145;68,33;145,8;78,56;28;23,85;344,54
Nord Ovest;Piemonte;AL;A146;1,5;4,5;4;5;3;18
Sud;Puglia;BA;A149;8,5;12;20,79;13;12;66,29
Sud;Puglia;FG;A150;4;4,75;3;3;2;16,75
Nord Ovest;Lombardia;CO;A153;4,67;15,5;13,5;14,33;12,5;60,5
Nord Est;Veneto;VI;A154;0;1;2,66;5;13;21,66
Sud;Calabria;CZ;A155;0;2;2;0;0;4
Nord Ovest;Piemonte;TO;A157;0;1;3,5;1;9;14,5
Nord Ovest;Lombardia;MI;A159;9;31,67;34,55;10;13,97;99,19
Sud;Calabria;CS;A160;2;4;0;0;0;6
Nord Est;Veneto;PD;A161;2;70,5;108,64;86,83;113,59;381,56
Nord Est;Emilia-Romagna;RE;A162;2;22;25,38;21,5;34,8;105,68
Nord Ovest;Lombardia;BG;A163;10;68,83;69,55;44;33,17;225,55
Nord Ovest;Lombardia;CO;A164;2;10,89;14,5;6,5;13,66;47,55
Nord Ovest;Liguria;SV;A165;5,25;43;23;9;2;82,25
Nord Ovest;Liguria;SV;A166;21,5;66,22;45;13,5;6;152,22
Nord Ovest;Lombardia;VA;A167;0;24,88;23,7;5;11,14;64,72
Nord Ovest;Lombardia;PV;A171;0;1;1;1;3,83;6,83
Nord Ovest;Lombardia;SO;A172;8,59;10,66;10;6;9;44,25
Nord Ovest;Piemonte;AT;A173;1;1;1;2;8,5;13,5
Nord Ovest;Lombardia;PV;A175;2;28;15;5,5;9;59,5
Isole;Sicilia;TP;A176;50,71;129,99;126,03;105,13;76,04;487,9
Isole;Sicilia;ME;A177;1;4;0;1;0;6
Isole;Sardegna;OR;A180;1;0;4;3;2;10
Isole;Sicilia;AG;A181;2;3,67;0;5;5,2;15,87
Nord Ovest;Piemonte;AL;A182;113,42;469,86;389,22;185,17;219,34;1377,01
Sud;Calabria;CS;A183;0;1;0;0;1;2
Sud;Puglia;LE;A184;3,33;11,5;11,16;7,5;9;42,49
Sud;Puglia;LE;A185;3;14,08;17;12;20,99;67,07
Sud;Campania;SA;A186;0;0;0;0;0;0
Sud;Abruzzo;AQ;A187;13,5;31;6;2;5;57,5
Nord Ovest;Lombardia;BS;A188;1;0;2,25;7;10,5;20,75
Nord Ovest;Piemonte;AL;A189;0;1;0;2;11,33;14,33
Nord Est;Emilia-Romagna;RA;A191;7;28,3;37;14,17;52,82;139,29
Isole;Sardegna;SS;A192;109,91;285,85;210,42;87;61;754,18
Nord Ovest;Lombardia;BG;A193;0;3,33;5;3;3;14,33
Isole;Sicilia;ME;A194;0;1;0;0;0;1
Isole;Sicilia;PA;A195;1;6,33;4;4;5,88;21,21
Sud;Basilicata;MT;A196;3;4;1;2,71;1;11,71
Nord Ovest;Piemonte;AL;A197;0;1;1;2;4;8
Nord Ovest;Piemonte;VC;A198;1;0;1;3;7;12
Sud;Campania;CE;A200;8;4,83;2;7;14;35,83
Isole;Sicilia;ME;A201;0;11;7,55;6,29;0;24,84
Isole;Sicilia;PA;A202;2;7,5;8;3,14;3;23,64
Isole;Sicilia;PA;A203;0;0;1;0,5;0;1,5
Isole;Sardegna;OR;A204;0;2;1;0;0;3
Nord Ovest;Valle d'Aosta;AO;A205;1,33;0;0;1;0;2,33
Nord Est;Veneto;BL;A206;6,99;15;10,17;4;7,5;43,66
Centro;Umbria;TR;A207;0;3;2;2;5,33;12,33
Sud;Puglia;LE;A208;8;28;10,58;9,08;14;69,66
Centro;Lazio;RM;A210;7;14,39;4,63;2;2;30,02
Nord Ovest;Lombardia;BG;A214;2;10;28,5;11;10;61,5
Nord Ovest;Lombardia;BG;A215;3;24,33;31,88;17;14,11;90,32
Nord Ovest;Lombardia;BG;A216;2;15,01;26;12;13;68,01
Nord Ovest;Lombardia;BG;A217;2;14;13,72;7,5;12,42;49,64
Nord Ovest;Piemonte;TO;A218;1,5;14,75;17,75;7,22;34,63;75,85
Nord Est;Veneto;VI;A220;1,5;3;6;1;8;19,5
Nord Ovest;Piemonte;TO;A221;3;5;1;2;3;14
Nord Ovest;Piemonte;TO;A222;9,21;96,75;61,83;23,58;30;221,37
Nord Est;Emilia-Romagna;PC;A223;0;3;17,33;9;26,5;55,83
Nord Ovest;Lombardia;CO;A224;0;2,5;15;0;2;19,5
Sud;Puglia;BA;A225;59,96;253,24;310,77;166,22;93,73;883,92
Nord Ovest;Liguria;SV;A226;0;15;26;6;4;51
Nord Ovest;Piemonte;AL;A227;0;0;1;0;9,5;10,5
Sud;Campania;AV;A228;3;6;4;5;3;21
Isole;Sicilia;PA;A229;14,16;20,42;36,36;32,75;39,65;143,34
Sud;Campania;SA;A230;3;7;12;9;16,17;47,17
Nord Est;Veneto;VI;A231;8;56,67;37,56;24,37;37,51;164,11
Centro;Marche;AP;A233;10;37,75;14,53;3,69;3,25;69,22
Sud;Calabria;CS;A234;1;1,5;2,5;0;3;8
Sud;Abruzzo;CH;A235;3;2;14;2;5,17;26,17
Nord Est;Veneto;VI;A236;0;4;2,5;1;8,17;15,67
Nord Est;Veneto;TV;A237;0,25;8,15;9,5;6,33;26,73;50,96
Nord Ovest;Piemonte;CN;A238;2;2;2;1;0;7
Isole;Sicilia;PA;A239;9;16,17;13;10;18,5;66,67
Sud;Calabria;CS;A240;1;4;2;0;6;13
Centro;Toscana;LU;A241;5;66,25;44;29,64;47,44;192,33
Centro;Umbria;TR;A242;3;5;3;3;5;19
Sud;Campania;CE;A243;0;1;3;3;16,23;23,23
Centro;Lazio;FR;A244;2;5,5;7,5;2;13,58;30,58
Nord Ovest;Piemonte;AL;A245;0;0;0;0;2;2
Nord Ovest;Lombardia;BG;A246;17,5;72,9;86,71;26,94;34,77;238,82
Nord Ovest;Lombardia;CO;A249;5;14;12,89;4,5;12,17;48,56
Sud;Campania;SA;A251;5,94;7,87;6;8,5;4;32,31
Centro;Marche;AP;A252;0,5;1;7;4,28;10,34;23,12
Sud;Calabria;CS;A253;11;26,33;35,5;23,28;32,5;128,61
Nord Est;Friuli- Venezia Giulia;UD;A254;0;0;2;2;3;7
Sud;Calabria;CZ;A255;0;1;0;1,26;0,26;2,52
Centro;Lazio;FR;A256;2;1;2;1;6,16;12,16
Sud;Calabria;CZ;A257;1;2;1;0;0;4
Centro;Lazio;RI;A258;14,5;9,92;2,67;5,3;4,55;36,94
Nord Ovest;Lombardia;BG;A259;1;9,5;7,5;4,17;4,5;26,67
Nord Ovest;Liguria;SP;A261;13;40;21,3;10,61;10;94,91
Centro;Umbria;TR;A262;13,12;44,67;40,5;13,5;37,89;149,68
Sud;Calabria;CS;A263;1,33;3,18;9;2,5;3,6;19,61
Nord Ovest;Piemonte;NO;A264;2;4;4;3;7,33;20,33
Sud;Campania;BN;A265;0;1;2;3;1,75;7,75
Nord Est;Friuli- Venezia Giulia;UD;A267;1;1;2;1;4,33;9,33
Sud;Campania;NA;A268;5,5;11,17;12,67;5;8;42,34
Centro;Lazio;FR;A269;10,22;34,83;34,5;25,5;38,67;143,72
Sud;Abruzzo;TE;A270;0;2;3;2,5;4;11,5
Centro;Marche;AN;A271;90,77;386,07;462,65;240,31;160,35;1340,15
Sud;Calabria;CZ;A272;1;4;5;1;1;12
Nord Ovest;Lombardia;SO;A273;0;1;2;0;1,5;4,5
Nord Ovest;Piemonte;TO;A275;1;4,75;8;2;5;20,75
Nord Ovest;Liguria;SV;A278;78,9;122,92;35,28;14;6,5;257,6
Nord Ovest;Piemonte;BI;A280;2;15;15;4;11;47
Sud;Puglia;LE;A281;1;15,5;7;1;12,67;37,17
Nord Ovest;Piemonte;TO;A282;0;4;7;2,5;1;14,5
Nord Est;Friuli- Venezia Giulia;PN;A283;1;3;2,5;3;2,5;12
Sud;Campania;AV;A284;1;7,17;2;2;2;14,17
Sud;Puglia;BA;A285;81,05;215,14;271,06;181,37;113,79;862,41
Isole;Sardegna;SS;A287;0;2;1;0;1;4
Nord Ovest;Lombardia;BS;A288;7;5,33;3,75;0,67;2;18,75
Nord Ovest;Lombardia;VA;A290;5;32;15;12,5;26,25;90,75
Centro;Toscana;AR;A291;2;6;13;9,83;24,33;55,16
Nord Est;Veneto;VR;A292;0;6;6;9,5;7,5;29
Nord Ovest;Lombardia;BS;A293;13;7,83;8,5;3;3;35,33
Sud;Campania;SA;A294;34,89;34,78;64,5;45,34;41,89;221,4
Nord Ovest;Piemonte;TO;A295;7;8,5;7;5;7,25;34,75
Nord Est;Veneto;PD;A296;0;1,07;11,5;8;13,57;34,14
Centro;Lazio;RM;A297;13;39,33;33,67;26,52;35,53;148,05
Nord Ovest;Lombardia;CR;A299;0;3;6;1,34;5,68;16,02
Nord Ovest;Piemonte;AT;A300;0;3;1;1,9;11,88;17,78
Nord Ovest;Lombardia;LC;A301;2,92;2;7;3;3,17;18,09
Nord Est;Veneto;VE;A302;0;11;8;4;21;44
Sud;Calabria;RC;A303;3;2;1;1;0;7
Nord Ovest;Lombardia;BG;A304;1;14;41,86;9;13,85;79,71
Nord Ovest;Valle d'Aosta;AO;A305;4,64;8;8;1,54;1;23,18
Nord Ovest;Valle d'Aosta;AO;A308;5;3;4;0;0;12
Centro;Lazio;RM;A309;2;3;1;1;1;8
Centro;Lazio;FR;A310;36,42;76,2;54,17;16,22;14,5;197,51
Nord Ovest;Piemonte;AT;A312;2;2;4;2;3;13
Isole;Sicilia;ME;A313;0;0;0;1;0;1
Sud;Calabria;RC;A314;0;1;1;0;1;3
Centro;Lazio;RI;A315;2;10;9;6;7;34
Nord Ovest;Piemonte;VB;A317;2,61;6,5;1,5;1,5;1;13,11
Sud;Abruzzo;AQ;A318;3;6,67;6;1;2,5;19,17
Nord Ovest;Lombardia;CO;A319;0;2;5;5;4;16
Sud;Puglia;FG;A320;0;3,88;3;3;2;11,88
Sud;Basilicata;PZ;A321;1;2,5;3;3;1;10,5
Centro;Lazio;RM;A323;75,61;355,4;340,99;192,79;104,23;1069,02
Nord Est;Emilia-Romagna;BO;A324;8;53,47;50,63;14;8,42;134,52
Nord Ovest;Piemonte;VB;A325;1;0;1;1,17;1;4,17
Nord Ovest;Valle d'Aosta;AO;A326;34,17;170,09;117,16;59,17;29;409,59
Centro;Marche;PS;A327;0;1;2;3;6;12
Sud;Campania;BN;A328;0;9;4;10;18,33;41,33
Centro;Marche;MC;A329;4;2;9;3;8,58;26,58
Sud;Campania;BN;A330;1;5;3;0;1;10
Nord Ovest;Lombardia;CO;A333;5,5;27,75;39,5;22;30,17;124,92
Centro;Marche;MC;A334;2;7;7;2,5;12,38;30,88
Centro;Marche;AP;A335;0;0;1,5;2,42;3,66;7,58
Nord Ovest;Lombardia;SO;A337;34;47,48;17,11;7;0;105,59
Nord Ovest;Liguria;IM;A338;6;14;8;1;0;29
Sud;Puglia;FG;A339;12;16,25;35,5;15,5;26,07;105,32
Sud;Calabria;CS;A340;0;1,04;2;2,33;3,78;9,15
Centro;Lazio;LT;A341;35,86;252,22;236,33;113,26;115,54;753,21
Sud;Campania;SA;A343;0;3;1;2;2;8
Nord Ovest;Liguria;IM;A344;0;0;0;2;1;3
Sud;Abruzzo;AQ;A345;74,21;239,8;248,75;174,9;165,6;903,26
Sud;Campania;AV;A347;0;0,5;9;3;1;13,5
Centro;Lazio;FR;A348;2;3,67;2;1;8,33;17
Sud;Puglia;LE;A350;10,5;24,5;10,5;7,38;4,33;57,21
Isole;Sicilia;AG;A351;11,5;17,18;20;16,5;15,5;80,68
Nord Ovest;Piemonte;AT;A352;0;0;1;0;6;7
Nord Est;Friuli- Venezia Giulia;PN;A354;0;0;2;4;10;16
Isole;Sardegna;NU;A355;17,08;70,83;25,22;18,67;16,34;148,14
Isole;Sardegna;OR;A357;0;3;10;3,5;12,17;28,67
Nord Ovest;Piemonte;VC;A358;2;1;4,07;2;5;14,07
Isole;Sardegna;CA;A359;15,33;24,23;13,89;8,6;20,76;82,81
Nord Est;Veneto;TV;A360;2;15;13;6;16,5;52,5
Centro;Lazio;FR;A363;6;6,3;6,75;5;16,68;40,73
Nord Ovest;Lombardia;BG;A365;3;22;35,67;23;15;98,67
Centro;Marche;AN;A366;4;9,13;8,41;5,25;27,07;53,86
Sud;Abruzzo;CH;A367;1;2,67;2;2;6;13,67
Isole;Sardegna;OR;A368;3;4,02;3,01;3,85;8,5;22,38
Centro;Toscana;GR;A369;14,33;37,83;31,14;18,39;21,87;123,56
Centro;Lazio;RM;A370;11,67;18,75;5,04;2;2;39,46
Nord Ovest;Lombardia;VA;A371;4;41;40,17;21,5;21,67;128,34
Nord Ovest;Liguria;SP;A373;17,01;53,67;41,53;15,9;24,76;152,87
Nord Est;Veneto;VR;A374;2;15;18,42;12;18,5;65,92
Nord Ovest;Lombardia;MI;A375;5;35;19,5;10;15,5;85
Nord Ovest;Lombardia;MI;A376;25,5;108,5;88,14;43;27,45;292,59
Nord Est;Veneto;VI;A377;2;6;15,33;14;26,5;63,83
Isole;Sardegna;SS;A379;1;4;2;0;1;8
Isole;Sardegna;OR;A380;0;1;0;1;2;4
Nord Ovest;Lombardia;SO;A382;3,5;4,8;8;5;4;25,3
Nord Ovest;Lombardia;BG;A383;10;14;12;7,87;8,99;52,86
Sud;Calabria;RC;A385;0;11,36;13;5,5;6,67;36,53
Sud;Calabria;VV;A386;2;0,5;2;1;0;5,5
Nord Ovest;Lombardia;PV;A387;1;0;1;3;7,5;12,5
Nord Ovest;Liguria;GE;A388;27,67;80,59;65,83;15,6;19,92;209,61
Nord Ovest;Lombardia;MI;A389;14,5;72;100,02;44;61,17;291,69
Centro;Toscana;AR;A390;76,37;200,35;311,01;194,79;228;1010,52
Nord Ovest;Lombardia;CO;A391;5;8;3;3;5;24
Nord Est;Emilia-Romagna;BO;A392;10,66;60,5;48;16,8;15;150,96
Nord Est;Emilia-Romagna;FE;A393;6,5;46;63,33;57,67;92,83;266,33
Nord Ovest;Piemonte;CN;A394;8,5;5;0;1,83;1;16,33
Nord Ovest;Piemonte;CN;A396;1;0;0;0;0;1
Sud;Calabria;CZ;A397;0;3;1;0;2;6
Sud;Abruzzo;CH;A398;0;1;0;2,66;5;8,66
Sud;Campania;AV;A399;15;29,52;32,94;31,83;32,17;141,46
Nord Est;Veneto;RO;A400;0;13,5;12,5;15,5;14;55,5
Centro;Lazio;RM;A401;11,6;42;53,53;22,72;44,5;174,35
Sud;Abruzzo;CH;A402;0;1;0;1;3;5
Sud;Campania;CE;A403;2;3;7;11,67;7;30,67
Nord Ovest;Piemonte;TO;A405;0;0;2;3;2,34;7,34
Isole;Sardegna;NU;A407;0;1;0;2;2;5
Nord Ovest;Piemonte;VB;A409;1;6,63;10,5;3;7;28,13
Centro;Lazio;VT;A412;2;2,5;4;3;0;11,5
Nord Ovest;Lombardia;MI;A413;14,5;76,89;61,4;19,73;24,31;196,83
Nord Ovest;Piemonte;NO;A414;3;8;15;10;5;41
Sud;Basilicata;PZ;A415;2;4;1;1;0;8
Nord Ovest;Liguria;IM;A418;0;0;1;1;0;2
Isole;Sardegna;CA;A419;0;1;2;0;5,14;8,14
Centro;Lazio;FR;A421;4,68;0;2;2;2;10,68
Nord Ovest;Liguria;SV;A422;2;3;4;1;1;11
Nord Ovest;Valle d'Aosta;AO;A424;0;3,5;2;1;0,5;7
Sud;Puglia;LE;A425;0;5;6;7;14;32
Nord Ovest;Piemonte;VB;A427;0;1;2;0,5;1;4,5
Nord Ovest;Piemonte;NO;A429;18,7;89,5;91,67;22,5;39,79;262,16
Nord Ovest;Lombardia;CO;A430;7;21,8;15,3;13,75;10;67,85
Sud;Campania;BN;A431;2;2;4;0;4;12
Sud;Campania;BN;A432;1;1;0;0;4,5;6,5
Centro;Lazio;FR;A433;0;6,8;4;4,5;15,5;30,8
Nord Est;Veneto;PD;A434;0;2,33;2;5;9,44;18,77
Nord Est;Veneto;RO;A435;1;6;2,25;7,83;7,13;24,21
Nord Ovest;Piemonte;AL;A436;6,92;27;26,83;21,92;17;99,67
Centro;Marche;AP;A437;3;2,5;0,58;1;2,94;10,02
Nord Est;Veneto;PD;A438;0;1;6,5;3;10,5;21
Centro;Umbria;TR;A439;7;9,22;10;3;6,22;35,44
Nord Ovest;Lombardia;BG;A440;1;5;7,83;10,83;5;29,66
Nord Ovest;Lombardia;VA;A441;2;16;18,5;7;8;51,5
Nord Est;Veneto;BL;A443;5;14,7;10,06;6;15,75;51,51
Nord Est;Veneto;VI;A444;2;4;5,5;7,5;17;36
Sud;Abruzzo;TE;A445;1;1;2;0;4;8
Centro;Lazio;RM;A446;0;2;2,67;2;3;9,67
Nord Est;Friuli- Venezia Giulia;UD;A447;5;10,33;6;5;10,16;36,49
Nord Est;Friuli- Venezia Giulia;UD;A448;1;4,5;4;6,5;14;30
Centro;Lazio;RM;A449;8;26;26,75;14,26;20,5;95,51
Nord Ovest;Lombardia;BS;A451;13,87;29,96;18,5;5;13,26;80,59
Nord Ovest;Valle d'Aosta;AO;A452;1;1;6;1;1;10
Isole;Sardegna;SS;A453;108,73;227,8;94,07;50,5;74,4;555,5
Isole;Sardegna;NU;A454;0;0;0;0,5;8;8,5
Sud;Campania;NA;A455;22,92;50,9;55,91;46,87;8,35;184,95
Nord Est;Veneto;PD;A458;2;6;15,42;20;17,88;61,3
Nord Est;Veneto;VI;A459;9,75;60,5;83,75;51,91;69,29;275,2
Sud;Campania;SA;A460;19;32,14;22;9;7;89,14
Centro;Toscana;SI;A461;4;32;35,5;14,5;16,5;102,5
Centro;Marche;AP;A462;19,93;80,37;129,5;90,66;89,85;410,31
Sud;Puglia;FG;A463;5,75;13,57;20,67;8;6,91;54,9
Centro;Lazio;RI;A464;7;7,5;4;0;1;19,5
Nord Est;Veneto;VI;A465;15,67;55,83;24,36;23,67;15,78;135,31
Nord Ovest;Piemonte;VC;A466;0;1;4;3;5;13
Nord Est;Veneto;VI;A467;0;1;1;1;4;7
Centro;Toscana;SI;A468;2;23;46,83;34,7;49,53;156,06
Nord Ovest;Lombardia;MN;A470;3;19;22;17,09;45,24;106,33
Nord Est;Veneto;TV;A471;2;32,83;13,83;8;23,56;80,22
Centro;Lazio;RI;A472;1,5;8;7;4;4,5;25
Nord Ovest;Lombardia;MI;A473;4;56;58,07;49,25;11,5;178,82
Isole;Sardegna;CA;A474;7;117,85;64,62;48,2;43,32;280,99
Centro;Umbria;PG;A475;16,2;82,41;62,2;49,86;61,47;272,14
Nord Ovest;Lombardia;CO;A476;5;21;18;6,5;9,61;60,11
Isole;Sardegna;OR;A477;0;0;0;0;2;2
Isole;Sicilia;EN;A478;2;8,67;11;7;0,5;29,17
Nord Ovest;Piemonte;AT;A479;82,28;396,59;275,31;125,03;165,73;1044,94
Isole;Sardegna;OR;A480;0;0;0;2;0;2
Sud;Abruzzo;AQ;A481;31;29;4,5;4;2,5;71
Sud;Basilicata;PZ;A482;4;4;7;5;3,8;23,8
Sud;Campania;SA;A484;1;1;3;2;6;13
Sud;Abruzzo;CH;A485;8;13;13;14;27,5;75,5
Centro;Lazio;FR;A486;3;12;15;8;14;52
Sud;Campania;SA;A487;1;0;1;0;3;5
Sud;Abruzzo;TE;A488;3;13,07;20,67;13,5;18,33;68,57
Sud;Campania;AV;A489;2,04;13;13;19,5;20,33;67,87
Centro;Umbria;TR;A490;5;6;9;3;5;28
Nord Est;Friuli- Venezia Giulia;UD;A491;1;1;6;5;6,67;19,67
Isole;Sardegna;NU;A492;0;1;0;2;2;5
Isole;Sicilia;SR;A494;43,02;176,73;158,71;132,91;115,01;626,38
Sud;Campania;SA;A495;0;2;2;2,33;1;7,33
Centro;Toscana;MS;A496;8;30,06;50,5;35;21,5;145,06
