Area;Regione;Provincia;2025_CodCom;NTN_2025_Depositi_Pert;NTN_2025_Box
Nord Ovest;Piemonte;VB;B380;1;1,5
Isole;Sicilia;EN;B381;6,75;7
Sud;Abruzzo;AQ;B382;1;1
Isole;Sardegna;CA;B383;4;8,5
Isole;Sicilia;CT;B384;11;29,74
Isole;Sicilia;TP;B385;21,93;8,17
Nord Ovest;Lombardia;PV;B387;9,33;12,5
Centro;Lazio;VT;B388;2,5;2
Centro;Toscana;PI;B390;19;45,5
Sud;Basilicata;MT;B391;1,25;0,67
Centro;Toscana;PI;B392;29,74;101,75
Nord Ovest;Lombardia;BG;B393;8,5;71,6
Nord Ovest;Lombardia;BS;B394;7,67;136,75
Nord Ovest;Lombardia;BG;B395;7;43
Nord Ovest;Lombardia;LC;B396;11,27;76,1
Centro;Marche;MC;B398;1,63;6
Nord Est;Emilia-Romagna;BO;B399;37;214,29
Nord Est;Veneto;VR;B402;36,5;138,33
Nord Est;Veneto;VI;B403;15,67;140,26
Nord Est;Emilia-Romagna;PC;B405;1;17,66
Centro;Toscana;FI;B406;61,95;167,39
Nord Est;Emilia-Romagna;PR;B408;15;31,5
Nord Ovest;Liguria;SV;B409;11,16;3
Nord Ovest;Liguria;SP;B410;5,5;0
Sud;Puglia;LE;B413;5;20,5
Sud;Campania;AV;B415;5;10,5
Nord Ovest;Liguria;SV;B416;15,5;11
