Area;Regione;Provincia;2022_CodCom;NTN_2022_Depositi_Pert;NTN_2022_Box
Nord Est;Veneto;VE;A302;7;27
Sud;Calabria;RC;A303;3;0
Nord Ovest;Lombardia;BG;A304;4;27,44
Nord Ovest;Valle d'Aosta;AO;A305;18,07;13,16
Nord Ovest;Valle d'Aosta;AO;A308;3,66;9
Centro;Lazio;RM;A309;2;0
Centro;Lazio;FR;A310;11,52;19,17
Nord Ovest;Piemonte;AT;A312;5;6
Isole;Sicilia;ME;A313;0;1
Sud;Calabria;RC;A314;0;0
Centro;Lazio;RI;A315;12,66;4,33
Nord Ovest;Piemonte;VB;A317;10,55;2,69
Sud;Abruzzo;AQ;A318;4,67;2
Nord Ovest;Lombardia;CO;A319;1;16,5
Sud;Puglia;FG;A320;0;4
Sud;Basilicata;PZ;A321;22,5;1
Centro;Lazio;RM;A323;125,34;483,88
Nord Est;Emilia-Romagna;BO;A324;55,38;191,17
Nord Ovest;Piemonte;VB;A325;1;1
Nord Ovest;Valle d'Aosta;AO;A326;163,16;410,38
Centro;Marche;PS;A327;5,86;2,78
Sud;Campania;BN;A328;5;5,5
Centro;Marche;MC;A329;6;4
Sud;Campania;BN;A330;2;0
Nord Ovest;Lombardia;CO;A333;16,87;106,56
Centro;Marche;MC;A334;1;23,5
Centro;Marche;AP;A335;5,33;4,17
Nord Ovest;Lombardia;SO;A337;61,83;112,83
Nord Ovest;Liguria;IM;A338;24;2
Sud;Puglia;FG;A339;10,07;35,99
Sud;Calabria;CS;A340;7;4
Centro;Lazio;LT;A341;110,67;458,71
Sud;Campania;SA;A343;4;1,5
Nord Ovest;Liguria;IM;A344;0;0
Sud;Abruzzo;AQ;A345;209,77;460,01
Sud;Campania;AV;A347;0;2
Centro;Lazio;FR;A348;1,75;7,72
Sud;Puglia;LE;A350;7;12
Isole;Sicilia;AG;A351;12;3
Nord Ovest;Piemonte;AT;A352;3;7,67
Nord Est;Friuli- Venezia Giulia;PN;A354;4;7,5
Isole;Sardegna;NU;A355;17;96,14
Isole;Sardegna;OR;A357;1;3,67
Nord Ovest;Piemonte;VC;A358;2;9
Isole;Sardegna;CA;A359;4,03;25,74
Nord Est;Veneto;TV;A360;4;48,5
Centro;Lazio;FR;A363;5,5;8,5
Nord Ovest;Lombardia;BG;A365;18,2;109,25
Centro;Marche;AN;A366;15;19,33
Sud;Abruzzo;CH;A367;0;4
Isole;Sardegna;OR;A368;0;1
Centro;Toscana;GR;A369;19;26
Centro;Lazio;RM;A370;2;13,84
Nord Ovest;Lombardia;VA;A371;27,5;73
Nord Ovest;Liguria;SP;A373;43,5;37
Nord Est;Veneto;VR;A374;3;56,97
Nord Ovest;Lombardia;MI;A375;16;83,83
Nord Ovest;Lombardia;MI;A376;146,8;272,92
Nord Est;Veneto;VI;A377;6,33;51,57
Isole;Sardegna;SS;A379;0;0
Isole;Sardegna;OR;A380;1;0
Nord Ovest;Lombardia;SO;A382;15,5;16
Nord Ovest;Lombardia;BG;A383;10,83;36,49
Sud;Calabria;RC;A385;9,67;5,67
Sud;Calabria;VV;A386;0;0
Nord Ovest;Lombardia;PV;A387;9;9
Nord Ovest;Liguria;GE;A388;48,06;204,35
Nord Ovest;Lombardia;MI;A389;83,7;302,79
Centro;Toscana;AR;A390;331,48;825,16
Nord Ovest;Lombardia;CO;A391;10,04;24,42
Nord Est;Emilia-Romagna;BO;A392;28,98;156,92
Nord Est;Emilia-Romagna;FE;A393;26,17;177,88
Nord Ovest;Piemonte;CN;A394;1;11,5
Nord Ovest;Piemonte;CN;A396;0;1
Sud;Calabria;CZ;A397;1;0
Sud;Abruzzo;CH;A398;2;4
Sud;Campania;AV;A399;22,13;34,67
Nord Est;Veneto;RO;A400;4;15,67
Centro;Lazio;RM;A401;27,17;101,67
Sud;Abruzzo;CH;A402;3,22;1
Sud;Campania;CE;A403;5;2
Nord Ovest;Piemonte;TO;A405;0;4
Isole;Sardegna;NU;A407;2;0,96
Nord Ovest;Piemonte;VB;A409;8;26,2
Centro;Lazio;VT;A412;1;0
Nord Ovest;Lombardia;MI;A413;35,34;179,67
Nord Ovest;Piemonte;NO;A414;8;9
Sud;Basilicata;PZ;A415;3;1
Nord Ovest;Liguria;IM;A418;0;0
Isole;Sardegna;CA;A419;0,78;0
Centro;Lazio;FR;A421;3;0
Nord Ovest;Liguria;SV;A422;1;1,5
Nord Ovest;Valle d'Aosta;AO;A424;1;2
Sud;Puglia;LE;A425;0,67;11
Nord Ovest;Piemonte;VB;A427;0;0
Nord Ovest;Piemonte;NO;A429;66,69;233,92
Nord Ovest;Lombardia;CO;A430;19;58,54
Sud;Campania;BN;A431;1;1
Sud;Campania;BN;A432;3;0
Centro;Lazio;FR;A433;11;7,83
Nord Est;Veneto;PD;A434;4;18,5
Nord Est;Veneto;RO;A435;3;20,83
Nord Ovest;Piemonte;AL;A436;41,22;79,88
Centro;Marche;AP;A437;15,25;2
Nord Est;Veneto;PD;A438;1;13,75
Centro;Umbria;TR;A439;11,03;11,67
Nord Ovest;Lombardia;BG;A440;2;38,5
Nord Ovest;Lombardia;VA;A441;6;46,83
Nord Est;Veneto;BL;A443;6,84;17,13
Nord Est;Veneto;VI;A444;12,5;20,03
Sud;Abruzzo;TE;A445;1;1
Centro;Lazio;RM;A446;3;5
Nord Est;Friuli- Venezia Giulia;UD;A447;3;16,87
Nord Est;Friuli- Venezia Giulia;UD;A448;8;21
Centro;Lazio;RM;A449;20;43,33
Nord Ovest;Lombardia;BS;A451;13,1;55
Nord Ovest;Valle d'Aosta;AO;A452;9;2
Isole;Sardegna;SS;A453;54,36;181,1
Isole;Sardegna;NU;A454;1;0
Sud;Campania;NA;A455;6,5;51,17
Nord Est;Veneto;PD;A458;0,97;55,88
Nord Est;Veneto;VI;A459;47,15;281,12
Sud;Campania;SA;A460;17,44;31,2
Centro;Toscana;SI;A461;22,67;62,78
Centro;Marche;AP;A462;179,37;222,24
Sud;Puglia;FG;A463;12,33;16,5
Centro;Lazio;RI;A464;2;3
Nord Est;Veneto;VI;A465;30,55;153,08
Nord Ovest;Piemonte;VC;A466;6;12
Nord Est;Veneto;VI;A467;0;3,5
Centro;Toscana;SI;A468;21,64;95,49
Nord Ovest;Lombardia;MN;A470;10;102,99
Nord Est;Veneto;TV;A471;13,33;99,29
Centro;Lazio;RI;A472;5;8,33
Nord Ovest;Lombardia;MI;A473;56,17;228,58
Isole;Sardegna;CA;A474;13,53;120,86
Centro;Umbria;PG;A475;62,22;178,78
Nord Ovest;Lombardia;CO;A476;8,75;28,25
Isole;Sardegna;OR;A477;0;0
Isole;Sicilia;EN;A478;9,69;10,38
Nord Ovest;Piemonte;AT;A479;347,59;688,49
Isole;Sardegna;OR;A480;1;0
Sud;Abruzzo;AQ;A481;5;2
Sud;Basilicata;PZ;A482;4;12
Sud;Campania;SA;A484;0;2,67
Sud;Abruzzo;CH;A485;7;21
Centro;Lazio;FR;A486;4;2
Sud;Campania;SA;A487;0;0
Sud;Abruzzo;TE;A488;17;21,99
Sud;Campania;AV;A489;12,11;49,92
Centro;Umbria;TR;A490;1;7,34
Nord Est;Friuli- Venezia Giulia;UD;A491;4,5;12,67
Isole;Sardegna;NU;A492;0;0
Isole;Sicilia;SR;A494;15,17;119,86
Sud;Campania;SA;A495;4;1
Centro;Toscana;MS;A496;32,33;71,58
Nord Ovest;Piemonte;VB;A497;5;5,83
Nord Ovest;Liguria;IM;A499;1;1
Nord Est;Veneto;BL;A501;25,28;68,09
Centro;Lazio;FR;A502;1;0
Isole;Sardegna;NU;A503;0;0
Nord Ovest;Liguria;GE;A506;9,4;23,83
Sud;Campania;AV;A508;7,72;3
Sud;Campania;AV;A509;66,19;263,59
Nord Ovest;Lombardia;BG;A511;1,5;2
Sud;Campania;CE;A512;55,21;222,47
Sud;Puglia;TA;A514;5,5;6,34
Sud;Abruzzo;AQ;A515;77,93;277,79
Nord Est;Friuli- Venezia Giulia;PN;A516;37,5;149,66
Nord Ovest;Lombardia;BG;A517;1,33;82
Nord Ovest;Piemonte;TO;A518;28;125,66
Sud;Basilicata;PZ;A519;17,33;9,5
Nord Ovest;Valle d'Aosta;AO;A521;1;0
Isole;Sicilia;SR;A522;21,37;71,5
Nord Ovest;Piemonte;AL;A523;0;1
Nord Ovest;Piemonte;TO;A525;3;10
Nord Ovest;Lombardia;CR;A526;0;5
Nord Ovest;Piemonte;AT;A527;0;0
Nord Ovest;Lombardia;BG;A528;32,92;152,44
Nord Ovest;Lombardia;BS;A529;7;57,5
Nord Est;Friuli- Venezia Giulia;PN;A530;40,12;147,7
Nord Ovest;Lombardia;VA;A531;14;71,33
Nord Ovest;Lombardia;VA;A532;1;4
Nord Ovest;Lombardia;BG;A533;0,5;2
Nord Ovest;Piemonte;VB;A534;3,38;3
Sud;Campania;NA;A535;23,04;20,67
Nord Ovest;Liguria;IM;A536;11,5;1,5
Nord Ovest;Lombardia;PV;A538;1;6
Nord Est;Veneto;RO;A539;9,52;77
Nord Est;Veneto;VR;A540;9,17;17,42
Centro;Toscana;AR;A541;0;0,67
Sud;Calabria;CZ;A542;7;8
Sud;Calabria;RC;A544;0,75;0
Isole;Sicilia;PA;A546;29,63;72
Nord Est;Emilia-Romagna;RA;A547;27;117,78
Nord Ovest;Lombardia;PV;A550;1;4
Nord Est;Emilia-Romagna;RA;A551;3;23
Sud;Calabria;RC;A552;2;4
Nord Est;Friuli- Venezia Giulia;UD;A553;4;22,17
Nord Ovest;Piemonte;CN;A555;5,05;3
Nord Ovest;Lombardia;BG;A557;12,22;77,44
Centro;Toscana;LU;A560;17;17
Centro;Toscana;PT;A561;51,64;209,66
Centro;Toscana;PI;A562;63,41;201,06
Centro;Toscana;FI;A564;51,49;186,72
Nord Est;Emilia-Romagna;FO;A565;9,44;35,5
Sud;Campania;AV;A566;2,17;21,67
Sud;Molise;IS;A567;2;2,33
Nord Est;Veneto;PD;A568;1;18
Nord Ovest;Lombardia;BS;A569;12,67;104,5
Nord Ovest;Lombardia;CR;A570;4;62,5
Nord Ovest;Piemonte;CN;A571;27,44;84,04
Sud;Puglia;LE;A572;3;2
Nord Est;Emilia-Romagna;RE;A573;19,33;111,45
Nord Est;Veneto;RO;A574;0;9,5
Nord Ovest;Lombardia;MN;A575;3;85,54
Centro;Toscana;MS;A576;15,33;8
Centro;Lazio;VT;A577;5,6;11,5
Nord Ovest;Lombardia;BS;A578;12,67;14
Sud;Campania;CE;A579;3;2
Sud;Campania;AV;A580;4,33;3
Nord Ovest;Liguria;IM;A581;15;3
Nord Ovest;Piemonte;TO;A584;3;3
Nord Est;Emilia-Romagna;RE;A586;11,33;20
Nord Ovest;Piemonte;TO;A587;11;28,17
Nord Ovest;Piemonte;AT;A588;0;8
Nord Ovest;Piemonte;CN;A589;3;10,5
Nord Ovest;Piemonte;TO;A590;3;2
Nord Ovest;Piemonte;TO;A591;3;27
Isole;Sicilia;PA;A592;5;9
Nord Ovest;Liguria;SV;A593;3;0
Nord Ovest;Lombardia;LC;A594;11;45,92
Isole;Sardegna;CA;A597;0;0
Nord Ovest;Piemonte;TO;A599;3;0
Nord Ovest;Piemonte;VC;A600;0;2
Nord Ovest;Piemonte;VC;A601;0;0
Sud;Abruzzo;AQ;A603;0,5;5,5
Sud;Basilicata;PZ;A604;2;2
Nord Ovest;Piemonte;AL;A605;6,5;14
Isole;Sardegna;SS;A606;2;1
Nord Ovest;Piemonte;TO;A607;7;50
Isole;Sardegna;OR;A609;1;0
Nord Ovest;Piemonte;VB;A610;1;2
Sud;Basilicata;PZ;A612;0;1
Nord Est;Veneto;PD;A613;2,5;12,16
Isole;Sardegna;OR;A614;0;1
Sud;Basilicata;PZ;A615;3;1
Sud;Molise;CB;A616;3;6,5
Sud;Campania;NA;A617;5,5;1
Nord Ovest;Lombardia;MI;A618;23,61;58,41
Nord Ovest;Lombardia;VA;A619;5,8;30,5
Isole;Sardegna;OR;A621;1;0
Nord Ovest;Piemonte;TO;A625;3;16,39
Centro;Marche;AN;A626;0;3
Centro;Lazio;VT;A628;4,33;3
Nord Ovest;Piemonte;CN;A629;4;4
Nord Ovest;Lombardia;BS;A630;4,5;16,33
Nord Ovest;Lombardia;BG;A631;1;4,5
Centro;Toscana;FI;A632;29,03;82,74
Nord Ovest;Lombardia;PV;A634;3;1
Nord Est;Veneto;PD;A637;0;1
Isole;Sicilia;ME;A638;22,39;28,33
Nord Est;Friuli- Venezia Giulia;PN;A640;3;2
Nord Ovest;Valle d'Aosta;AO;A643;2;0
Nord Ovest;Lombardia;VA;A645;6,24;21,13
Nord Est;Emilia-Romagna;PR;A646;8,57;14
Nord Ovest;Liguria;SV;A647;10;1,33
Nord Est;Veneto;VR;A650;21,89;122,39
Nord Ovest;Piemonte;TO;A651;44,33;162,54
Nord Ovest;Lombardia;MI;A652;44,65;196,66
Nord Ovest;Piemonte;NO;A653;1;0
Isole;Sardegna;OR;A655;0;0
Sud;Abruzzo;AQ;A656;1;0
Centro;Toscana;LU;A657;25;28
Nord Ovest;Liguria;GE;A658;13,25;6
Nord Ovest;Piemonte;CN;A660;19;45,5
Nord Ovest;Lombardia;BS;A661;2;1
Sud;Puglia;BA;A662;855,4;2886,24
Isole;Sardegna;NU;A663;2,3;20
Nord Ovest;Lombardia;BG;A664;2,67;28,05
Nord Est;Emilia-Romagna;BO;A665;14;106,19
Sud;Basilicata;PZ;A666;4,67;14
Sud;Abruzzo;AQ;A667;1,82;8,82
Nord Ovest;Lombardia;MI;A668;20,5;90,49
Sud;Puglia;BA;A669;130,47;415,06
Nord Ovest;Lombardia;CO;A670;0;7
Nord Ovest;Piemonte;CN;A671;0;3
Nord Ovest;Piemonte;TO;A673;5;5
Sud;Campania;SA;A674;18,65;165,32
Isole;Sicilia;EN;A676;3;24,96
Isole;Sardegna;CA;A677;0;0
Sud;Abruzzo;AQ;A678;2;6
Isole;Sardegna;CA;A681;1;0
Nord Ovest;Lombardia;LC;A683;4;22
Nord Ovest;Lombardia;BG;A684;2,5;16,5
Nord Ovest;Lombardia;LC;A686;13,25;60,43
Nord Ovest;Lombardia;LC;A687;9,4;52,14
Nord Ovest;Piemonte;AL;A689;8;19
Nord Ovest;Lombardia;PV;A690;0;9
Centro;Umbria;TR;A691;11;12
Sud;Abruzzo;TE;A692;2;0
Sud;Campania;BN;A696;1;2
Nord Ovest;Lombardia;MI;A697;14,67;68,57
Isole;Sicilia;ME;A698;1;0
Nord Ovest;Lombardia;MI;A699;115;833,33
Nord Est;Friuli- Venezia Giulia;UD;A700;7;28,89
Centro;Lazio;VT;A701;18;8
Nord Ovest;Lombardia;BS;A702;2;31
Nord Est;Veneto;VI;A703;114,32;547,63
Centro;Lazio;VT;A704;16,33;15
Nord Ovest;Lombardia;VA;A705;2;0
Centro;Lazio;VT;A706;8;4
Centro;Lazio;LT;A707;2;4
Nord Ovest;Piemonte;AL;A708;5,5;14,5
Nord Ovest;Piemonte;CN;A709;0,5;4
Centro;Umbria;PG;A710;46,33;239
Nord Ovest;Lombardia;PV;A712;2;8,67
Nord Est;Emilia-Romagna;MO;A713;3;67,55
Nord Est;Veneto;PD;A714;7,5;51,45
Nord Ovest;Piemonte;CN;A716;3;1
Sud;Campania;SA;A717;46,63;201,86
Nord Ovest;Lombardia;PV;A718;1;14
Isole;Sicilia;PA;A719;1;3
Centro;Lazio;FR;A720;7,7;5,83
Isole;Sardegna;OR;A721;1;2
Isole;Sardegna;NU;A722;2;3
Nord Ovest;Piemonte;VB;A725;19;120,83
Nord Ovest;Lombardia;VA;A728;3;3,77
Nord Ovest;Lombardia;BS;A729;9;126,37
Nord Est;Emilia-Romagna;PR;A731;9;19,83
Nord Ovest;Lombardia;BG;A732;0;2
Nord Ovest;Piemonte;VB;A733;4;13
Nord Ovest;Piemonte;TO;A734;75,83;183
Nord Ovest;Piemonte;CN;A735;18,34;33,17
Sud;Calabria;CZ;A736;5;1
Nord Est;Veneto;VR;A737;11,8;51,74
Nord Ovest;Piemonte;AL;A738;1;3
Centro;Marche;MC;A739;0;6
Centro;Marche;PS;A740;0;3
Nord Ovest;Lombardia;PV;A741;23,09;75
Nord Ovest;Piemonte;VB;A742;3,82;18
Sud;Basilicata;PZ;A743;8;5
Nord Ovest;Lombardia;LC;A745;27,02;64,81
Sud;Abruzzo;TE;A746;5;28
Nord Est;Emilia-Romagna;RN;A747;38,26;248,85
Centro;Lazio;RM;A749;7,5;3
Nord Ovest;Piemonte;CN;A750;0,5;0
Nord Ovest;Lombardia;MI;A751;4;46,8
Nord Ovest;Piemonte;NO;A752;11,16;69,14
Sud;Campania;CE;A755;8;23
Sud;Campania;SA;A756;1;0
