AREA;Regione;prov;2016_CodCom;NTN 2016 fino a 50_mq;NTN 2016 50 -| 85 mq;NTN 2016 85 -| 115 mq;NTN 2016 115 -| 145 mq;NTN 2016 oltre 145 mq;NTN 2016_TOTALE
Nord Ovest;Lombardia;PV;F440;0;1;5;2;2,22;10,22
Nord Ovest;Lombardia;PV;F449;0;2;3;1;2;8
Nord Ovest;Lombardia;PV;F638;0;0;0;0;2;2
Nord Ovest;Lombardia;PV;F644;0;0;0;0;2,5;2,5
Nord Ovest;Lombardia;PV;F670;0;1;1,17;1;0;3,17
Nord Ovest;Lombardia;PV;F701;0;2;1;2,5;11;16,5
Nord Ovest;Lombardia;PV;F739;1;0,5;1;1;3,72;7,22
Nord Ovest;Lombardia;PV;F754;4;54,5;48,25;24,56;21,66;152,97
Nord Ovest;Lombardia;PV;F891;0;0;0;1;1;2
Nord Ovest;Lombardia;PV;G021;1;1;0;3;4,5;9,5
Nord Ovest;Lombardia;PV;G032;0;0;0;0;1;1
Nord Ovest;Lombardia;PV;G194;1;1;1;1;3;7
Nord Ovest;Lombardia;PV;G275;1;0;2;0;7;10
Nord Ovest;Lombardia;PV;G304;0;0;0;1,5;0;1,5
Nord Ovest;Lombardia;PV;G342;0;6,5;3;2;4;15,5
Nord Ovest;Lombardia;PV;G388;133,49;338,77;244,92;105,55;68,61;891,34
Nord Ovest;Lombardia;PV;G612;0;1,5;0;2;5;8,5
Nord Ovest;Lombardia;PV;G635;0;0;1,2;0;2;3,2
Nord Ovest;Lombardia;PV;G639;0;3;3;3;3;12
Nord Ovest;Lombardia;PV;G650;0;4;5,8;5,2;5,6;20,6
Nord Ovest;Lombardia;PV;G671;0;1;3;4;1;9
Nord Ovest;Lombardia;PV;G720;0;1;2;1;0;4
Nord Ovest;Lombardia;PV;G851;0;2,35;0;1,11;2;5,46
Nord Ovest;Lombardia;PV;G895;0;1;3,33;6;2;12,33
Nord Ovest;Lombardia;PV;H204;0;0;0;0;1;1
Nord Ovest;Lombardia;PV;H216;0;0;0,5;0;2;2,5
Nord Ovest;Lombardia;PV;H246;0;0;3;4,5;7;14,5
Nord Ovest;Lombardia;PV;H336;2;10;18,5;19;12;61,5
Nord Ovest;Lombardia;PV;H369;0;5;11,5;6;7,75;30,25
Nord Ovest;Lombardia;PV;H375;0;1;0;1;1;3
Nord Ovest;Lombardia;PV;H396;0;0;0;1;1;2
Nord Ovest;Lombardia;PV;H450;0;0;2;0;2;4
Nord Ovest;Lombardia;PV;H491;0;1;0;3,5;1;5,5
Nord Ovest;Lombardia;PV;H505;2;2;4;0;0,5;8,5
Nord Ovest;Lombardia;PV;H527;0;3;2;6,3;1,5;12,8
Nord Ovest;Lombardia;PV;H559;0;0;1;1;6;8
Nord Ovest;Lombardia;PV;H614;0;1;1;0;3;5
Nord Ovest;Lombardia;PV;H637;0;4;0;0;0,5;4,5
Nord Ovest;Lombardia;PV;H799;0;0;2;0;2,5;4,5
Nord Ovest;Lombardia;PV;H814;0;1;0;0;1;2
Nord Ovest;Lombardia;PV;H859;1,5;11;18,5;16,5;15,67;63,17
Nord Ovest;Lombardia;PV;H885;2;2;1;3;3;11
Nord Ovest;Lombardia;PV;I014;2;41;33;15,5;5;96,5
Nord Ovest;Lombardia;PV;I048;3,78;6;9,67;6;11,17;36,62
Nord Ovest;Lombardia;PV;I175;0;3;3;3;4;13
Nord Ovest;Lombardia;PV;I203;1;1;0,72;2;2;6,72
Nord Ovest;Lombardia;PV;I213;0;4;1;4,5;2;11,5
Nord Ovest;Lombardia;PV;I230;0;2,83;1;0;0;3,83
Nord Ovest;Lombardia;PV;I236;1,24;19,08;11;9;13,23;53,55
Nord Ovest;Lombardia;PV;I237;1,5;1,83;3,91;1,33;6,11;14,68
Nord Ovest;Lombardia;PV;I276;0;0;2;1;2;5
Nord Ovest;Lombardia;PV;I416;2;3;1;1;1;8
Nord Ovest;Lombardia;PV;I447;0;0;2;1;2,5;5,5
Nord Ovest;Lombardia;PV;I487;0;2;0;1;0,5;3,5
Nord Ovest;Lombardia;PV;I599;0;0;0;0;1;1
Nord Ovest;Lombardia;PV;I739;0;0;0;0,33;2,83;3,16
Nord Ovest;Lombardia;PV;I825;0;2;1;0;0;3
Nord Ovest;Lombardia;PV;I894;0;0;0,33;0;1;1,33
Nord Ovest;Lombardia;PV;I968;10,5;37;53;13,5;23,83;137,83
Nord Ovest;Lombardia;PV;L237;0;0;2;2;5;9
Nord Ovest;Lombardia;PV;L250;0;0;24;4;3,33;31,33
Nord Ovest;Lombardia;PV;L256;1;1;2;3;0;7
Nord Ovest;Lombardia;PV;L262;0;0;0;1;1;2
Nord Ovest;Lombardia;PV;L269;0;4,33;6;7,33;10,5;28,16
Nord Ovest;Lombardia;PV;L285;1;13;10,5;2;8;34,5
Nord Ovest;Lombardia;PV;L292;0;3;3;1;3;10
Nord Ovest;Lombardia;PV;L440;0;10;6;5,5;9;30,5
Nord Ovest;Lombardia;PV;L449;1;10,88;3,83;8,3;7,69;31,7
Nord Ovest;Lombardia;PV;L453;0;1;0,5;1;1;3,5
Nord Ovest;Lombardia;PV;L562;0;2;0,5;3;5;10,5
Nord Ovest;Lombardia;PV;L568;0;0;0;1;1;2
Nord Ovest;Lombardia;PV;L593;0;3;6;3;2,69;14,69
Nord Ovest;Lombardia;PV;L617;1;3,67;2,5;1,5;0;8,67
Nord Ovest;Lombardia;PV;L659;1;0;1,5;0;1,5;4
Nord Ovest;Lombardia;PV;L690;3;4;11,25;3;11,2;32,45
Nord Ovest;Lombardia;PV;L716;0;0;0;0;0;0
Nord Ovest;Lombardia;PV;L720;4;8;6;10;15,75;43,75
Nord Ovest;Lombardia;PV;L784;0;2;0;0;4,25;6,25
Nord Ovest;Lombardia;PV;L788;0;0;2;1;4;7
Nord Ovest;Lombardia;PV;L854;4;51,13;33,5;6;3,5;98,13
Nord Ovest;Lombardia;PV;L872;40,02;174,34;152,73;89,17;89,14;545,4
Nord Ovest;Lombardia;PV;L917;0;0;0;0;0;0
Nord Ovest;Lombardia;PV;L983;0;0;2,5;3,5;1;7
Nord Ovest;Lombardia;PV;L994;3;10;9;4;8;34
Nord Ovest;Lombardia;PV;M079;0;3,42;5,09;9,68;5;23,19
Nord Ovest;Lombardia;PV;M109;8;105;114,01;57,23;46,27;330,51
Nord Ovest;Lombardia;PV;M119;0;0;1;1;1;3
Nord Ovest;Lombardia;PV;M150;2,5;5;1;3;4;15,5
Nord Ovest;Lombardia;PV;M152;0;1,5;6;5;3;15,5
Nord Ovest;Lombardia;PV;M161;0;0,5;1;1;3,67;6,17
Nord Ovest;Lombardia;PV;M162;0;0;0;1;1;2
Nord Ovest;Lombardia;PV;M166;0;0;0;0;1;1
Nord Ovest;Lombardia;PV;M167;0;5;3,5;1;4;13,5
Nord Ovest;Lombardia;PV;M180;2;4;3,33;2;12,33;23,66
Nord Ovest;Lombardia;PV;M338;0;0;0;0;4;4
Nord Ovest;Lombardia;PV;M372;0;2;2;0;2;6
Nord Ovest;Lombardia;SO;A135;0;1;1;0;0;2
Nord Ovest;Lombardia;SO;A172;10;2;2;8;1;23
Nord Ovest;Lombardia;SO;A273;0;2;0;0;0;2
Nord Ovest;Lombardia;SO;A337;16,5;21,67;7;2;0;47,17
Nord Ovest;Lombardia;SO;A382;12;4,5;3,5;3,83;4;27,83
Nord Ovest;Lombardia;SO;A777;0;1;1;0;0;2
Nord Ovest;Lombardia;SO;A787;5;1;2;3;3;14
Nord Ovest;Lombardia;SO;A848;6;1;1;1;2;11
Nord Ovest;Lombardia;SO;B049;27,56;36;20,84;3;4,75;92,15
Nord Ovest;Lombardia;SO;B255;0;1,5;1;2;5;9,5
Nord Ovest;Lombardia;SO;B366;1;0,5;2,5;0,25;2;6,25
Nord Ovest;Lombardia;SO;B530;10,68;13,3;3,57;1;0,5;29,05
Nord Ovest;Lombardia;SO;B993;5;4,5;4;0;0;13,5
Nord Ovest;Lombardia;SO;C186;0;0;0,5;2;0,86;3,36
Nord Ovest;Lombardia;SO;C325;1;0,22;4;1;2,17;8,39
Nord Ovest;Lombardia;SO;C418;0;1,34;0;0;0;1,34
Nord Ovest;Lombardia;SO;C493;1;3;1;2;2,33;9,33
Nord Ovest;Lombardia;SO;C623;6;28,25;34,71;11,35;4,5;84,81
Nord Ovest;Lombardia;SO;C628;10,75;30,83;5,83;1;1;49,41
Nord Ovest;Lombardia;SO;C651;1;0;0;0,75;2,5;4,25
Nord Ovest;Lombardia;SO;C709;0;0;1;0;1;2
Nord Ovest;Lombardia;SO;C785;4;5,5;4;1,5;3;18
Nord Ovest;Lombardia;SO;C903;0;2;1;0;0;3
Nord Ovest;Lombardia;SO;D088;1;17;17;5;8;48
Nord Ovest;Lombardia;SO;D258;1;5,5;5;2;0;13,5
Nord Ovest;Lombardia;SO;D266;0;3;7,5;1;5,59;17,09
Nord Ovest;Lombardia;SO;D377;1;5;7;4,7;4,17;21,87
Nord Ovest;Lombardia;SO;D456;0;0;0;2;0;2
Nord Ovest;Lombardia;SO;D694;0;1;0;0;3;4
Nord Ovest;Lombardia;SO;D830;0;1,5;0;0;0;1,5
Nord Ovest;Lombardia;SO;D990;1,75;4,06;1,02;0;0,02;6,85
Nord Ovest;Lombardia;SO;E090;1;3,5;2,9;4,1;1;12,5
Nord Ovest;Lombardia;SO;E200;7,34;8;3,5;1,13;2;21,97
Nord Ovest;Lombardia;SO;E201;4;3,5;3,88;3;3;17,38
Nord Ovest;Lombardia;SO;E342;10,5;11,99;7,83;1;0,38;31,7
Nord Ovest;Lombardia;SO;E443;2,5;7,44;3;0,33;0,94;14,21
Nord Ovest;Lombardia;SO;E621;33;40,93;13,59;5,09;2;94,61
Nord Ovest;Lombardia;SO;E705;0;0;0;2;2,34;4,34
Nord Ovest;Lombardia;SO;E896;0;1;1;0;0;2
Nord Ovest;Lombardia;SO;F070;1,67;2,33;0;0;1,67;5,67
Nord Ovest;Lombardia;SO;F115;0;1;0;0;0;1
Nord Ovest;Lombardia;SO;F153;0;1;1;2;1;5
Nord Ovest;Lombardia;SO;F393;6;2,5;3,25;4,5;3;19,25
Nord Ovest;Lombardia;SO;F712;15;42,72;36,67;14,33;15,25;123,97
Nord Ovest;Lombardia;SO;F956;3;6;3,77;2,57;2,27;17,61
Nord Ovest;Lombardia;SO;G410;0;2;0;0;0;2
Nord Ovest;Lombardia;SO;G431;1;3;0;2;2;8
Nord Ovest;Lombardia;SO;G572;0;1;0;1;2;4
Nord Ovest;Lombardia;SO;G576;3;2,5;0,5;0;0;6
Nord Ovest;Lombardia;SO;G718;6,66;9,32;5,46;1;2;24,44
Nord Ovest;Lombardia;SO;G829;3,44;5,5;2;2;2;14,94
Nord Ovest;Lombardia;SO;G937;0;0;2;0;0;2
Nord Ovest;Lombardia;SO;G993;0;1;1,5;4,27;2;8,77
Nord Ovest;Lombardia;SO;H192;0;4;3;1;0;8
Nord Ovest;Lombardia;SO;H493;1;1;0;1;0;3
Nord Ovest;Lombardia;SO;H752;1;1,53;1,2;2;6;11,73
Nord Ovest;Lombardia;SO;H868;1;2;2,75;0,85;0;6,6
Nord Ovest;Lombardia;SO;I636;2;0;0;0;0;2
Nord Ovest;Lombardia;SO;I828;8,5;8,83;3;4,5;2;26,83
Nord Ovest;Lombardia;SO;I829;26,3;68,53;63,65;25,45;15,67;199,6
Nord Ovest;Lombardia;SO;I928;0;1;0;0;0;1
Nord Ovest;Lombardia;SO;L035;1;5;6,5;5;2,83;20,33
Nord Ovest;Lombardia;SO;L056;6,24;3;0;0;0;9,24
Nord Ovest;Lombardia;SO;L084;5;9,5;8,65;6,28;4,07;33,5
Nord Ovest;Lombardia;SO;L175;7;22;21,17;20,7;9,84;80,71
Nord Ovest;Lombardia;SO;L244;7;1;1;1,5;0;10,5
Nord Ovest;Lombardia;SO;L316;0;1;0;1;1;3
Nord Ovest;Lombardia;SO;L330;2;8;7,5;1;6,5;25
Nord Ovest;Lombardia;SO;L392;2;7,5;7;1;3;20,5
Nord Ovest;Lombardia;SO;L557;26,79;41,99;21,42;5,29;2;97,49
Nord Ovest;Lombardia;SO;L563;10,55;26,74;8;0,58;1;46,87
Nord Ovest;Lombardia;SO;L576;18,33;19,08;3,5;3,17;1;45,08
Nord Ovest;Lombardia;SO;L638;2;2,06;1;0;0;5,06
Nord Ovest;Lombardia;SO;L749;1,75;2;1;0;0;4,75
Nord Ovest;Lombardia;SO;L799;2;0,67;1,67;0;0;4,34
Nord Ovest;Lombardia;SO;L907;1,75;1;2;1;2;7,75
Nord Ovest;Lombardia;SO;L908;4,61;9,7;5;3,3;2;24,61
Nord Ovest;Lombardia;VA;A085;1;2;5;1;4,5;13,5
Nord Ovest;Lombardia;VA;A167;1;7,5;8;1;11,5;29
Nord Ovest;Lombardia;VA;A290;2;18;17,35;8;12,5;57,85
Nord Ovest;Lombardia;VA;A371;1,25;20,2;29,66;17,25;21,87;90,23
Nord Ovest;Lombardia;VA;A441;2;18;12;3;8,67;43,67
Nord Ovest;Lombardia;VA;A531;1;17;11,5;9,5;16,17;55,17
Nord Ovest;Lombardia;VA;A532;0;0;1;0;0;1
Nord Ovest;Lombardia;VA;A619;0;3,5;0,5;1;4;9
Nord Ovest;Lombardia;VA;A645;0;3;0;4;5;12
Nord Ovest;Lombardia;VA;A705;0;3;3;1;0;7
Nord Ovest;Lombardia;VA;A728;1;0;1,67;0;4;6,67
Nord Ovest;Lombardia;VA;A819;1,89;9,5;11;1;10,75;34,14
Nord Ovest;Lombardia;VA;A825;4;13;16;8;15;56
Nord Ovest;Lombardia;VA;A826;1;9;11;8;22;51
Nord Ovest;Lombardia;VA;A845;1;4,1;5;3,5;4,7;18,3
Nord Ovest;Lombardia;VA;A891;2;6;7,17;9;12,67;36,84
Nord Ovest;Lombardia;VA;A918;0;4;10,67;9,83;8;32,5
Nord Ovest;Lombardia;VA;B126;0;9;6,3;3,5;5,66;24,46
Nord Ovest;Lombardia;VA;B131;0;4;3;1,14;4;12,14
Nord Ovest;Lombardia;VA;B150;0;0,78;2;0;1;3,78
Nord Ovest;Lombardia;VA;B166;12;21,67;8,52;4,7;7;53,89
Nord Ovest;Lombardia;VA;B182;1,75;0,25;2;1;2;7
Nord Ovest;Lombardia;VA;B191;0;4;2;3,5;2;11,5
Nord Ovest;Lombardia;VA;B219;0;3;0;1;4;8
Nord Ovest;Lombardia;VA;B228;3;7;4;1,34;2,83;18,17
Nord Ovest;Lombardia;VA;B258;1;6;12;4;10,5;33,5
Nord Ovest;Lombardia;VA;B300;80,74;303,2;286,6;119,99;134,9;925,43
Nord Ovest;Lombardia;VA;B312;0;0;0;1;0;1
Nord Ovest;Lombardia;VA;B326;0;6;13;3;10;32
Nord Ovest;Lombardia;VA;B347;0;7;6;0;6,5;19,5
Nord Ovest;Lombardia;VA;B368;2;13,5;25;8;11,26;59,76
Nord Ovest;Lombardia;VA;B634;2;9,17;27,06;14,56;15,83;68,62
Nord Ovest;Lombardia;VA;B732;0;1;4,06;0;4;9,06
Nord Ovest;Lombardia;VA;B754;8;49,17;45,73;16,58;29,6;149,08
Nord Ovest;Lombardia;VA;B796;1;12;16,5;14;16,34;59,84
Nord Ovest;Lombardia;VA;B805;16,5;125,51;95,67;33,5;24,5;295,68
Nord Ovest;Lombardia;VA;B807;1;14;11;6,5;10;42,5
Nord Ovest;Lombardia;VA;B875;1;2;4,33;3,5;6,11;16,94
Nord Ovest;Lombardia;VA;B921;0;2;5;3;4;14
Nord Ovest;Lombardia;VA;B949;1;11;5,69;6;8,42;32,11
Nord Ovest;Lombardia;VA;B987;2;26;18;7,5;13,83;67,33
Nord Ovest;Lombardia;VA;B999;0;0;1;1;3;5
Nord Ovest;Lombardia;VA;C004;6,78;33,55;67,93;33,17;41,96;183,39
Nord Ovest;Lombardia;VA;C139;7;58,5;74;20,14;16;175,64
Nord Ovest;Lombardia;VA;C181;3;4;6;4,25;13,25;30,5
Nord Ovest;Lombardia;VA;C273;0;1;2;0;4;7
Nord Ovest;Lombardia;VA;C300;3;20;30,5;8,5;12,5;74,5
Nord Ovest;Lombardia;VA;C343;1;6,5;12,67;7,5;9;36,67
Nord Ovest;Lombardia;VA;C382;4;24,5;27;13,56;8,03;77,09
Nord Ovest;Lombardia;VA;C409;0;0,5;1;0;3,17;4,67
Nord Ovest;Lombardia;VA;C732;7;23,83;28,11;10;20,69;89,63
Nord Ovest;Lombardia;VA;C751;0;8;9,89;2;7;26,89
Nord Ovest;Lombardia;VA;C796;0;6,3;2;2;5;15,3
Nord Ovest;Lombardia;VA;C810;2;11,5;15,5;6,86;10;45,86
Nord Ovest;Lombardia;VA;C911;0;5,5;1;7;5;18,5
Nord Ovest;Lombardia;VA;C922;0;13;9;5;12;39
Nord Ovest;Lombardia;VA;D144;0;0;0;0;2,5;2,5
Nord Ovest;Lombardia;VA;D185;0;1;0;3;1;5
Nord Ovest;Lombardia;VA;D192;3;16,5;10,67;10,5;6;46,67
Nord Ovest;Lombardia;VA;D199;6,5;7,5;9,5;10;9,33;42,83
Nord Ovest;Lombardia;VA;D204;1;11,17;9;3;4,5;28,67
Nord Ovest;Lombardia;VA;D217;0;0;0;0;0;0
Nord Ovest;Lombardia;VA;D238;4;7;6;6,5;6,5;30
Nord Ovest;Lombardia;VA;D239;0;8,5;6;2;0;16,5
Nord Ovest;Lombardia;VA;D256;1;7,5;8,5;2;3;22
Nord Ovest;Lombardia;VA;D384;1;13;4;5;6;29
Nord Ovest;Lombardia;VA;D385;0;1;0;2;0;3
Nord Ovest;Lombardia;VA;D467;4;48,5;31,29;29;26,8;139,59
Nord Ovest;Lombardia;VA;D543;4;16;12,5;9,22;8;49,72
Nord Ovest;Lombardia;VA;D551;2;2;0;0;1,5;5,5
Nord Ovest;Lombardia;VA;D869;28,03;211,45;212,99;81,82;112,39;646,68
Nord Ovest;Lombardia;VA;D871;0;2;1;1;6;10
Nord Ovest;Lombardia;VA;D946;5;24;27;10,5;22,5;89
Nord Ovest;Lombardia;VA;D951;1;14,66;11,83;3,5;7,67;38,66
Nord Ovest;Lombardia;VA;D963;0;7;8;3;7;25
Nord Ovest;Lombardia;VA;D981;5;31,5;28,4;21,67;17;103,57
Nord Ovest;Lombardia;VA;D987;2;25;16,5;7;8;58,5
Nord Ovest;Lombardia;VA;E079;4;10;11,17;4;11,5;40,67
Nord Ovest;Lombardia;VA;E101;1;5;4,39;5,5;2,17;18,06
Nord Ovest;Lombardia;VA;E102;0;25,5;20,33;11,67;10;67,5
Nord Ovest;Lombardia;VA;E104;6;5;1;3;8;23
Nord Ovest;Lombardia;VA;E144;0;1;6;1;1;9
Nord Ovest;Lombardia;VA;E292;0;0;1;3;1;5
Nord Ovest;Lombardia;VA;E299;3;21;23,5;15,55;17,03;80,08
Nord Ovest;Lombardia;VA;E367;1;6;11,5;5;18,34;41,84
Nord Ovest;Lombardia;VA;E386;0;20;12,11;7,17;5,5;44,78
Nord Ovest;Lombardia;VA;E494;4;28,16;22;9,5;10,83;74,49
Nord Ovest;Lombardia;VA;E496;3,5;20,83;23,5;7,86;14;69,69
Nord Ovest;Lombardia;VA;E510;2;12;7,5;9,75;14,5;45,75
Nord Ovest;Lombardia;VA;E529;1;2,5;5;2;2,17;12,67
Nord Ovest;Lombardia;VA;E665;1;11;14;7,5;17,46;50,96
Nord Ovest;Lombardia;VA;E666;0;23,5;30,83;13,5;12,89;80,72
Nord Ovest;Lombardia;VA;E707;2;9;8;5,5;2;26,5
Nord Ovest;Lombardia;VA;E734;13,5;53,35;63,83;28,5;20,67;179,85
Nord Ovest;Lombardia;VA;E769;0;4;2,5;3;5,05;14,55
Nord Ovest;Lombardia;VA;E856;1;1;3;2;3,5;10,5
Nord Ovest;Lombardia;VA;E863;2;46,36;67,26;9,75;33,58;158,95
Nord Ovest;Lombardia;VA;E929;3;12,5;8;4;8,83;36,33
Nord Ovest;Lombardia;VA;E965;2;25;26,67;24,5;20,17;98,34
Nord Ovest;Lombardia;VA;F002;0;0;1;0;2;3
Nord Ovest;Lombardia;VA;F007;0;0;0;0;1;1
Nord Ovest;Lombardia;VA;F134;1;5;4;1;4,5;15,5
Nord Ovest;Lombardia;VA;F154;1,5;3;4;3,25;6,5;18,25
Nord Ovest;Lombardia;VA;F526;0;4;11;0;5,5;20,5
Nord Ovest;Lombardia;VA;F703;0;5;1;1;2,21;9,21
Nord Ovest;Lombardia;VA;F711;2;13,16;11;12;10,5;48,66
Nord Ovest;Lombardia;VA;F736;2;11,4;9;6,17;12;40,57
Nord Ovest;Lombardia;VA;G008;0,67;15,34;16,33;13;12,67;58,01
Nord Ovest;Lombardia;VA;G028;7,5;35,17;44,5;16;24,33;127,5
Nord Ovest;Lombardia;VA;G103;1,03;47,53;27,62;7,53;11,5;95,21
Nord Ovest;Lombardia;VA;G105;0;4;1;0;3;8
Nord Ovest;Lombardia;VA;G906;0,5;7,17;4,5;1;5;18,17
Nord Ovest;Lombardia;VA;G907;4,94;23,83;12,93;5,25;13,5;60,45
Nord Ovest;Lombardia;VA;H173;0;1;1,95;1;2;5,95
Nord Ovest;Lombardia;VA;H174;2;8;1;3,5;3;17,5
Nord Ovest;Lombardia;VA;H723;2;3;8,5;4;16,33;33,83
Nord Ovest;Lombardia;VA;H736;2,5;18,5;27,67;28,66;23;100,33
Nord Ovest;Lombardia;VA;H872;0;1;3,5;2;5;11,5
Nord Ovest;Lombardia;VA;I441;22,17;166,65;132,9;66,49;74,11;462,32
Nord Ovest;Lombardia;VA;I688;4,5;39;26;14,75;26,03;110,28
Nord Ovest;Lombardia;VA;I793;1;13,58;7;6;3;30,58
Nord Ovest;Lombardia;VA;I794;1,5;16;8;2;4;31,5
Nord Ovest;Lombardia;VA;I819;14,46;67,17;63,17;23,03;26,2;194,03
Nord Ovest;Lombardia;VA;L003;2;6;10;12;17;47
Nord Ovest;Lombardia;VA;L032;0;8;6,5;4,67;9,53;28,7
Nord Ovest;Lombardia;VA;L115;0;7;6,5;7,17;6;26,67
Nord Ovest;Lombardia;VA;L319;10,94;58,69;81,37;33,75;38,43;223,18
Nord Ovest;Lombardia;VA;L342;2;12,17;13;4,5;12,5;44,17
Nord Ovest;Lombardia;VA;L480;4;29;22,75;14,25;17,33;87,33
Nord Ovest;Lombardia;VA;L577;2;8;1;3,5;5;19,5
Nord Ovest;Lombardia;VA;L671;3;6;9;5;8,76;31,76
Nord Ovest;Lombardia;VA;L682;76,87;257,63;216,59;109,5;131,83;792,42
Nord Ovest;Lombardia;VA;L703;2,5;13,5;14,5;8,9;22,5;61,9
Nord Ovest;Lombardia;VA;L733;0;13,5;13,67;6,5;16,33;50
Nord Ovest;Lombardia;VA;L734;2;14,4;16,17;4;19,25;55,82
Nord Ovest;Lombardia;VA;L765;3;16;25,25;10,83;19,22;74,3
Nord Ovest;Lombardia;VA;L876;1,75;19;9,83;8,25;15,75;54,58
Nord Ovest;Lombardia;VA;M101;1;1;0;1;3;6
Nord Ovest;Lombardia;VA;M339;16,83;23,17;11,84;7,17;9;68,01
Nord Ovest;Piemonte;AL;A052;7;85,17;71,92;35;31,67;230,76
Nord Ovest;Piemonte;AL;A146;1;1,25;0;1;1;4,25
Nord Ovest;Piemonte;AL;A182;60,54;253,93;233,34;92,43;155,87;796,11
Nord Ovest;Piemonte;AL;A189;1;4;0;2;1,78;8,78
Nord Ovest;Piemonte;AL;A197;0;1;1;1,5;2,5;6
Nord Ovest;Piemonte;AL;A211;0;0;0;0;1,5;1,5
Nord Ovest;Piemonte;AL;A227;0;0,5;1;2;5,5;9
Nord Ovest;Piemonte;AL;A245;0;0;1;0;1;2
Nord Ovest;Piemonte;AL;A436;5;27,08;30;12;8;82,08
Nord Ovest;Piemonte;AL;A523;0;0;0;0;0;0
Nord Ovest;Piemonte;AL;A605;0;0;2;2,67;4,5;9,17
Nord Ovest;Piemonte;AL;A689;0;2,67;0,5;3;2;8,17
Nord Ovest;Piemonte;AL;A708;0;1;1,34;0;9,5;11,84
Nord Ovest;Piemonte;AL;A738;0;1;0;1;0;2
Nord Ovest;Piemonte;AL;A793;0;0;0;0;2,92;2,92
Nord Ovest;Piemonte;AL;A813;0;0;1;0;1;2
Nord Ovest;Piemonte;AL;A889;2;1;1;0,5;3;7,5
Nord Ovest;Piemonte;AL;A998;0;1;3;3;8,2;15,2
Nord Ovest;Piemonte;AL;B029;1;0;2;1,5;0;4,5
Nord Ovest;Piemonte;AL;B037;0;0;1;1;4;6
Nord Ovest;Piemonte;AL;B071;0;1;1;3;7,5;12,5
Nord Ovest;Piemonte;AL;B080;0;2;4,25;2;3;11,25
Nord Ovest;Piemonte;AL;B109;0;0;0;0;2;2
Nord Ovest;Piemonte;AL;B179;0;0;3;0;2;5
Nord Ovest;Piemonte;AL;B311;4,33;12,16;2;3;0;21,49
Nord Ovest;Piemonte;AL;B453;0;0;1;1;5;7
Nord Ovest;Piemonte;AL;B482;0;2;0;4,34;5;11,34
Nord Ovest;Piemonte;AL;B629;0;1,5;3;1,5;0;6
Nord Ovest;Piemonte;AL;B701;0;5;0;5;6;16
Nord Ovest;Piemonte;AL;B736;0;1;1,5;1;4;7,5
Nord Ovest;Piemonte;AL;B765;1;0;0;0,67;3;4,67
Nord Ovest;Piemonte;AL;B769;0;0;0;0;3,17;3,17
Nord Ovest;Piemonte;AL;B818;0;3;2;1;4;10
Nord Ovest;Piemonte;AL;B836;2;1;0;0;0;3
Nord Ovest;Piemonte;AL;B840;1;1;4;0;2,5;8,5
Nord Ovest;Piemonte;AL;B847;0;2;0;2,5;3;7,5
Nord Ovest;Piemonte;AL;B870;0;1;3;2;3,5;9,5
Nord Ovest;Piemonte;AL;B882;0;0;3;0;1;4
Nord Ovest;Piemonte;AL;B885;22,03;96,07;97,67;42,75;59,55;318,07
Nord Ovest;Piemonte;AL;B902;0;0;1,33;0,5;3,5;5,33
Nord Ovest;Piemonte;AL;B941;0;1;0;1;0;2
Nord Ovest;Piemonte;AL;C005;0;2;6,5;2,17;1,17;11,84
Nord Ovest;Piemonte;AL;C027;0;3;2;6,75;7,5;19,25
Nord Ovest;Piemonte;AL;C030;2;0;1,5;2;1;6,5
Nord Ovest;Piemonte;AL;C137;0;1;0;0;0;1
Nord Ovest;Piemonte;AL;C142;0;0;0;2;6;8
Nord Ovest;Piemonte;AL;C148;0;4;7;7;21,07;39,07
Nord Ovest;Piemonte;AL;C156;0;0;0;0;1;1
Nord Ovest;Piemonte;AL;C158;4;16;9;6;6;41
Nord Ovest;Piemonte;AL;C160;0;0;0;0;4;4
Nord Ovest;Piemonte;AL;C162;1;3,03;1;2;7,25;14,28
Nord Ovest;Piemonte;AL;C229;0;0;0,5;0;3;3,5
Nord Ovest;Piemonte;AL;C243;0;3;4;5;5;17
Nord Ovest;Piemonte;AL;C274;0;1;0;0;0;1
Nord Ovest;Piemonte;AL;C387;0;0;1;1;4;6
Nord Ovest;Piemonte;AL;C432;0;0;0;0;0,91;0,91
Nord Ovest;Piemonte;AL;C503;0;0,5;0;0;3,5;4
Nord Ovest;Piemonte;AL;C507;0;0;0;0;1;1
Nord Ovest;Piemonte;AL;C531;0;6;2;0;1,25;9,25
Nord Ovest;Piemonte;AL;C962;0;0;0;0;3;3
Nord Ovest;Piemonte;AL;C977;0;1;0;0;6,38;7,38
Nord Ovest;Piemonte;AL;D102;0;0;0;0,5;0;0,5
Nord Ovest;Piemonte;AL;D149;0;2;3;0;10;15
Nord Ovest;Piemonte;AL;D194;0;1;0;0;0;1
Nord Ovest;Piemonte;AL;D272;1;0;0;1;1;3
Nord Ovest;Piemonte;AL;D277;0;0;0;0;0;0
Nord Ovest;Piemonte;AL;D447;0;3,75;3;1;2,5;10,25
Nord Ovest;Piemonte;AL;D528;1;4;3,5;3,5;4;16
