AREA;Regione;prov;2019_CodCom;NTN 2019 fino a 50 mq;NTN  2019 50 -| 85 mq;NTN 2019 85 -| 115 mq;NTN  2019 115 -| 145 mq;NTN  2019 oltre 145 mq;NTN 2019
Sud;Abruzzo;AQ;B624;0;1;0;0;0;1
Centro;Toscana;PO;B626;1,42;6,17;18,17;6,08;19,5;51,34
Centro;Lazio;RI;B627;6,75;8;5,77;2;7;29,52
Nord Ovest;Piemonte;TO;B628;1;3;8;5;14;31
Nord Ovest;Piemonte;AL;B629;0;1;0;1;1;3
Sud;Molise;IS;B630;0;0;2;0;4;6
Centro;Lazio;RI;B631;1;8;3;1;5;18
Centro;Lazio;RM;B632;0;0;1;0;0;1
Nord Ovest;Piemonte;AT;B633;0;0;0;4;7;11
Nord Ovest;Lombardia;VA;B634;1;25,5;19,83;6,33;11,5;64,16
Centro;Lazio;RM;B635;3;2,67;0;0;0;5,67
Centro;Marche;PS;B636;1;2;1,5;4,38;1,5;10,38
Nord Ovest;Piemonte;TO;B637;12,5;10,25;1;3;1;27,75
Nord Ovest;Lombardia;CO;B639;48,09;144,86;138,58;83,35;62,84;477,72
Sud;Abruzzo;TE;B640;0,33;0,07;0;0;0,33;0,73
Nord Ovest;Lombardia;CO;B641;6;19,25;13,5;8,5;6,5;53,75
Nord Est;Veneto;VE;B642;139,21;256,5;62,68;23,67;15;497,06
Nord Est;Emilia-Romagna;PC;B643;0;3,33;6;6,17;15;30,5
Sud;Campania;SA;B644;4,33;58,33;40,35;32;28,95;163,96
Isole;Sicilia;PA;B645;5,62;21,67;55,67;27;8,5;118,46
Centro;Toscana;GR;B646;2;15,5;19;6;10;52,5
Centro;Toscana;PI;B647;5,5;24,25;15;11;14;69,75
Centro;Toscana;LU;B648;7,08;42,25;87,17;71,16;165,24;372,9
Centro;Lazio;RM;B649;8,67;31,75;39;16,83;8,83;105,08
Nord Ovest;Lombardia;CR;B650;2;3;3;4;7;19
Sud;Abruzzo;AQ;B651;0;2;1;2;4,5;9,5
Nord Ovest;Lombardia;CO;B653;4;14;11,67;5;14,33;49
Sud;Calabria;VV;B655;2;0;0;0;0;2
Sud;Abruzzo;AQ;B656;2,5;6,97;5;4,5;4;22,97
Sud;Abruzzo;AQ;B658;0;5;1;0;0,5;6,5
Isole;Sicilia;ME;B660;1;1;3;1;3;9
Nord Ovest;Lombardia;BG;B661;0;6;5;5,17;1,5;17,67
Nord Est;Veneto;BL;B662;0;20,92;12,5;15,25;16,17;64,84
Centro;Lazio;VT;B663;5;9;3,5;3;3;23,5
Nord Ovest;Lombardia;BS;B664;0;4;7;3;2;16
Isole;Sicilia;ME;B666;16,5;38;35,42;14,17;7,5;111,59
Sud;Campania;CE;B667;3;11,5;14,67;8,92;18;56,09
Centro;Toscana;LI;B669;23,92;31,5;9,5;5;5;74,92
Centro;Toscana;AR;B670;5;4;17,17;7;7,66;40,83
Nord Ovest;Lombardia;MI;B671;3;35,44;33,67;4,5;8,5;85,11
Sud;Abruzzo;AQ;B672;0;0;0;0;0;0
Sud;Campania;AV;B674;0,24;3,31;2,46;0,12;2,23;8,36
Isole;Sardegna;CA;B675;7;56,5;45,89;46,8;42,69;198,88
Nord Ovest;Lombardia;BS;B676;0;1;2,33;1,03;1,58;5,94
Sud;Abruzzo;AQ;B677;8,5;18,06;2,5;0;0;29,06
Nord Est;Veneto;TV;B678;0;7;10,97;5,42;14,5;37,89
Nord Ovest;Lombardia;CR;B679;0;1;1;1;1;4
Nord Ovest;Lombardia;CR;B680;0;0;0;0;1;1
Sud;Abruzzo;PE;B681;1;8;7,5;6,85;8;31,35
Sud;Molise;IS;B682;0;7;1,62;1,75;2,25;12,62
Centro;Toscana;FI;B684;5;33,83;22,5;17,5;20,95;99,78
Centro;Toscana;LI;B685;3;5,5;0;0;1;9,5
Nord Ovest;Lombardia;CR;B686;0;5;4,99;2;2,5;14,49
Centro;Lazio;RM;B687;6,22;6;1;0;0;13,22
Centro;Lazio;VT;B688;6;29,72;15;9,67;13,5;73,89
Nord Est;Emilia-Romagna;BO;B689;3,5;22,83;28;11,5;28,33;94,16
Sud;Puglia;LE;B690;0;1;4;2,67;3,17;10,84
Centro;Lazio;VT;B691;10,75;18;16,7;10;10,58;66,03
Nord Ovest;Piemonte;CN;B692;1;0;0;1;0;2
Centro;Toscana;AR;B693;1;2;3,67;1,04;5,03;12,74
Nord Ovest;Piemonte;VB;B694;2,5;5;1;1;1;10,5
Isole;Sicilia;ME;B695;0;0;7,75;7,17;5;19,92
Sud;Campania;NA;B696;12,5;14,98;12,2;2;5,03;46,71
Nord Ovest;Lombardia;BS;B698;1;14,5;7;10,5;17,5;50,5
Nord Ovest;Piemonte;AL;B701;1;3;4;1;9;18
Nord Ovest;Lombardia;BG;B703;5,83;48,16;23,5;28;27,5;132,99
Sud;Campania;CE;B704;1;1;3;1;1;7
Nord Ovest;Piemonte;TO;B705;2;7;9,5;4,5;3;26
Sud;Campania;AV;B706;2;2;2;1;2;9
Nord Ovest;Piemonte;AT;B707;0;0;2;0;0;2
Nord Ovest;Piemonte;BI;B708;0;2;1;0;0,5;3,5
Nord Est;Veneto;VR;B709;1;32,33;19,31;18;22,5;93,14
Nord Ovest;Lombardia;BG;B710;2;13,17;12,51;6;11,14;44,82
Nord Ovest;Lombardia;BS;B711;2;20,72;23,06;22,34;23,27;91,39
Sud;Campania;CE;B715;2,17;10,67;25,99;27,92;22,33;89,08
Sud;Puglia;BA;B716;4,33;63,33;64,5;21;17;170,16
Sud;Calabria;CZ;B717;2;4;2;8;1;17
Sud;Calabria;RC;B718;1;0;0;0;0;1
Nord Ovest;Piemonte;CN;B719;2,25;14,5;20,09;12,5;19;68,34
Nord Ovest;Piemonte;CN;B720;0;2;4;2,5;6,5;15
Sud;Abruzzo;PE;B722;3;6;3,5;4;2;18,5
Sud;Puglia;FG;B724;4;11;15;10;5;45
Sud;Abruzzo;AQ;B725;0;0;0;0;1,33;1,33
Nord Ovest;Liguria;GE;B726;0,33;11;15;6,67;2;35
Centro;Marche;AP;B727;0;1,5;0;0;2;3,5
Nord Ovest;Lombardia;MI;B729;12;80,5;75,5;26,5;41,1;235,6
Nord Ovest;Lombardia;CO;B730;1,33;9,4;9,75;4;4;28,48
Nord Ovest;Lombardia;BG;B731;9,5;62,97;52;25;29;178,47
Nord Ovest;Lombardia;VA;B732;0;2,5;8;1;12,5;24
Nord Ovest;Piemonte;TO;B733;2;1;4;3;3,5;13,5
Nord Ovest;Liguria;IM;B734;0;0;0;0;1;1
Centro;Lazio;VT;B735;2;4;4,22;4;3;17,22
Nord Ovest;Piemonte;AL;B736;1;1;0;0;2;4
Isole;Sardegna;CA;B738;34;71;33,72;16,11;14;168,83
Sud;Campania;NA;B740;0;1;2;5;2;10
Nord Ovest;Lombardia;PV;B741;1;2;1;4;5;13
Nord Ovest;Lombardia;CO;B742;0;8,5;5,5;5,5;14;33,5
Sud;Basilicata;PZ;B743;1;0;0;0;0;1
Nord Est;Veneto;TV;B744;2;52,41;51,22;28,75;37,33;171,71
Isole;Sardegna;CA;B745;6;41,44;33,56;24,33;23,27;128,6
Nord Ovest;Liguria;SV;B748;2;11;12;12;4;41
Nord Est;Veneto;PD;B749;1;1;3;0;6;11
Nord Ovest;Piemonte;VC;B752;1;1;0;0;0;2
Nord Ovest;Lombardia;VA;B754;12,05;80,47;47,59;19,88;18;177,99
Nord Ovest;Piemonte;CN;B755;0;0;2;4;5;11
Sud;Calabria;RC;B756;0;0;1;0;0;1
Sud;Calabria;CZ;B758;0;2;1,5;5,33;3;11,83
Sud;Campania;NA;B759;9;24,6;37,84;28,2;12,5;112,14
Centro;Toscana;LU;B760;0;2;2;1;1,33;6,33
Nord Ovest;Piemonte;TO;B762;0;2;0;0,67;0;2,67
Nord Ovest;Lombardia;LC;B763;0;2;1,75;2,25;4;10
Nord Ovest;Piemonte;AL;B765;0;0;2;0;2,25;4,25
Sud;Calabria;RC;B766;0;3;2;1;3;9
Nord Ovest;Piemonte;VC;B767;0;0;0;2;10,5;12,5
Nord Ovest;Piemonte;VC;B768;0;0;0;2;7,5;9,5
Nord Ovest;Piemonte;AL;B769;0;1;0;1;2;4
Sud;Calabria;KR;B771;0;0;0;0;0;0
Isole;Sardegna;SS;B772;0;0;1;1;0;2
Sud;Calabria;CS;B774;31,59;37,17;5,33;3;6,86;83,95
Sud;Campania;AV;B776;0;0;1;3;0;4
Nord Ovest;Piemonte;TO;B777;1;36,5;44,33;17,75;17,03;116,61
Nord Ovest;Lombardia;CO;B778;10;6;5;13;9,33;43,33
Sud;Campania;CE;B779;0;0;0,67;11,67;3;15,34
Isole;Sicilia;PA;B780;29,25;76,04;94,55;64,02;97,29;361,15
Sud;Campania;CE;B781;9,5;10;10,5;11;18,89;59,89
Nord Ovest;Piemonte;VC;B782;0;1;3;2;0;6
Sud;Puglia;FG;B784;1;2;1,5;0;0;4,5
Nord Ovest;Lombardia;CO;B785;2,5;1;7,5;3,75;14;28,75
Isole;Sicilia;SR;B787;5;23,67;35;26,67;25,88;116,22
Nord Est;Friuli- Venezia Giulia;UD;B788;0;2,75;6,5;5,17;5,5;19,92
Isole;Sardegna;CA;B789;19,66;30,99;11,5;12,5;14;88,65
Sud;Calabria;CZ;B790;0;1;0;0;1,5;2,5
Nord Ovest;Piemonte;TO;B791;12;106,83;88,99;36;49;292,82
Sud;Puglia;LE;B792;1;4,67;5,5;12,3;25,78;49,25
Centro;Toscana;PO;B794;6;54,01;39,75;16;38,13;153,89
Nord Est;Veneto;PD;B795;2,5;18;12,5;18,5;16;67,5
Nord Ovest;Lombardia;VA;B796;3;16;13,17;15,25;17;64,42
Nord Ovest;Lombardia;MI;B798;3,02;44,03;35;26;26,5;134,55
Nord Ovest;Lombardia;BG;B801;1;21,41;15;16,39;16,75;70,55
Sud;Calabria;CS;B802;2;3;3;6;4;18
Nord Ovest;Lombardia;BG;B803;8;7;1;1;0;17
Isole;Sicilia;ME;B804;11,32;12,44;8;2,75;2;36,51
Nord Ovest;Lombardia;VA;B805;16;120,26;75,14;29;21,08;261,48
Nord Ovest;Lombardia;VA;B807;0;11;14;11,22;15,7;51,92
Sud;Puglia;TA;B808;0;4;8;14;12,75;38,75
Sud;Puglia;BR;B809;36;111,05;57,33;31,28;16,17;251,83
Sud;Molise;IS;B810;0;2;1;4,75;2;9,75
Nord Est;Emilia-Romagna;PC;B812;3,34;18,55;24,5;17,61;30,4;94,4
Sud;Calabria;CS;B813;0;0;0;0;0;0
Centro;Marche;PS;B816;3,64;5;8;4;5;25,64
Nord Ovest;Lombardia;BS;B817;1;14,5;33;22,16;35,55;106,21
Nord Ovest;Piemonte;AL;B818;0;0;0;1;3,67;4,67
Nord Est;Emilia-Romagna;MO;B819;44,5;272,83;350,3;173,19;198,8;1039,62
Nord Ovest;Lombardia;MI;B820;5;33,5;17,5;8,1;10,25;74,35
Sud;Puglia;LE;B822;4;0;2;1,17;6,17;13,34
Nord Ovest;Piemonte;NO;B823;1;5;5;4,01;5,57;20,58
Nord Ovest;Lombardia;PV;B824;1;18;18;7;17,5;61,5
Nord Est;Emilia-Romagna;RE;B825;3;8,5;10,25;3,5;13,53;38,78
Sud;Abruzzo;CH;B826;0;1;1;0;1,2;3,2
Sud;Abruzzo;PE;B827;0;0;0;0;1,08;1,08
Centro;Lazio;RM;B828;0;7;13;3,17;1;24,17
Sud;Puglia;FG;B829;6,58;5;3;7,33;2;23,91
Sud;Molise;IS;B830;0;1;1,78;1;0;3,78
Centro;Toscana;MS;B832;81,92;191,43;149,98;88,89;59,05;571,27
Nord Est;Veneto;VI;B835;0,5;9;12;5;7,5;34
Nord Ovest;Piemonte;AL;B836;2;2;1;1;1;7
Nord Ovest;Liguria;SP;B838;0;5;4;1;6;16
Nord Ovest;Liguria;SP;B839;0,5;4;1;2;0;7,5
Nord Ovest;Piemonte;AL;B840;1;1;0;1;0;3
Nord Ovest;Piemonte;CN;B841;3;5;9;6;12;35
Sud;Abruzzo;AQ;B842;5,33;13;17,67;7,5;5,11;48,61
Nord Est;Veneto;VI;B844;0;1;4;5;7;17
Nord Ovest;Piemonte;CN;B845;1;1;0;0;0;2
Centro;Marche;PS;B846;0;17,5;18,55;5,67;17,5;59,22
Nord Ovest;Piemonte;AL;B847;1;2,02;0,17;1,51;4;8,7
Nord Est;Veneto;PD;B848;1,83;12;2;8,5;12,83;37,16
Nord Ovest;Lombardia;MI;B850;11;78,5;105,55;28,5;21;244,55
Nord Ovest;Lombardia;CO;B851;4;28,5;29,5;10,5;8,33;80,83
Sud;Abruzzo;CH;B853;0;1;1;3;1;6
Nord Ovest;Lombardia;BG;B854;2,66;9,83;15,08;4,67;11,21;43,45
Sud;Calabria;KR;B857;1;0;0;6;1;8
Sud;Molise;CB;B858;3;3;4,5;3,75;3;17,25
Sud;Abruzzo;CH;B859;0;0;0;0;2;2
Sud;Campania;CE;B860;3;11;31;34,8;16;95,8
Sud;Abruzzo;CH;B861;0;0;0;1;2;3
Centro;Lazio;FR;B862;1;2;2;0;0;5
Nord Ovest;Piemonte;NO;B864;0;1;2;0;6;9
Sud;Abruzzo;CH;B865;4;17,42;8;6,17;13,67;49,26
Sud;Campania;AV;B866;0;4;4;1,17;1,33;10,5
Nord Ovest;Piemonte;TO;B867;1;2;3;5;9,17;20,17
Sud;Campania;SA;B868;0;1;2;1;0;4
Nord Ovest;Lombardia;CR;B869;4;7;14;4,5;13;42,5
Nord Ovest;Piemonte;AL;B870;0;0;1;2;4;7
Sud;Molise;CB;B871;3,75;3;1;0;1;8,75
Sud;Campania;CE;B872;4,66;3;7,33;4,42;27,22;46,63
Sud;Campania;BN;B873;0;0;0;0;3;3
Nord Ovest;Lombardia;VA;B875;4;4;4;5;9,75;26,75
Nord Ovest;Piemonte;VB;B876;0;4;3,83;4;7;18,83
Nord Est;Veneto;PD;B877;1;8;5;9,57;14,72;38,29
Centro;Toscana;PI;B878;4,5;4;5;4;5;22,5
Nord Est;Veneto;TV;B879;0,3;56,45;51,42;36,86;41,67;186,7
Nord Est;Emilia-Romagna;BO;B880;17,88;207,74;143,43;32,5;23;424,55
Nord Ovest;Lombardia;CR;B881;0;9;11;5;3;28
Nord Ovest;Piemonte;AL;B882;2;0;1;1;1;5
Nord Ovest;Piemonte;NO;B883;0;1;1;2;6;10
Nord Ovest;Piemonte;AL;B885;31,83;100,17;121,61;61,28;78,33;393,22
Nord Est;Veneto;VR;B886;0;13,5;4;8;19,83;45,33
Nord Ovest;Lombardia;LO;B887;0;13;5;3;2,5;23,5
Sud;Campania;SA;B888;1;1;0,5;0;1;3,5
Nord Ovest;Lombardia;CR;B889;0;1;4;2;2,64;9,64
Nord Ovest;Lombardia;CR;B890;0;0;0;3;1;4
Nord Ovest;Lombardia;CR;B891;0;3,5;3;5,5;5;17
Nord Est;Emilia-Romagna;BO;B892;0,83;4,33;15,5;2;11,58;34,24
Nord Est;Emilia-Romagna;RE;B893;5;67,62;64,45;34,03;34,48;205,58
Nord Ovest;Piemonte;CN;B894;0;5;2;7;3;17
Sud;Campania;SA;B895;3,33;29,21;24,33;14,84;6;77,71
Sud;Abruzzo;CH;B896;1;1;3;1;6;12
Nord Ovest;Piemonte;NO;B897;0;1;4;3,5;8,25;16,75
Nord Ovest;Lombardia;CR;B898;10;28,7;39,5;22,17;30,84;131,21
Nord Ovest;Lombardia;LO;B899;3;18,5;18,25;7;6,5;53,25
Nord Ovest;Lombardia;CR;B900;3,68;5;5;4;5;22,68
Nord Ovest;Lombardia;MN;B901;0;4,33;4,82;2,33;5;16,48
Nord Ovest;Piemonte;AL;B902;0;2;3;1;4;10
Sud;Calabria;CS;B903;4;53;11;4,67;3,33;76
Sud;Puglia;FG;B904;1;6,84;1,67;4,4;0,22;14,13
Sud;Campania;NA;B905;26,39;85,68;135,67;58,82;26,5;333,06
Sud;Basilicata;PZ;B906;1;1;0;0;0;2
Nord Ovest;Lombardia;MN;B907;0,08;5;3;7;11,07;26,15
Nord Ovest;Lombardia;LO;B910;5;53,67;83,75;40;24;206,42
Nord Ovest;Lombardia;MN;B911;0;6;1;0;8;15
Nord Est;Veneto;PD;B912;1;11;18;12,4;15,14;57,54
Nord Ovest;Lombardia;CR;B914;0,67;2,5;1,5;2,67;4,34;11,68
Sud;Puglia;FG;B915;23;24,76;28,06;16;17,62;109,44
Sud;Campania;CE;B916;8;9,44;10;12;7;46,44
Sud;Puglia;FG;B917;1;2;0,5;1;0,44;4,94
Isole;Sicilia;ME;B918;0;2;1;0;1;4
Centro;Lazio;FR;B919;0;4;2;1;4,67;11,67
Nord Ovest;Piemonte;NO;B920;0;1;2;0;5,42;8,42
Nord Ovest;Lombardia;VA;B921;1;3;2;2;6;14
Sud;Campania;NA;B922;2;2;1;1;2,5;8,5
Sud;Puglia;BA;B923;18,34;53,6;73,5;40,25;30;215,69
Sud;Campania;NA;B924;8,75;8,61;6,75;2,75;2,5;29,36
Sud;Campania;NA;B925;4,5;11;26,07;13,78;7,5;62,85
Nord Ovest;Liguria;SV;B927;2;1;0;1;1;5
Nord Ovest;Piemonte;VC;B928;0;0;0;0;0;0
Nord Ovest;Lombardia;PV;B929;0;0;2;0;1;3
Centro;Lazio;RM;B932;1,08;7;1;0;0;9,08
Nord Ovest;Piemonte;BI;B933;0;0;0;0;4,5;4,5
Centro;Lazio;RI;B934;1;1;2;0;0,5;4,5
Sud;Campania;CE;B935;5,94;8,49;15,5;18;11,72;59,65
Sud;Puglia;LE;B936;12;24,39;35;39,08;26,8;137,27
Nord Ovest;Lombardia;LC;B937;7;13,34;4;0;3;27,34
Nord Ovest;Lombardia;MI;B938;5,5;22;18;1,17;5,5;52,17
Nord Ovest;Liguria;GE;B939;4;15;18,5;5;7,25;49,75
Nord Est;Friuli- Venezia Giulia;PN;B940;2;23,22;23;7,54;23,04;78,8
Nord Ovest;Piemonte;AL;B941;0;2;0;0;1;3
Nord Ovest;Lombardia;LC;B943;21,17;43,85;36;20,67;31,46;153,15
Nord Ovest;Lombardia;PV;B945;1;0;2;1;3;7
Sud;Campania;NA;B946;13;23,89;44,73;29,75;9,67;121,04
Nord Ovest;Lombardia;BG;B947;1;7;8;6,56;14,95;37,51
Centro;Umbria;PG;B948;2;3,95;3;5,17;2,5;16,62
Nord Ovest;Lombardia;VA;B949;0;8;6,06;5;11;30,06
Centro;Toscana;PI;B950;17;134,69;163,01;97,03;125,03;536,76
Nord Ovest;Piemonte;VC;B952;0;0;1;0;0;1
Nord Ovest;Piemonte;TO;B953;0;0;4;2;5,5;11,5
Nord Ovest;Lombardia;PV;B954;0;4;2;0;4;10
Nord Ovest;Piemonte;TO;B955;1;3,5;7;6,5;9;27
Nord Ovest;Liguria;GE;B956;4;25;12;10;5,5;56,5
Nord Ovest;Lombardia;LO;B958;6,33;13;6;4,5;4;33,83
Sud;Campania;SA;B959;1;4;1;0;0;6
Nord Ovest;Piemonte;TO;B960;1;51,67;46,33;13;22,61;134,61
Nord Ovest;Lombardia;LO;B961;0;1;2,56;3;8,42;14,98
Centro;Toscana;FI;B962;37;130,29;176,38;86,97;64,86;495,5
Sud;Campania;CE;B963;40,75;115,25;148,36;199,36;201,96;705,68
Nord Est;Veneto;TV;B965;0;50;29;19,17;37;135,17
Sud;Calabria;RC;B966;0;0;1;0;1;2
Nord Est;Emilia-Romagna;RE;B967;0;12,3;14,94;5;11,22;43,46
Sud;Calabria;KR;B968;0;1;0;0;1;2
Nord Est;Emilia-Romagna;BO;B969;0;6,33;7;7,83;9,5;30,66
Nord Ovest;Lombardia;BG;B971;1;14;10,5;5,5;3,33;34,33
Nord Ovest;Lombardia;CO;B974;1;4;5,37;1;2,5;13,87
Nord Ovest;Lombardia;CO;B977;2;23,83;21,5;8,05;9,33;64,71
Nord Ovest;Lombardia;BG;B978;0;2;3;4;3,61;12,61
Centro;Toscana;MS;B979;0;2;1;3,67;1;7,67
Sud;Campania;NA;B980;2,5;3,83;4,23;1;0,23;11,79
Nord Est;Emilia-Romagna;RA;B982;0;0;8,2;3;10,56;21,76
Centro;Toscana;SI;B984;0,33;11;9,66;9;13,83;43,82
Sud;Abruzzo;CH;B985;4,5;1;8;6;8,58;28,08
Nord Ovest;Lombardia;VA;B987;1;21,88;13;8,31;10,5;54,69
Nord Ovest;Lombardia;PV;B988;6;34,5;45,5;18,5;16;120,5
Nord Ovest;Lombardia;MI;B989;0;12,5;24;12;8,67;57,17
Sud;Campania;NA;B990;33,91;79,83;146,94;95,26;56,32;412,26
Nord Ovest;Piemonte;AT;B991;0;0;0;0;7;7
Nord Ovest;Lombardia;SO;B993;13;13;3;2;0;31
Nord Est;Friuli- Venezia Giulia;UD;B994;0;1;2;3;11,5;17,5
Nord Ovest;Lombardia;LC;B996;1;6;14;4,25;9;34,25
Sud;Campania;AV;B997;0;1;0;1,33;0;2,33
Sud;Puglia;BA;B998;14,3;72,75;45,17;48,5;31,48;212,2
Nord Ovest;Lombardia;VA;B999;0,5;0;3;1;0;4,5
Sud;Calabria;CS;C002;12,67;45,13;25,83;16,9;19,5;120,03
Nord Ovest;Lombardia;MI;C003;21;85,5;117,05;35,72;28,22;287,49
Nord Ovest;Lombardia;VA;C004;7,11;61,68;73,3;34,8;49,11;226
Isole;Sicilia;SR;C006;0;4;1;2;1;8
Nord Ovest;Lombardia;BG;C007;0;0;0;1;2;3
Nord Ovest;Lombardia;MI;C013;77;63,72;53,07;16,41;4,5;214,7
Nord Ovest;Lombardia;MI;C014;5;81;57,23;33,57;29,69;206,49
Nord Ovest;Lombardia;CO;C020;3;13;12,34;10,17;7,02;45,53
Nord Ovest;Piemonte;AT;C022;0;5;3;1;3;12
Nord Ovest;Lombardia;LC;C024;1;8;3,5;2;1;15,5
Nord Ovest;Piemonte;AL;C027;0;5;5;5;13,5;28,5
Nord Ovest;Piemonte;AL;C030;3;1;2;2;3,25;11,25
Nord Ovest;Lombardia;MI;C033;0;3;4;3;7,17;17,17
Centro;Lazio;FR;C034;32,02;80,5;75,59;54,76;54,47;297,34
Nord Est;Veneto;VI;C037;0;43,78;53,9;48;47,5;193,18
Nord Ovest;Lombardia;PV;C038;7;17;25,5;13,5;11;74
Sud;Abruzzo;TE;C040;0;2;0;0;0;2
Nord Est;Veneto;VR;C041;0;2;5,5;7;15,25;29,75
Centro;Toscana;LI;C044;7,39;78,33;42,61;22,4;11,33;162,06
Nord Ovest;Piemonte;TO;C045;2;3,5;5;2;11,34;23,84
Nord Ovest;Piemonte;CN;C046;1;3;7;2;5;18
Nord Ovest;Piemonte;AT;C047;0;0;1;1;4;6
Nord Ovest;Piemonte;TO;C048;0;3;5;1;6;15
Nord Ovest;Piemonte;AT;C049;3;5;2;10;14;34
Nord Ovest;Lombardia;PV;C050;0;0;2;0;2;4
Isole;Sicilia;ME;C051;3;1;4;2;1;11
Nord Ovest;Lombardia;MI;C052;3;28,52;34,55;15,26;20,44;101,77
Nord Ovest;Lombardia;PV;C053;2;15,61;23,41;9,75;19,57;70,34
Nord Ovest;Lombardia;BS;C055;1;26,55;25;12;21,8;86,35
Nord Est;Veneto;VI;C056;1;2;5;6;15,33;29,33
Nord Est;Veneto;PD;C057;0;2;0;0;4,28;6,28
Sud;Campania;AV;C058;0;0;1;2;3;6
Nord Ovest;Lombardia;MN;C059;3;12,67;9;3;9;36,67
Centro;Marche;AN;C060;0;8,5;13,1;15;11;47,6
Nord Ovest;Liguria;SV;C063;1;5,5;2;0,17;1;9,67
Nord Ovest;Piemonte;AT;C064;0;0;1;0;4,75;5,75
Nord Est;Emilia-Romagna;RA;C065;4;30;29;11,5;18,5;93
Sud;Molise;CB;C066;1;1;0;1;1;4
Isole;Sicilia;PA;C067;7,5;10,01;10;7,83;11;46,34
Sud;Campania;SA;C069;0;2;0;0;1;3
Centro;Marche;AP;C070;0;5;2;2;4;13
Nord Ovest;Lombardia;BS;C072;1;7;21,33;11;12,2;52,53
Nord Est;Veneto;TV;C073;1;5;4;1;8;19
Isole;Sicilia;PA;C074;4;12;10,28;22,5;16,53;65,31
Nord Est;Emilia-Romagna;BO;C075;1;4,5;5,7;2;8,17;21,37
Nord Ovest;Lombardia;MN;C076;1;8,5;6;14;19;48,5
Nord Est;Veneto;VR;C078;2;31;44;19;37,96;133,96
Nord Ovest;Lombardia;BG;C079;3;25,5;37,68;22,67;20,58;109,43
Nord Est;Emilia-Romagna;RN;C080;0;3;0,5;2;0;5,5
Nord Ovest;Piemonte;CN;C081;1;7;1;0;1,67;10,67
Sud;Molise;IS;C082;1;1;1;0;0;3
Sud;Abruzzo;AQ;C083;3,08;2,5;3;3;0;11,58
Centro;Toscana;GR;C085;6;22,66;23;11;12,67;75,33
Nord Est;Emilia-Romagna;BO;C086;0;5;3,77;1;2,24;12,01
Nord Ovest;Lombardia;CR;C089;0;0;0;2;3;5
Sud;Abruzzo;AQ;C090;1;2;1;0;0;4
Isole;Sicilia;CT;C091;7;4,34;4;2;4;21,34
Centro;Marche;AP;C093;0;15,5;26;13,33;8,89;63,72
Isole;Sicilia;ME;C094;0;0,5;1;0,95;1;3,45
Sud;Abruzzo;AQ;C096;27,92;78,17;27,34;10;3;146,43
Sud;Campania;CE;C097;0;1;0;0;3;4
Centro;Lazio;RI;C098;2;0;0;0;1,9;3,9
Centro;Marche;AN;C100;6;38,34;49,67;34,5;30,71;159,22
Centro;Toscana;FI;C101;5;62;66,65;32,92;27,17;193,74
Centro;Toscana;AR;C102;2;6;7,67;2,5;3;21,17
Centro;Lazio;LT;C104;1,99;9;2;4,5;4,98;22,47
Sud;Campania;AV;C105;0;1,4;1;2;3;7,4
Sud;Campania;BN;C106;1;0,67;2,33;2;0;6
Nord Est;Emilia-Romagna;MO;C107;19,87;143,21;125,33;40,28;61,99;390,68
Sud;Calabria;CS;C108;1;1;6;5;14;27
Nord Ovest;Liguria;IM;C110;4;3;0;1;0;8
Nord Est;Veneto;TV;C111;29,67;68,97;86,83;66,96;116,5;368,93
Centro;Toscana;PI;C113;0;14,7;26,9;19,4;31;92
Sud;Abruzzo;CH;C114;0,5;2;6;3,5;8;20
Nord Ovest;Lombardia;CR;C115;1;1;1;1;4;8
Centro;Lazio;RM;C116;7;43,43;17,5;8,5;12;88,43
Centro;Umbria;TR;C117;1;2;1,2;0;4,2;8,4
Nord Ovest;Lombardia;MN;C118;2;13;23,56;18,25;38,07;94,88
Nord Est;Veneto;VI;C119;4;14;13,5;10,1;14,17;55,77
Sud;Basilicata;PZ;C120;0;0;0;0;0;0
Nord Est;Emilia-Romagna;BO;C121;1;14;21;14;10;60
Nord Est;Veneto;RO;C122;0;2;0;2;10;14
Sud;Abruzzo;CH;C123;0,67;0;0;0;0;0,67
Sud;Campania;SA;C125;9;54;19;12;9;103
Sud;Abruzzo;AQ;C126;0;3,67;1,67;1;3;9,34
Nord Ovest;Piemonte;AT;C127;1;3;3;6;15;28
Sud;Abruzzo;TE;C128;0;5,89;4,11;4,39;8,74;23,13
Sud;Campania;NA;C129;44,81;135,53;102,93;88,94;48,4;420,61
Isole;Sicilia;TP;C130;42,56;56,8;55,03;28,49;28,01;210,89
Nord Ovest;Piemonte;TO;C133;5,5;16,58;26;27,83;27,5;103,41
Sud;Puglia;BA;C134;21;37;64,44;30,92;41,73;195,09
Isole;Sicilia;PA;C135;1;4;3;6;3;17
Sud;Puglia;TA;C136;17,37;52,48;61,8;33,34;36,85;201,84
Nord Ovest;Piemonte;AL;C137;0;0;0;0;1;1
Nord Ovest;Lombardia;VA;C139;12;66,5;55;21,67;25;180,17
Nord Est;Emilia-Romagna;RE;C141;19,26;62,37;57,45;26,5;24,39;189,97
Nord Ovest;Piemonte;AL;C142;0;0;0;2;0;2
Nord Ovest;Liguria;IM;C143;1;9;5;0,5;2,92;18,42
