AREA;Regione;prov;2018_CodCom;NTN fino a 50 mq;NTN 50 -| 85 mq;NTN  85 -| 115 mq;NTN 115 -| 145 mq;NTN  oltre 145 mq;NTN 2018
Isole;Sicilia;AG;C341;0;4;3,5;0;0,87;8,37
Isole;Sicilia;EN;C342;16,69;22,54;37,12;73,48;23,16;172,99
Nord Ovest;Lombardia;VA;C343;0;4,5;11;8;13;36,5
Isole;Sicilia;PA;C344;4;3;3;4;4;18
Sud;Basilicata;PZ;C345;1;1;2;1;0;5
Sud;Molise;CB;C346;0;1;0;0;0;1
Isole;Sicilia;ME;C347;1;6,33;2,83;2,67;1;13,83
Sud;Calabria;CS;C348;0;0;0;0;0;0
Sud;Calabria;CS;C349;7;24;21,17;17,4;34,53;104,1
Isole;Sicilia;CT;C351;365,92;710,5;804,03;631,19;446,81;2958,45
Sud;Calabria;CZ;C352;75,35;193;220,4;143,31;111,36;743,42
Isole;Sicilia;EN;C353;1,67;3,44;2;4;3;14,11
Sud;Abruzzo ;PE;C354;0;0,5;2;1;1,5;5
Isole;Sicilia;AG;C356;14;21,67;8;7;10;60,67
Nord Est;Emilia-Romagna;RN;C357;14,5;81,91;50,44;24,67;26,58;198,1
Sud;Campania;BN;C359;1;1;1;0;2;5
Nord Ovest;Lombardia;PV;C360;6,75;9;11;5,5;11;43,25
Sud;Campania;SA;C361;17;54,74;69,87;78,61;53,37;273,59
Nord Ovest;Piemonte;BI;C363;2;6;6,17;3;10;27,17
Nord Ovest;Piemonte;NO;C364;0;0;0;0;2;2
Nord Ovest;Piemonte;NO;C365;0;1;1;0;5;7
Nord Ovest;Piemonte;VB;C367;1;3;1;2;0;7
Nord Ovest;Piemonte;TO;C369;0;4,5;3;4,67;11,25;23,42
Nord Est;Veneto;VR;C370;12;38;30,5;16,75;33,99;131,24
Nord Ovest;Piemonte;CN;C375;0;0;0;0;1;1
Nord Ovest;Piemonte;CN;C376;1;7,25;15,75;9,05;13;46,05
Sud;Puglia;LE;C377;1;13,14;20,93;31,14;29,42;95,63
Nord Ovest;Piemonte;NO;C378;0;0;0;3;2;5
Nord Ovest;Lombardia;CO;C381;0;0;0;0;0;0
Nord Ovest;Lombardia;VA;C382;4;24,17;23;11;10,5;72,67
Nord Est;Veneto;VE;C383;5,67;18;16,5;21,5;22,67;84,34
Nord Est;Veneto;TV;C384;2,45;4;2;2,44;7,5;18,39
Nord Est;Friuli- Venezia Giulia;PN;C385;0;1,67;2,67;5;4,75;14,09
Nord Ovest;Piemonte;AL;C387;0;0,75;0;0;4;4,75
Nord Est;Veneto;VE;C388;134,37;549,95;196,12;52,89;59,11;992,44
Nord Est;Friuli- Venezia Giulia;UD;C389;0;2;2;2;7;13
Centro;Lazio;RM;C390;4;27,33;12,88;7,5;6,5;58,21
Nord Ovest;Lombardia;LO;C394;0;5;6;3;5;19
Nord Ovest;Lombardia;MI;C395;2;42,5;41,37;12,5;11;109,37
Nord Ovest;Lombardia;BG;C396;0;23,5;18,75;4,7;2;48,95
Nord Est;Emilia-Romagna;MO;C398;0;10;8;7;15,26;40,26
Nord Ovest;Piemonte;TO;C404;0;5;11,34;9;15;40,34
Nord Est;Emilia-Romagna;RE;C405;3;19;42,86;19,22;15;99,08
Nord Ovest;Lombardia;MN;C406;1,78;1,5;1;2;5,15;11,43
Centro;Toscana;AR;C407;3;49,71;30,38;16,5;9,67;109,26
Nord Ovest;Lombardia;BS;C408;2;13;32;13,39;18,14;78,53
Nord Ovest;Lombardia;VA;C409;0;3;3;1;2;9
Nord Ovest;Lombardia;BG;C410;0;1;2;1,33;4;8,33
Nord Est;Veneto;VR;C412;0;5;2;2,67;3;12,67
Centro;Lazio;FR;C413;2,5;10,25;23,24;17,86;17;70,85
Nord Ovest;Lombardia;PV;C414;1;0;1,5;1;0;3,5
Centro;Toscana;LI;C415;39;159,42;101,94;43,78;35,84;379,98
Nord Ovest;Lombardia;BS;C417;1;1,5;0;0;2;4,5
Nord Ovest;Lombardia;SO;C418;0;0;0;0;1;1
Isole;Sicilia;PA;C420;0;0;3;0;2;5
Isole;Sicilia;PA;C421;32,94;65,08;50,36;19,39;17,7;185,47
Nord Est;Veneto;VE;C422;3;19;22,5;9,5;22,12;76,12
Sud;Puglia;BR;C424;77,62;39;41,5;24,28;16;198,4
Sud;Abruzzo ;AQ;C426;10;13,43;8,17;4;3,2;38,8
Sud;Abruzzo ;CH;C428;0;0;0;0;2,5;2,5
Sud;Puglia;FG;C429;1;6,5;2,25;1;3;13,75
Sud;Calabria;CS;C430;0;1;1;4;6;12
Nord Ovest;Piemonte;AL;C432;0;0;0;1,5;2;3,5
Nord Ovest;Lombardia;CR;C435;0;0;0;0;1;1
Sud;Puglia;BA;C436;0;6;17;8,5;10;41,5
Sud;Calabria;CS;C437;0;0;0;0;1;1
Nord Ovest;Piemonte;AT;C438;0;3;0;1;2,5;6,5
Nord Ovest;Lombardia;BS;C439;2;11;5,5;7,25;13;38,75
Nord Ovest;Piemonte;AT;C440;0;0;0;0;2;2
Nord Ovest;Piemonte;CN;C441;0,5;2;0;0,5;0,5;3,5
Sud;Puglia;FG;C442;0;0;0;0;0;0
Nord Ovest;Liguria;SV;C443;12;39,34;25;16,25;4,22;96,81
Sud;Campania;SA;C444;1;1;1;0;3;6
Centro;Lazio;VT;C446;2,5;4,25;1,5;1,5;1,5;11,25
Centro;Lazio;VT;C447;2;4,5;3;0;3;12,5
Sud;Puglia;BR;C448;2;2;5,5;9,5;8,5;27,5
Sud;Abruzzo ;TE;C449;0;2,63;1;0,5;7;11,13
Sud;Calabria;CZ;C453;0;0;0;0;1,33;1,33
Nord Ovest;Lombardia;BG;C456;0;3,91;3;7;6,33;20,24
Nord Ovest;Lombardia;BG;C457;2;12,72;12;5,22;5;36,94
Nord Est;Veneto;BL;C458;3,16;7,16;4;2,33;1,17;17,82
Nord Ovest;Lombardia;BG;C459;3;8,5;8,25;6,5;8,83;35,08
Nord Est;Veneto;RO;C461;1;2;2;1;6,88;12,88
Nord Ovest;Liguria;SV;C463;0;4;10;1;1;16
Nord Ovest;Piemonte;CN;C466;1;7;18,8;14,83;12,29;53,92
Nord Est;Emilia-Romagna;FE;C469;11,75;118,95;97,34;67,9;75,38;371,32
Sud;Campania;SA;C470;11,06;20,5;14,33;7;5,17;58,06
Isole;Sicilia;EN;C471;10,75;16;6,14;3;3;38,89
Sud;Calabria;CZ;C472;0;0;1;1;0;2
Sud;Abruzzo ;PE;C474;0;13;9,42;9,5;14;45,92
Sud;Campania;BN;C476;1;0,5;0;0;2;3,5
Nord Ovest;Piemonte;VB;C478;1;0,11;0;0;1,75;2,86
Centro;Lazio;FR;C479;1;6;17,33;8,33;17,75;50,41
Isole;Sicilia;EN;C480;2;1;3,75;4,8;2;13,55
Nord Ovest;Liguria;GE;C481;0;5,5;8;3;6;22,5
Nord Ovest;Lombardia;CO;C482;0;0,92;3;0;2;5,92
Nord Ovest;Piemonte;NO;C483;3,33;14,47;12,67;6;7;43,47
Nord Ovest;Lombardia;PV;C484;1,5;4,75;15,5;7,5;5,5;34,75
Sud;Campania;SA;C485;2;0;3,5;2;2,83;10,33
Sud;Molise;CB;C486;0;1,17;4;1;0;6,17
Nord Ovest;Piemonte;TO;C487;2;5;5;6;6,5;24,5
Sud;Molise;CB;C488;0;0;1;0;0;1
Sud;Calabria;CS;C489;0;3;3;1;1;8
Sud;Abruzzo ;AQ;C492;0,5;1;1,5;1;0;4
Nord Ovest;Lombardia;SO;C493;1;1;0;1;0;3
Nord Est;Friuli- Venezia Giulia;UD;C494;1;0;1,67;0;3;5,67
Sud;Campania;NA;C495;2,73;21,36;46,78;35,6;12,5;118,97
Isole;Sicilia;PA;C496;1;6;6;5,5;5,5;24
Nord Ovest;Piemonte;TO;C497;4,5;7,75;4;0;3;19,25
Nord Est;Veneto;VR;C498;2;12;44,5;32;50,61;141,11
Nord Est;Veneto;RO;C500;1;7;9,57;5;6,97;29,54
Nord Ovest;Lombardia;MN;C502;0;0;1;2,33;7;10,33
Nord Ovest;Piemonte;AL;C503;0;0;0;1;2;3
Nord Ovest;Piemonte;CN;C504;0;2;7;2;6;17
Nord Ovest;Piemonte;TO;C505;5;8;5;0;0;18
Nord Ovest;Lombardia;BG;C506;5,11;9;1;3;3,78;21,89
Nord Ovest;Piemonte;AL;C507;1;0;0;0;2;3
Nord Ovest;Lombardia;PV;C508;0;0;0;1;3;4
Nord Ovest;Lombardia;PV;C509;0;1;3;1;1;6
Nord Ovest;Liguria;SV;C510;64,83;69,75;20,94;6,5;4,5;166,52
Nord Ovest;Liguria;IM;C511;11;13;3,5;3;5;35,5
Nord Ovest;Lombardia;MI;C512;8,5;26,5;22,78;12,17;7;76,95
Nord Est;Emilia-Romagna;PC;C513;0;0;0;3;2;5
Sud;Puglia;FG;C514;78,87;96,31;92,92;116,18;98,42;482,7
Sud;Calabria;CS;C515;0;3;6;3;8,5;20,5
Nord Ovest;Lombardia;CO;C516;5;19,5;27;13,5;19,5;84,5
Sud;Abruzzo ;TE;C517;0,17;1;1;0;0;2,17
Centro;Lazio;RM;C518;1;5,17;0;2;1;9,17
Nord Ovest;Lombardia;CO;C520;9;28,34;26,84;10,5;15,17;89,85
Nord Ovest;Lombardia;LC;C521;3;12,5;13;6,5;5,5;40,5
Nord Ovest;Lombardia;MI;C523;32,5;187,28;199,67;73,5;57,5;550,45
Centro;Marche;AN;C524;0;3;1,83;1;0;5,83
Sud;Campania;BN;C525;0,67;4;3;2;3;12,67
Nord Ovest;Piemonte;BI;C526;0;0;1;1;1;3
Centro;Umbria;PG;C527;4;0,78;2;0;1;7,78
Nord Ovest;Piemonte;AT;C528;0;1;1;0;1;3
Centro;Toscana;FI;C529;4;21,17;20,5;14,26;16,33;76,26
Nord Ovest;Piemonte;CN;C530;0;0;0;0;1;1
Nord Ovest;Piemonte;AL;C531;0;0;3;2;7,5;12,5
Nord Ovest;Piemonte;BI;C532;0;3;5;4;7,5;19,5
Nord Ovest;Piemonte;AT;C533;0;0;0,25;1;8,75;10
Sud;Molise;IS;C534;0;1;0;1;0;2
Nord Ovest;Lombardia;MI;C536;6;12,5;7,5;5;23;54
Nord Ovest;Lombardia;MI;C537;10;68,59;37,83;21,33;33,34;171,09
Nord Est;Veneto;VR;C538;1;13,53;15;3;10,5;43,03
Sud;Basilicata;PZ;C539;6,5;0,5;0;0;0;7
Centro;Toscana;FI;C540;3;45,26;43,5;25;24;140,76
Nord Ovest;Lombardia;PV;C541;3;30,5;24,5;5;15,5;78,5
Sud;Calabria;CZ;C542;0;1;1;0;1;3
Centro;Lazio;RM;C543;6;10,33;0;0;0;16,33
Nord Est;Veneto;PD;C544;1;11;7,5;14,95;14,67;49,12
Centro;Lazio;FR;C545;0;1;5,5;5,75;20,75;33
Nord Ovest;Piemonte;CN;C547;2;2,67;7,83;13,83;22,83;49,16
Nord Ovest;Piemonte;VC;C548;0;1;1;0;1;3
Nord Ovest;Lombardia;BS;C549;0;2,5;1;1,67;4;9,17
Nord Ovest;Piemonte;CN;C550;0;0;6;2;15;23
Nord Ovest;Lombardia;PV;C551;1;0,33;3,33;0,33;6;10,99
Centro;Lazio;RM;C552;80,67;182,29;124,09;75,32;67,35;529,72
Nord Est;Emilia-Romagna;RA;C553;57,31;251,7;117,46;47;45,2;518,67
Sud;Calabria;CS;C554;0;1;1;0;2;4
Nord Ovest;Lombardia;LO;C555;0;9,5;11,8;1;2;24,3
Sud;Campania;AV;C557;9;6;3,75;9,66;22,49;50,9
Sud;Campania;CE;C558;5,09;1;4,27;0,5;1;11,86
Nord Ovest;Liguria;IM;C559;8;16;7;2;4;37
Sud;Calabria;CS;C560;0;2;2;2,2;1;7,2
Sud;Campania;CE;C561;2;4,17;34,5;20,17;7,44;68,28
Nord Est;Veneto;BL;C562;0;5,67;5;5,17;8,21;24,05
Nord Ovest;Lombardia;LC;C563;3;2;4;2,3;2;13,3
Nord Ovest;Piemonte;TO;C564;37,43;45,62;4;5;4;96,05
Nord Ovest;Lombardia;MI;C565;25,52;97,44;57,93;14;8,6;203,49
Nord Ovest;Lombardia;MI;C566;43,35;177,72;168,5;61;43,67;494,24
Nord Ovest;Piemonte;VB;C567;0;0;1;0;0;1
Isole;Sicilia;ME;C568;2;2;3,43;3;1,14;11,57
Nord Ovest;Lombardia;MI;C569;11,44;73,22;50,9;28,58;19;183,14
Nord Est;Emilia-Romagna;FO;C573;49,65;217,9;242,45;124,4;208,66;843,06
Nord Est;Emilia-Romagna;FO;C574;86,94;155,03;94,8;34,75;32,19;403,71
Sud;Campania;AV;C576;1,5;5,67;6;5,18;5,18;23,53
Nord Est;Veneto;BL;C577;0;6;4,67;2;14,11;26,78
Nord Ovest;Liguria;IM;C578;2;3;1;0;0;6
Nord Est;Veneto;TV;C580;0,5;9;27,5;10,15;10,25;57,4
Sud;Calabria;VV;C581;1;6,5;4;4;1;16,5
Centro;Marche;MC;C582;0;1,17;0;1;0,17;2,34
Nord Ovest;Piemonte;AT;C583;1;0,04;0;0,5;4;5,54
Sud;Campania;SA;C584;5;5,65;2;1;0;13,65
Nord Ovest;Lombardia;BS;C585;1,5;2,5;1;0,5;1,93;7,43
Centro;Toscana;SI;C587;1;5;8;7;13;34
Sud;Calabria;CS;C588;1;15,5;9,25;5;8,03;38,78
Nord Ovest;Piemonte;CN;C589;3;10;7;12;9,83;41,83
Nord Ovest;Lombardia;BS;C591;1,6;1;2;1;0;5,6
Nord Ovest;Valle d'Aosta;AO;C593;5,5;4,5;5,14;1,14;1;17,28
Nord Ovest;Valle d'Aosta;AO;C594;1;4;3;0;0;8
Nord Ovest;Valle d'Aosta;AO;C595;2,5;0;1;1;0,5;5
Nord Ovest;Valle d'Aosta;AO;C596;1;0;0;0;0;1
Nord Ovest;Valle d'Aosta;AO;C598;0;3,75;4;1,75;4;13,5
Nord Ovest;Piemonte;CN;C599;15;27,83;38;13,17;51,19;145,19
Isole;Sardegna;SS;C600;0;0;0;0;1;1
Nord Ovest;Piemonte;TO;C604;2;5;3,5;0;3;13,5
Nord Est;Veneto;VI;C605;3,5;18,83;29;17,83;15,86;85,02
Sud;Campania;AV;C606;1;0,5;0;0;0;1,5
Centro;Toscana;SI;C608;5;11,42;11;12,17;11,5;51,09
Centro;Toscana;PI;C609;1;8,5;4;4,5;9;27
Nord Ovest;Piemonte;TO;C610;5;1;3,11;0;4,11;13,22
Isole;Sicilia;RG;C612;9;11,5;15,42;15;7;57,92
Isole;Sardegna;SS;C613;0;1;1;3,36;4;9,36
Nord Est;Veneto;TV;C614;0;3;5,44;5,67;12,33;26,44
Centro;Marche;AN;C615;10,67;42,24;57;30,83;13,81;154,55
Sud;Calabria;CZ;C616;4,93;3,8;1,38;3;1;14,11
Nord Ovest;Lombardia;BS;C618;3;35,44;70,95;37;57,66;204,05
Sud;Basilicata;PZ;C619;2;1,5;1;1;0;5,5
Sud;Molise;IS;C620;0,4;0;0;0,2;2;2,6
Nord Ovest;Liguria;GE;C621;29,03;116,28;94,93;38,75;39,58;318,57
Nord Ovest;Lombardia;SO;C623;10,2;18,86;29,16;12,5;4;74,72
Nord Ovest;Piemonte;TO;C624;1;1;2,33;2;3,25;9,58
Nord Ovest;Piemonte;TO;C627;15,02;149,39;161,64;51,3;80,68;458,03
Nord Ovest;Lombardia;SO;C628;21,5;22,89;2,5;2;1,44;50,33
Nord Ovest;Piemonte;TO;C629;0;0;0;2;2;4
Nord Est;Veneto;BL;C630;1;4;3;1;3;12
Centro;Toscana;PT;C631;1;6;11;9,5;12,33;39,83
Sud;Abruzzo ;CH;C632;19,24;88,67;110,32;82,87;54,8;355,9
Sud;Puglia;FG;C633;1,5;12,5;1;2,67;1;18,67
Nord Ovest;Lombardia;CR;C634;1;9;5;7;6;28
Nord Ovest;Lombardia;BG;C635;4;9,5;21;5;8,5;48
Nord Ovest;Lombardia;PV;C637;1;12;9,5;13;10;45,5
Nord Est;Veneto;VE;C638;140,71;258,51;203,55;98,59;56,11;757,47
Nord Ovest;Piemonte;TO;C639;17;10,1;2;3;2;34,1
Nord Est;Friuli- Venezia Giulia;PN;C640;0;9;8;7,5;10,67;35,17
Centro;Toscana;AR;C648;0;1;1;0;2;4
Nord Ovest;Lombardia;BG;C649;0;9;18;13,66;9,58;50,24
Nord Est;Veneto;VI;C650;0;3;3,67;2,5;9;18,17
Nord Ovest;Lombardia;SO;C651;1;2;5;1;1;10
Nord Ovest;Piemonte;CN;C653;6,61;11,17;11,41;4,11;14,5;47,8
Isole;Sicilia;PA;C654;3,5;2,33;1,33;4,33;7,54;19,03
Nord Ovest;Piemonte;TO;C655;1;5;6,5;3;2;17,5
Nord Est;Friuli- Venezia Giulia;UD;C656;9;5;2,75;0,25;1,5;18,5
Nord Ovest;Liguria;IM;C657;3;3;4;1;1;12
Nord Ovest;Piemonte;AT;C658;1;0;0;1;1;3
Sud;Campania;AV;C659;0;2,33;3,5;2;1;8,83
Nord Ovest;Liguria;IM;C660;3;2;0;1;0;6
Centro;Toscana;SI;C661;1;10;6;1;5;23
Centro;Toscana;SI;C662;0;11,17;15;11,83;16,67;54,67
Centro;Toscana;AR;C663;0,8;1,17;3,5;4;2;11,47
Nord Ovest;Piemonte;TO;C665;13,5;116,5;123,9;46,9;57,67;358,47
Isole;Sicilia;AG;C668;2;15;9;7;5;38
Nord Est;Emilia-Romagna;RE;C669;1;6;5,17;8;6,5;26,67
Nord Est;Veneto;TV;C670;0;6;13,67;7,75;25;52,42
Nord Est;Veneto;BL;C672;1;4;1,17;0;1;7,17
Nord Ovest;Liguria;GE;C673;0;4;2;3;0,25;9,25
Sud;Calabria;CZ;C674;1,5;3;1;1;2;8,5
Sud;Campania;NA;C675;17;10,5;21;12,5;18,14;79,14
Sud;Campania;SA;C676;1;1;0;0;0;2
Centro;Lazio;RM;C677;6,5;3,5;3;1;2;16
Nord Ovest;Lombardia;CR;C678;0;1;0;0;1;2
Nord Ovest;Piemonte;TO;C679;0;0;0,67;0;1,67;2,34
Nord Ovest;Piemonte;VC;C680;0;2;6;7;10;25
Nord Ovest;Piemonte;CN;C681;0;0;1;1;0;2
Nord Ovest;Lombardia;PV;C684;0;2;2;2;3;9
Nord Ovest;Lombardia;BS;C685;0;1;0;2,5;4,33;7,83
Nord Ovest;Lombardia;PV;C686;1;12;13,5;6;10;42,5
Nord Est;Veneto;TV;C689;2;2;8;2;12,36;26,36
Nord Ovest;Lombardia;BS;C691;0;3,33;0;0;0,33;3,66
Sud;Calabria;RC;C695;0;0;0;0;0;0
Isole;Sicilia;PA;C696;0;2;2,5;7,7;5;17,2
Sud;Campania;NA;C697;5,86;7,75;5,5;4,17;12;35,28
Nord Ovest;Lombardia;BS;C698;0;3,79;2;3,34;4;13,13
Nord Est;Friuli- Venezia Giulia;PN;C699;0;1;0;0;2,5;3,5
Nord Ovest;Piemonte;AT;C701;0;2;2,33;0;2;6,33
Centro;Lazio;RM;C702;1;0;1;1;1,83;4,83
Nord Ovest;Lombardia;CR;C703;0;3;1;0;3,67;7,67
Centro;Marche;MC;C704;1;17,5;10,5;12,5;29,66;71,16
Centro;Toscana;GR;C705;3;12,5;4;4;4;27,5
Nord Ovest;Lombardia;MI;C707;104,55;422,41;152,71;57,67;21;758,34
Isole;Sicilia;PA;C708;6;12,61;17,67;22,7;20,06;79,04
Nord Ovest;Lombardia;SO;C709;0;2;0;0;0;2
Sud;Calabria;RC;C710;5;2;2;1,56;3,29;13,85
Nord Ovest;Piemonte;TO;C711;0;1;3;1;0;5
Nord Est;Veneto;PD;C713;0;0,62;2;2,56;7;12,18
Nord Est;Veneto;VE;C714;0;2;3;4;9,23;18,23
Nord Ovest;Piemonte;TO;C715;0;0;0;0;0;0
Sud;Campania;CE;C716;0;0;0;0;0;0
Nord Ovest;Liguria;IM;C718;12,1;10;2;7,1;2,1;33,3
Sud;Campania;BN;C719;0;0;0;1;2;3
Nord Ovest;Piemonte;TO;C722;10;49,92;52,83;27,5;22,55;162,8
Sud;Basilicata;MT;C723;1;1;0;0;0;2
Nord Ovest;Lombardia;CO;C724;1;3;4;3;4;15
Sud;Calabria;KR;C725;0;0,34;2;1;5;8,34
Sud;Calabria;KR;C726;5,34;16,88;13,11;15,34;7,73;58,4
Nord Ovest;Lombardia;BG;C728;2;20;21,5;10,5;6,5;60,5
Nord Ovest;Liguria;SV;C729;4;4,5;5;0;3;16,5
Nord Ovest;Lombardia;BG;C730;2;10,34;21;15,17;5;53,51
Nord Ovest;Lombardia;VA;C732;5;29;32,42;20,28;18,38;105,08
Nord Ovest;Lombardia;MI;C733;3;30;17,5;10,34;13;73,84
Nord Est;Veneto;VI;C734;2;7;1;1;4;15
Nord Est;Veneto;TV;C735;2;6,33;5,5;2,5;7,33;23,66
Nord Ovest;Piemonte;CN;C738;0;0;0;0;1;1
Nord Ovest;Piemonte;AT;C739;1;1;4;3;6;15
Centro;Lazio;LT;C740;5,86;63,11;80,59;31,41;35,38;216,35
Sud;Puglia;BR;C741;16;18;23,53;15,83;11;84,36
Centro;Umbria;PG;C742;0;3,67;5;4;8;20,67
Nord Est;Veneto;PD;C743;4,85;19,6;35,85;36,87;61,27;158,44
Centro;Umbria;PG;C744;4,5;16,5;15;8,4;29,85;74,25
Centro;Umbria;PG;C745;11;51,18;94,5;77,64;56,34;290,66
Centro;Lazio;RI;C746;5,66;6,33;10,25;5,58;15,7;43,52
Sud;Calabria;RC;C747;10;11;6;5;4,92;36,92
Centro;Lazio;RI;C749;0;0;1;2;0,44;3,44
Sud;Abruzzo ;PE;C750;4;21;34;17;34,53;110,53
Nord Ovest;Lombardia;VA;C751;2;8,5;6,22;3,22;10,67;30,61
Nord Ovest;Lombardia;LC;C752;2;2,75;5;8;3;20,75
Nord Ovest;Liguria;IM;C755;2;5,5;2;0;1,25;10,75
Nord Ovest;Piemonte;VC;C757;0;0;0;1;1;2
Nord Est;Friuli- Venezia Giulia;UD;C758;4;24;24,25;17,5;38,86;108,61
Nord Ovest;Lombardia;BG;C759;0;5;15;6,75;11,5;38,25
Nord Ovest;Lombardia;BS;C760;2;7;15,83;3,93;4,89;33,65
Sud;Calabria;CS;C763;0;0;3;1;4,5;8,5
Sud;Molise;CB;C764;1;0;0;0;2;3
Centro;Lazio;VT;C765;12;43,25;34,67;21,42;14,8;126,14
Sud;Abruzzo ;AQ;C766;1,5;2;0,5;1;2;7
Centro;Lazio;RM;C767;5;30,67;34,83;12,67;22,83;106
Sud;Abruzzo ;CH;C768;0;2;0;0;0;2
Sud;Molise;IS;C769;0;0;1;1;0;2
Centro;Marche;MC;C770;33,17;150,13;121,57;69,63;60,43;434,93
Sud;Abruzzo ;PE;C771;1;1;4,5;1;6;13,5
Sud;Molise;CB;C772;1;2;0;1;0;4
Centro;Lazio;RM;C773;38,89;194,38;193,14;84,95;41,96;553,32
Centro;Toscana;AR;C774;1;9,5;15,55;9,17;19,5;54,72
Sud;Abruzzo ;CH;C776;0;0,89;1;0;1;2,89
Nord Est;Emilia-Romagna;FO;C777;1;4,17;2;9,5;6,17;22,84
Sud;Abruzzo ;AQ;C778;1;2;1;1;0;5
Sud;Abruzzo ;PE;C779;2;2;1;2;7;14
Centro;Lazio;VT;C780;4;4,5;6,5;5;6,17;26,17
Sud;Abruzzo ;TE;C781;0;1;2,66;5;3,25;11,91
Centro;Toscana;GR;C782;1;5,5;10,58;2;8;27,08
Sud;Abruzzo ;AQ;C783;1;0,67;2;1;8,22;12,89
Centro;Lazio;RM;C784;2;8,5;5;1;2,5;19
Nord Ovest;Lombardia;SO;C785;1;5,87;3;1,8;2,2;13,87
Nord Ovest;Lombardia;CO;C787;2;3;3;0;0;8
Nord Ovest;Lombardia;BG;C789;0;2;1;3;4;10
Nord Est;Friuli- Venezia Giulia;PN;C790;0;1;2;0;4;7
Nord Est;Friuli- Venezia Giulia;PN;C791;4;3;1,73;2;5,35;16,08
Nord Ovest;Piemonte;CN;C792;0;0;2;1;4;7
Nord Ovest;Piemonte;TO;C793;10;7;1;1;0;19
Sud;Calabria;CS;C795;1;0;0;0,22;1,89;3,11
Nord Ovest;Lombardia;VA;C796;0;2;2;2;9;15
Nord Ovest;Lombardia;BG;C800;13;42,4;30,5;11,4;7,66;104,96
Nord Ovest;Piemonte;TO;C801;1;4,5;10;2;6,33;23,83
Nord Ovest;Piemonte;TO;C803;13,25;14,5;16;7;13,33;64,08
Nord Ovest;Piemonte;AT;C804;0;0;0;0;1;1
Nord Ovest;Lombardia;BS;C806;0;15,17;23,5;10;22;70,67
Nord Ovest;Piemonte;AT;C807;3;7;2;3;9;24
Nord Ovest;Lombardia;VA;C810;0;9;5,2;9,5;8,5;32,2
Sud;Abruzzo ;AQ;C811;2,75;1,75;0;0;0;4,5
Nord Est;Veneto;PD;C812;0;15;7;17;15;54
Nord Ovest;Lombardia;PV;C813;0;0;0;1;4,5;5,5
Nord Est;Emilia-Romagna;FE;C814;3;12,71;17,88;18,5;24,86;76,95
Nord Est;Veneto;TV;C815;0;6;9,09;12,45;12,9;40,44
Nord Ovest;Lombardia;LO;C816;4;42,17;63,26;37,5;35,4;182,33
Nord Est;Friuli- Venezia Giulia;UD;C817;6;25;41,5;31,5;51,42;155,42
Isole;Sardegna;SS;C818;1;1;1;0;6,88;9,88
Nord Ovest;Piemonte;BI;C819;0;5;2,5;1;2,67;11,17
Nord Ovest;Lombardia;MI;C820;1;21,17;18,67;12;17,75;70,59
Nord Ovest;Valle d'Aosta;AO;C821;7,25;13;2;1,83;1;25,08
Nord Ovest;Liguria;GE;C823;8,5;62,5;33,67;10,25;2,5;117,42
Nord Est;Veneto;VI;C824;1,5;4;4,17;1,83;6;17,5
Nord Ovest;Liguria;GE;C826;3;15,17;12,5;10;9;49,67
Nord Ovest;Piemonte;NO;C829;2;9;3;0;1;15
Nord Ovest;Lombardia;BG;C835;4,34;9,34;5,52;1;0;20,2
Centro;Lazio;FR;C836;0;1;1;1;4;7
Nord Est;Emilia-Romagna;PC;C838;1,29;7;2;1;7,01;18,3
Nord Ovest;Lombardia;LC;C839;9,83;56;30,3;20,7;12,09;128,92
Centro;Lazio;RI;C841;4;1,67;0;2;0;7,67
Sud;Abruzzo ;AQ;C844;0;0;0;0;2;2
Centro;Umbria;PG;C845;1;4;3;6;10;24
Sud;Campania;BN;C846;0;0;1;1;4;6
Centro;Toscana;SI;C847;7,75;92,45;63,42;29,33;26,92;219,87
Nord Est;Veneto;TV;C848;2;9;13,75;5,67;13,5;43,92
Nord Ovest;Lombardia;BS;C850;1;7;8;10;7,33;33,33
Nord Ovest;Lombardia;LC;C851;1;3,11;8,16;5,11;4;21,38
Nord Est;Emilia-Romagna;PR;C852;7,58;37,5;53,08;29,33;37,45;164,94
Sud;Abruzzo ;PE;C853;1;5,58;2,41;7,08;8;24,07
Sud;Molise;CB;C854;2;1;1;0;0;4
Sud;Abruzzo ;CH;C855;0;0;2;0;0;2
Sud;Abruzzo ;CH;C856;0;0;1;1;0;2
Centro;Lazio;RI;C857;1,67;2;0;0;0,5;4,17
Centro;Lazio;RM;C858;3;53,78;37,33;37,26;19;150,37
Centro;Lazio;RI;C859;0;0;0,5;0;0;0,5
Nord Ovest;Piemonte;TO;C860;20,5;291,8;242,54;76,58;49,56;680,98
Sud;Abruzzo ;AQ;C862;1;1;0;1;0;3
Centro;Lazio;FR;C864;0;2;5;0;2;9
Sud;Puglia;LE;C865;0;3,75;4;9;9;25,75
Sud;Abruzzo ;AQ;C866;1;0;0;1;1;3
Nord Ovest;Piemonte;TO;C867;0;1;2,9;3;1;7,9
Nord Ovest;Piemonte;TO;C868;0;1;0;1;3;5
Centro;Toscana;LI;C869;6;54;63,58;34,25;30,5;188,33
Centro;Lazio;FR;C870;1;0;0,92;0,92;0;2,84
