AREA;Regione;prov;2018_CodCom;NTN_2018_Box;NTN_2018_Depositi_Pert
Nord Ovest;Piemonte;TO;C241;5;1
Nord Est;Emilia-Romagna;MO;C242;204,73;26,5
Nord Ovest;Piemonte;AL;C243;13,33;2
Centro;Toscana;PI;C244;2,83;9,33
Sud;Campania;BN;C245;0;0
Sud;Molise;IS;C246;2,83;1,88
Sud;Molise;IS;C247;0;0
Centro;Marche;AN;C248;10,72;1,18
Sud;Campania;BN;C250;0;1
Centro;Marche;MC;C251;23;5
Centro;Umbria;PG;C252;13;5
Nord Ovest;Piemonte;AT;C253;0;0
Nord Ovest;Lombardia;BG;C255;28,5;2
Sud;Campania;SA;C259;26,17;13
Nord Est;Emilia-Romagna;PC;C261;190,04;8,11
Sud;Campania;SA;C262;1;1
Centro;Toscana;AR;C263;4,5;1
Nord Est;Emilia-Romagna;BO;C265;148,72;15,66
Centro;Lazio;RM;C266;0;0
Centro;Marche;MC;C267;0;0
Centro;Lazio;RI;C268;2;1,5
Centro;Lazio;VT;C269;7;3,5
Sud;Molise;IS;C270;0;1
Sud;Basilicata;PZ;C271;0,5;2,67
Isole;Sardegna;SS;C272;45,4;6
Nord Ovest;Lombardia;VA;C273;15;1
Nord Ovest;Piemonte;AL;C274;1;0
Isole;Sicilia;AG;C275;2,5;9
Nord Ovest;Liguria;SV;C276;0;4
Sud;Abruzzo ;AQ;C278;1;0
