AREA;Regione;prov;2018_CodCom;NTN_2018_Uffici;NTN_2018_Negozi_Lab;NTN_2018_Depositi_Comm_Autorimesse;NTN_2018_TCO_B04;NTN_2018_TCO_D02;NTN_2018_TCO_D05;NTN_2018_TCO_D08;NTN_2018_PRO;NTN_2018_AGR
Nord Est;Veneto;PD;A001;6;13;16,17;0;1;0;0;0;1
Nord Ovest;Lombardia;LO;A004;0;0;0;0;0;0;0;0;0
Nord Ovest;Lombardia;LC;A005;0;1;4;0;0;0;0;1;0
Centro;Toscana;SI;A006;0;7,5;3,86;0;0;0;0;1;0
Isole;Sardegna;OR;A007;0;3;2;0;0;0;0;1;0
Sud;Abruzzo;PE;A008;0;1;1;0;0;0;0;1;0
Nord Ovest;Lombardia;MI;A010;5;20,98;18,16;0;0;0;2,18;7,69;0
Sud;Basilicata;PZ;A013;0;1;7;0;0;0;0;0;0
Isole;Sicilia;RG;A014;0;2;4;0;0;0;0;3;10,34
Sud;Puglia;FG;A015;1;0;7;0;0;0;3;0;0
Nord Ovest;Piemonte;CN;A016;0;0;1;0;0;0;0;0;0
Sud;Basilicata;MT;A017;0;1;7,75;0;0;0;0;0;0
Sud;Abruzzo;AQ;A018;0;0;0;0;0;0;0;0;0
Centro;Lazio;RI;A019;0;0;0;0;0;0;0;0;0
Sud;Basilicata;PZ;A020;0;0;4,34;0;0;0;0;1;0
Sud;Campania;SA;A023;0;1;2;0;0;0;0;0;0
Sud;Campania;NA;A024;2;20,5;46,08;0;0;0;0;4;0
Isole;Sicilia;CT;A025;1;2;1,67;0;0;0;0;0;0
Isole;Sicilia;CT;A026;1;2;17,32;0;0,08;0;1;0;0
Isole;Sicilia;CT;A027;0;9,31;14,89;0;0;0;0;0;0
Isole;Sicilia;CT;A028;0;33,71;64,61;0;0;0;1;2,08;0
Isole;Sicilia;CT;A029;1;4;24,23;0;0;0;0;1;0
Centro;Lazio;FR;A032;0;0;0;0;0;0;0;0;0
Sud;Calabria;CS;A033;0;0;0;0;0;0;0;0;0
Nord Ovest;Lombardia;BS;A034;0;1;0;0;0;0;1;1;1
Centro;Marche;PS;A035;0;1;6,5;0;0;0;0;3;2
Nord Ovest;Lombardia;MN;A038;0;2;0,76;0;0;0;0;1;0
Nord Ovest;Lombardia;CR;A039;0;0;0;0;0;0;0;2;0
Centro;Lazio;VT;A040;0;0;19,42;0;0;0;0;1;4
Sud;Calabria;CS;A041;0;0;0;0;1;0;0;0;0
Sud;Puglia;LE;A042;1;3;4,5;0;0;0;0;0;0
Sud;Calabria;VV;A043;0;0;3;0;0;0;0;0;0
Centro;Marche;AP;A044;0;2;1,5;0;0;0;0;1;0
Centro;Umbria;TR;A045;0;1;5,2;0;0;0;0;0;0
Centro;Marche;AP;A047;0;0;7,5;0;0;0;0;1;0
Sud;Puglia;BA;A048;0,83;5;33,67;0;0;1;0;2,5;3
Isole;Sicilia;CL;A049;0;0;4;0;0;0;0;0;0
Sud;Molise;CB;A050;0;1;1;0;0;0;0;0;0
Sud;Molise;IS;A051;0;0;0;0;0;0;0;0;0
Nord Ovest;Piemonte;AL;A052;1,5;16;19,54;0;0;1;1;0,3;0
Sud;Calabria;CS;A053;1;4,5;20,33;0;0;0;0;0;0
Centro;Lazio;FR;A054;0;0;1;0;0;0;0;0;0
Sud;Puglia;BA;A055;1;2;27,5;0;0;0;0;6;0
Isole;Sicilia;CT;A056;0;17,15;42,63;0;0;0;0;0;0
Nord Ovest;Lombardia;BG;A057;1;1;4,34;0;0;0;0;4;0
Nord Ovest;Lombardia;BG;A058;0;0;0,17;0;0;0;0;0;0
Nord Est;Veneto;RO;A059;5,5;11,5;21;0;0;0;0;3,03;0
Nord Ovest;Lombardia;BS;A060;8;2,04;7,6;0;0;0;1;7,11;0
Nord Est;Veneto;VR;A061;3;2;2;0;0;0;0;2;0
Centro;Lazio;RM;A062;0;1;1,17;0;0;0;0;0;0
Sud;Campania;NA;A064;0;23,38;41,4;0;0;0;0,2;4;0
Sud;Calabria;RC;A065;0;0;0;0;0;0;0;0;0
Nord Est;Emilia-Romagna;PC;A067;0,5;3;8,17;0;0;0;0;0;6,84
Sud;Campania;NA;A068;0;0;8,5;0;0;0;0;3;0
Isole;Sardegna;SS;A069;0;0;3,17;0;0;0;0;0;0
Isole;Sicilia;EN;A070;0;5;10,88;0;0;0;0;2;0
Centro;Toscana;PT;A071;1;7,25;9,44;0;0;0;0;3;0
Nord Ovest;Piemonte;AT;A072;0;1;0;0;0;0;0;0;0
Nord Ovest;Piemonte;TO;A074;0;0;5;0;0;0;3;1;0
Nord Est;Veneto;PD;A075;0;2;2,36;0;0;0;3;1;0,77
Nord Ovest;Lombardia;CR;A076;0;1;3;0;0;0;0;0;0
Sud;Calabria;RC;A077;0;0;0;0;0;0;0;0;0
Sud;Molise;IS;A080;0;1;6,42;0;0;0;0;2;0
Centro;Lazio;FR;A081;0;0;0;0;0;0;0;0;0
Nord Ovest;Lombardia;BS;A082;0;1;4,55;0;0;0;0;2;0
Nord Est;Veneto;BL;A083;1;5;8,5;0;0;0;0;0,09;0
Centro;Lazio;RM;A084;0;0;0,75;0;0;0;0;0;0
Nord Ovest;Lombardia;VA;A085;0;0;0;0;0;0;0;0;0
Nord Ovest;Lombardia;MI;A087;10;6;9;0;0;0;1;5;0
Nord Ovest;Piemonte;NO;A088;0;0;1;0;0;0;0;0;0
Isole;Sicilia;AG;A089;7;18,91;46,14;0;0;0;0;4;0
Sud;Campania;SA;A091;2;12;18,33;0;0;0;2;1;0
Centro;Marche;AN;A092;0;2;11;0;0;0;1;0;0
Nord Est;Veneto;VI;A093;0;0;4,33;0;0;0;0;1;0
Nord Ovest;Valle d'Aosta;AO;A094;0;1;6,94;0;3,21;0;0;0;0
Nord Ovest;Lombardia;MI;A096;0;1;5,44;0;0;0;0;0;0
Isole;Sardegna;OR;A097;0;0;1;0;0;0;0;0;0
Isole;Sicilia;EN;A098;0;2;6,92;0;0;0;0;0;0
Sud;Abruzzo;AQ;A100;0;0;2;0;0;0;0;0;0
Sud;Campania;AV;A101;0;0;4,75;0;0;0;0;0;0
Sud;Calabria;CS;A102;0;0;1;0;0;0;0;1;0
Sud;Calabria;CS;A105;0;0;0;0;0;0;0;0;0
Sud;Campania;CE;A106;0;0;0;0;0;0;0;0;0
Nord Ovest;Piemonte;BI;A107;0;0;3;0;0;0;0;0;0
Nord Ovest;Valle d'Aosta;AO;A108;0;0,33;3;0;0;0;0;0;0
Nord Ovest;Piemonte;TO;A109;0;3;5;0;0;0;0;2;0
Sud;Campania;BN;A110;0;3;10,16;0;0;0;0;0;0
Nord Ovest;Liguria;IM;A111;0;0;3;0;0;0;0;0;0
Nord Ovest;Lombardia;LC;A112;0;1;3;0;0;0;0;2;0
Nord Ovest;Piemonte;CN;A113;0;0,5;1,5;0;0;0;0;0,5;0
Isole;Sardegna;SS;A115;0;0;0;0;0;0;0;0;0
Nord Ovest;Piemonte;TO;A117;0;0;2;0;0;0;0;0;0
Nord Ovest;Lombardia;PV;A118;0;0;0;0;0;0;0;1;0
Nord Ovest;Piemonte;VC;A119;0;0,25;0;0;0;0;0;0,03;0
Sud;Abruzzo;PE;A120;0;0;2;0;0;0;0;1;2
Nord Est;Veneto;BL;A121;0;0;6,33;0;0;0;0;1;0
Nord Ovest;Liguria;SV;A122;0;13,5;13,95;0;1,5;0;1;0;0
Centro;Lazio;FR;A123;1;8;9,99;0;0;0;1;0;0
Nord Ovest;Piemonte;CN;A124;19;13,33;44,05;1;0;0;0;5;0
Sud;Abruzzo;TE;A125;0,5;17,17;5,5;0;0;0;3,33;0;0
Isole;Sardegna;OR;A126;0;0;1;0;0;0;0;0;0
Nord Ovest;Lombardia;MI;A127;2;1,5;2;0;0;0;0;2;0
Sud;Campania;SA;A128;0;3;6;0;0;0;0;0;0
Nord Ovest;Lombardia;BG;A129;2;1;7,5;0;0;0;0;5,02;0
Nord Ovest;Piemonte;VC;A130;0;0;2,25;0;0;0;0;0;0
Sud;Basilicata;PZ;A131;0;0;2;0;0;0;0;0;0
Centro;Lazio;RM;A132;1,5;22,5;34,17;0;0;0;0;7;0
Nord Ovest;Lombardia;PV;A134;0;0;0;0;0;0;0;0;1
Nord Ovest;Lombardia;SO;A135;0;0;1,56;0;0;0;0;0;0
Nord Est;Veneto;VR;A137;0;3,17;10,67;0;0;1;0;5;1
Nord Est;Emilia-Romagna;PR;A138;0;0;2,58;0;0;0;0;0;1
Nord Ovest;Piemonte;CN;A139;0;0;1;0;0;0;0;0;0
Nord Ovest;Lombardia;CO;A143;0;5;11;0;0;0;1;1,1;0
Nord Ovest;Liguria;SV;A145;4;10;15,17;0;0;0;7;1;1,5
Nord Ovest;Piemonte;AL;A146;0;0;0;0;0;0;0;0;0
Sud;Puglia;BA;A149;0;7,5;25,5;0;1;0;1;1;0
Sud;Puglia;FG;A150;0;0;2;0;0;0;0;1;0
Nord Ovest;Lombardia;CO;A153;1;1;5;0;0;0;0;0;0
Nord Est;Veneto;VI;A154;0;0;1,33;0;0;0;0;1;0,67
Sud;Calabria;CZ;A155;0;2;3,33;0;0;0;0;0;0
Nord Ovest;Piemonte;TO;A157;0;0;2;0;0;0;0;0;1
Nord Ovest;Lombardia;MI;A159;0;1;1,42;0;0;0;0;0,03;0
Sud;Calabria;CS;A160;0;1;0;0;0;0;0;0;0
Nord Est;Veneto;PD;A161;4,5;12,62;11;0;0;0;7;6,66;0
Nord Est;Emilia-Romagna;RE;A162;1,5;3;5;0;0;0;1;9;0,5
Nord Ovest;Lombardia;BG;A163;3,66;8;11,22;0;0;0;1;5,14;0
Nord Ovest;Lombardia;CO;A164;0;0;4;0;0;0;0;2,03;0
Nord Ovest;Liguria;SV;A165;0;5;0;0;0;0;2;0,13;0
Nord Ovest;Liguria;SV;A166;0;2,6;12,25;0;0;0;1;0;0
Nord Ovest;Lombardia;VA;A167;0;1;5;0;0;0;0;5,06;0
Nord Ovest;Lombardia;PV;A171;0;0,67;0;0;0;0;0;0;0
Nord Ovest;Lombardia;SO;A172;0;0;15,16;0;0;0;0;0;0
Nord Ovest;Piemonte;AT;A173;0;0;4;0;0;0;0;0;0
Nord Ovest;Lombardia;PV;A175;0;1,5;6;0;0;0;0,5;0;1
Isole;Sicilia;TP;A176;2;13,5;63,17;0;0;0;0;1;0
Isole;Sicilia;ME;A177;0;0;2;0;0;0;0;0;0
Isole;Sardegna;OR;A180;0;1;0;0;0;0;0;0;0
Isole;Sicilia;AG;A181;0;0;2,22;0;0;0;0;0;0
Nord Ovest;Piemonte;AL;A182;16,25;55,58;63,92;0;0;0;7;29,44;1
Sud;Calabria;CS;A183;0;0;1;0;0;0;0;0;0
Sud;Puglia;LE;A184;0;1;14,5;0;0;0;0;0;0
Sud;Puglia;LE;A185;0;3,33;4,5;0;0;0;0;0;1
Sud;Campania;SA;A186;0;0;0,13;0;0;0;0;0;0
Sud;Abruzzo;AQ;A187;0;0;1,04;0;0;0;0;0;0
Nord Ovest;Lombardia;BS;A188;0;0;2;0;0;0;0;0;0
Nord Ovest;Piemonte;AL;A189;0;0;2;0;0;0;0;0;0
Nord Est;Emilia-Romagna;RA;A191;1;4,22;7,55;0;0;0;0,08;9;2,5
Isole;Sardegna;SS;A192;3;20;52,41;0;0;0;0;1;1
Nord Ovest;Lombardia;BG;A193;0;0;1,5;0;0;0;0;0;0
Isole;Sicilia;ME;A194;0;0;1,5;0;0;0;0;0;0
Isole;Sicilia;PA;A195;0;1;7,48;0;0;0;0;0;0
Sud;Basilicata;MT;A196;0;0;2;0;0;0;0;0;0
Nord Ovest;Piemonte;AL;A197;0;0;1;0;0;0;0;0;0
Nord Ovest;Piemonte;VC;A198;0;0;5;0;0;0;1;0;2
Nord Ovest;Piemonte;TO;A199;0;0;0;0;0;0;0;0;0
Sud;Campania;CE;A200;0;1,5;4,5;0;0;0;0;0;0
Isole;Sicilia;ME;A201;0;0;2,5;0;0;0;1;0;0
Isole;Sicilia;PA;A202;0;3;3,1;0;0;0;0;0;0
Isole;Sicilia;PA;A203;0;0;0;0;0;0;0;0;0
Isole;Sardegna;OR;A204;0;0;0;0;0;0;0;0;1
Nord Ovest;Valle d'Aosta;AO;A205;0;0;0;0;0;0;0;0;0
Nord Est;Veneto;BL;A206;0;1;2;0;0;0;0;0;0
Centro;Umbria;TR;A207;0;0;5;0;0;0;0;0;0
Sud;Puglia;LE;A208;0;2;6;0;0;0;0;0;0
Centro;Lazio;RM;A210;0;0;1;0;0;0;0;0;0
Nord Ovest;Lombardia;BG;A214;0;6;5;0;0;0;0;1;0
Nord Ovest;Lombardia;BG;A215;0;3,5;8,07;0;0,42;0;1,25;0,07;0
Nord Ovest;Lombardia;BG;A216;1;1;5,88;0;0;0;0;0;0
Nord Ovest;Lombardia;BG;A217;1,5;6;8;0;0;0;0;0;0
Nord Ovest;Piemonte;TO;A218;0;3;12,08;0;0;0;0;2;1,5
Nord Est;Veneto;VI;A220;0;0;6,95;0;0;0;0;2;0
Nord Ovest;Piemonte;TO;A221;0;0;0;0;0;0;0;0;0
Nord Ovest;Piemonte;TO;A222;3;4;16,2;0;0;0;0;13;0
Nord Est;Emilia-Romagna;PC;A223;0;1,5;5,5;0;0;0;0;6;0
Nord Ovest;Lombardia;CO;A224;1;0;2;0;0;0;0;1;0
Sud;Puglia;BA;A225;14;37,08;79,82;0;1;0;0;18;4
Nord Ovest;Liguria;SV;A226;0;0;1;0;0;0;0;0;0
Nord Ovest;Piemonte;AL;A227;0;0;0;0;0;0;0;0;1
Sud;Campania;AV;A228;0;2;5,65;0;0;0;0;0;0
Isole;Sicilia;PA;A229;0;1;8,39;0;0;0;0;0;0
Sud;Campania;SA;A230;1;2,34;9;0;0;0;0;2;3
Nord Est;Veneto;VI;A231;3;4;5,66;0;0;0;5;6,35;0
Centro;Marche;AP;A233;0,5;0;1,33;0;0;0;1;0;0
Sud;Calabria;CS;A234;0;0;0;0;0;0;0;0;0
Sud;Abruzzo;CH;A235;2;4;0;0;0;0;1;0;0
Nord Est;Veneto;VI;A236;0;0;7;0;0;0;0;0;2
Nord Est;Veneto;TV;A237;0;7;10,75;0;0;0;0;2;0,33
Nord Ovest;Piemonte;CN;A238;0;0;1;0;0;0;0;0;0
Isole;Sicilia;PA;A239;2;3;7,59;0;0;0;0;0;0
Sud;Calabria;CS;A240;0;1;3;0;0;0;0;0;0
Centro;Toscana;LU;A241;2;1,33;15,79;0;0;0;1;0;0
Centro;Umbria;TR;A242;0;1;0;0;0;0;0;0;0
Sud;Campania;CE;A243;0;2,75;7,75;0;0;0;1;0;0
Centro;Lazio;FR;A244;0;1,5;1;0;0;0;0;1;0
Nord Ovest;Piemonte;AL;A245;0;0;2;0;0;0;0;0;0
Nord Ovest;Lombardia;BG;A246;5;7;10,26;0;0;0;0;3,17;0
Nord Ovest;Lombardia;CO;A249;0;1;3,5;0;0;0;0;2;0
Sud;Campania;SA;A251;0;1,17;6,58;0;2;0;0;1;0
Centro;Marche;AP;A252;0;7;5;0;0;0;0;1;0
Sud;Calabria;CS;A253;1;3,66;6,5;0;0;0;2;0;0
Nord Est;Friuli- Venezia Giulia;UD;A254;0;0;1;0;0;0;0;1;0
Sud;Calabria;CZ;A255;0;1;0;0;0;0;0;0;0
Centro;Lazio;FR;A256;0;0;0;0;0;0;0;0;0
Sud;Calabria;CZ;A257;0;0;0;0;0;0;0;1;0
Centro;Lazio;RI;A258;0;0;1,11;0;0;0;0;0;0
Nord Ovest;Lombardia;BG;A259;0;0;2;0;0;0;0;0,14;0
Nord Ovest;Liguria;SP;A261;0;1,25;9,39;0;1;0;0;0;1
Centro;Umbria;TR;A262;2;6,1;12,69;0;0;0;1;0;3
Sud;Calabria;CS;A263;0;1;3,81;0;0;0;0;0;0
Nord Ovest;Piemonte;NO;A264;0;0;1;0;0;0;0;0;0
Sud;Campania;BN;A265;0;1;1;0;0;0;0;0;0
Nord Est;Friuli- Venezia Giulia;UD;A267;0;1;1;0;0;0;0;1;0
Sud;Campania;NA;A268;0;0;1;0;0;0;0;0;0
Centro;Lazio;FR;A269;1;8;12,02;0;0;0;0;4;0
Sud;Abruzzo;TE;A270;1;1;4;0;0;0;0;2;0
Centro;Marche;AN;A271;23,54;61,03;73,49;0;0;1;18;17,09;2
Sud;Calabria;CZ;A272;0;0;5;0;0;0;0;0;0
Nord Ovest;Lombardia;SO;A273;0;1;3,13;0;0;0;0;0;0
Nord Ovest;Piemonte;TO;A275;0;0;8;0;0;0;0;3;0
Nord Ovest;Liguria;SV;A278;0;2;12;0;0;0;2,01;0;0
Nord Ovest;Piemonte;BI;A280;0;2,66;4,33;0;0;0;0;0;0
Sud;Puglia;LE;A281;0;0;1,5;0;0;0;0;0;0
Nord Ovest;Piemonte;TO;A282;0;0;2,33;0;0;0;0;0;1
Nord Est;Friuli- Venezia Giulia;PN;A283;0;0;0;0;0;0;0;0;0
Sud;Campania;AV;A284;0;0;1;0;0;0;0;2;0
Sud;Puglia;BA;A285;5;52,67;119,76;0;0;0;6;7,12;1
Isole;Sardegna;SS;A287;0;0;1;0;0;0;0;0;0
Nord Ovest;Lombardia;BS;A288;0;0;0,04;0;0;0;0;0;0
Nord Ovest;Lombardia;VA;A290;4;2;8;0;0,33;0;0,33;4,01;0
Centro;Toscana;AR;A291;0;4;16,6;0;0;0;0;2;0
Nord Est;Veneto;VR;A292;0;0;1;0;0;0;0;1;0
Nord Ovest;Lombardia;BS;A293;0;1;4;0;0;0;0;0;0
Sud;Campania;SA;A294;9;18;15,5;0;0;0;0;1;0
Nord Ovest;Piemonte;TO;A295;0;0;3,83;0;0;0;0;0;0
Nord Est;Veneto;PD;A296;0;0;5,89;0;0;0;0;0;0
Centro;Lazio;RM;A297;0,05;4;11;0;1;0;0;0;1
Nord Ovest;Lombardia;CR;A299;0;1;1;0;0;0;0;0;0
Nord Ovest;Piemonte;AT;A300;0;0;2;0;0;0;0;0;0
Nord Ovest;Lombardia;LC;A301;0;0;0;0;0;0;2;2;0
Nord Est;Veneto;VE;A302;0;3;7;0;0;0;0;1;1
Sud;Calabria;RC;A303;0;0;2;0;0;0;0;0;0
Nord Ovest;Lombardia;BG;A304;4;1;5;0;0;0;0;8;3,67
Nord Ovest;Valle d'Aosta;AO;A305;0;0;1;0;0;0;0;0;0
Nord Ovest;Valle d'Aosta;AO;A308;0;0;0,2;0;0;0;0;1;1
Centro;Lazio;RM;A309;0;1;0,89;0;0;0;0;0;0
Centro;Lazio;FR;A310;1;4;4,5;0;1;0;0;0;0
Nord Ovest;Piemonte;AT;A312;0;1;6;0;0;0;0;0;0
Isole;Sicilia;ME;A313;0;1;4;0;0;0;0;0;0
Sud;Calabria;RC;A314;0;0;0;0;0;0;0;0;0
Centro;Lazio;RI;A315;0;0;1;0;0;0;0;0;0
Nord Ovest;Piemonte;VB;A317;0;0;5;0;0;0;0;0;0
Sud;Abruzzo;AQ;A318;0;0;1;0;0;0;0;0;0
Nord Ovest;Lombardia;CO;A319;0;0;0;0;0;0;0;1;0
Sud;Puglia;FG;A320;0;0;2;0;0;0;0;0;0
Sud;Basilicata;PZ;A321;0;0;5;0;0;0;0;0;0
Centro;Lazio;RM;A323;2;27,33;36,32;0;0;0;0;4,25;0
Nord Est;Emilia-Romagna;BO;A324;3;2;3;0;0;0;1;12;0
Nord Ovest;Piemonte;VB;A325;0;0;1,88;0;0;0;0;0;0
Nord Ovest;Valle d'Aosta;AO;A326;7;22,5;25,16;0;0;1;3;0;1
Centro;Marche;PS;A327;0;1,75;5;0;0;0;0;0;0
Sud;Campania;BN;A328;0;3;5;0;0;0;1;1;0
Centro;Marche;MC;A329;0;0;8,83;0;0;0;0;4;1
Sud;Campania;BN;A330;0;0;0;0;0;0;0;0;0
Nord Ovest;Lombardia;CO;A333;2;3;14;0;0;0;0;0;0
Centro;Marche;MC;A334;0;1;1,83;0;0;1;1;4;0
Centro;Marche;AP;A335;0;0;1;0;0;0;0;1;0
Nord Ovest;Lombardia;SO;A337;0;1;3,5;0;0;0;0;0;0
Nord Ovest;Liguria;IM;A338;0;0;3;0;0;0;0;0;0
Sud;Puglia;FG;A339;0;1;12,47;0;0;0;0;1,5;4
Sud;Calabria;CS;A340;0;0;0;0;0;0;0;0;0
Centro;Lazio;LT;A341;26;26,91;79,21;0;0;0;1;13;2
Sud;Campania;SA;A343;0;0;3,33;0;0;0;0;0;1
Nord Ovest;Liguria;IM;A344;0;0;1;0;0;0;0;0;0
Sud;Abruzzo;AQ;A345;9,79;21,46;56,37;0;1;0;15;10,06;0
Sud;Campania;AV;A347;0;3;5;0;0;0;0;0;0
Centro;Lazio;FR;A348;0;0;0,83;0;0;0;0;0;0
Sud;Puglia;LE;A350;0;3;6;0;0;0;0;0;0
Isole;Sicilia;AG;A351;0;2;11,67;0;0;0;0;1;0
Nord Ovest;Piemonte;AT;A352;0;0;0,33;0;0;0;0;0;0
Nord Est;Friuli- Venezia Giulia;PN;A354;0;0;5;0;0;0;0;0;0
Isole;Sardegna;NU;A355;2;5;7;0;0;1;0;2;0
Isole;Sardegna;OR;A357;0;3;0;0;0;0;0;0;1,83
Nord Ovest;Piemonte;VC;A358;0;0;7,5;0;0;0;0;0;0
Isole;Sardegna;CA;A359;0;4,84;6,22;0;0;0;0;0;1
Nord Est;Veneto;TV;A360;0;2;2;0;0;0;0;1;0
Centro;Lazio;FR;A363;0;2;7;0;0;0;0;0;0
Nord Ovest;Lombardia;BG;A365;0;0,5;4,17;0;0;0;0;0;0
Centro;Marche;AN;A366;0;1;3,92;0;0;0;0;0;1,33
Sud;Abruzzo;CH;A367;0;0;2,83;0;0;0;0;0;0
Isole;Sardegna;OR;A368;0;0;1,92;0;0;0;0;0;0
Centro;Toscana;GR;A369;0;0;10,5;0;0;0;0;1;1
Centro;Lazio;RM;A370;0;0;1;0;0;0;0;1;0
Nord Ovest;Lombardia;VA;A371;1;2,17;10;0;0;0;0;3;0
Nord Ovest;Liguria;SP;A373;3;3;3,5;0;0;0;0;4;0
Nord Est;Veneto;VR;A374;1,5;0;16,78;0;0;0;0;4;2
Nord Ovest;Lombardia;MI;A375;0;1;5;0;0;0;1;1,3;0
Nord Ovest;Lombardia;MI;A376;2;5,5;14,5;0;1;0;2;7,17;0
Nord Est;Veneto;VI;A377;1;4;8,73;0;0;0;1;1,02;0
Isole;Sardegna;SS;A379;0;0;1;0;0;0;0;0;2
Isole;Sardegna;OR;A380;0;0;2,67;0;0;0;0;0;0
Nord Ovest;Lombardia;SO;A382;0;2;7,66;0;0;0;0;0,5;0
Nord Ovest;Lombardia;BG;A383;0;3;7,58;0;0;0;0;0,05;0
Sud;Calabria;RC;A385;0;2;2;0;0;0;0;0;0
Sud;Calabria;VV;A386;0;0;0;0;0;0;0;0;0
Nord Ovest;Lombardia;PV;A387;0;0;8;0;0;0;0;2;0
Nord Ovest;Liguria;GE;A388;0;3;6,14;0;0;0;0;8;0
Nord Ovest;Lombardia;MI;A389;4;10;5,86;0;0;0;2;4;0
Centro;Toscana;AR;A390;36,83;113,29;92,98;0;0;0;6;8,03;0
Nord Ovest;Lombardia;CO;A391;0;1,5;2;0;0;0;0;0;0
Nord Est;Emilia-Romagna;BO;A392;6;3;5;0;0;0;10;6;0
Nord Est;Emilia-Romagna;FE;A393;4;4,33;27,33;0;0;0;0;4;11,5
Nord Ovest;Piemonte;CN;A394;0;0;2;0;0;0;0;0;0
Nord Ovest;Piemonte;CN;A396;0;0;5;0;0;0;0;0;0
Sud;Calabria;CZ;A397;0;0;1;0;0;0;0;0;0
Sud;Abruzzo;CH;A398;0;0;2;0;0;0;0;0;0
Sud;Campania;AV;A399;0,89;9;29,33;0;0;0;0;0;0
Nord Est;Veneto;RO;A400;0;2;1,67;0;0;0;0;0;3
Centro;Lazio;RM;A401;0;14;27,08;0;0;0;0;12;3
Sud;Abruzzo;CH;A402;0;0;1;0;0;0;0;0;0
Sud;Campania;CE;A403;0;0;6;0;0;0;1;0;0
Nord Ovest;Piemonte;TO;A405;0;0;1;0;0;0;0;0;0
Isole;Sardegna;NU;A407;0;0,75;3;0;1;0;0;0;0
Nord Ovest;Piemonte;VB;A409;0;0;0;0;0;0;0;0;0
Centro;Lazio;VT;A412;0;0;4,75;0;0;0;0;0;0
Nord Ovest;Lombardia;MI;A413;1;2;6,16;0;0;0;0;4;0
Nord Ovest;Piemonte;NO;A414;0;0;10,5;0;0;0;0;0;0
Sud;Basilicata;PZ;A415;0;1;2;0;0;0;0;0;0
Nord Ovest;Liguria;IM;A418;0;0;0;0;0;0;0;0;0
Isole;Sardegna;CA;A419;0;0;1,5;0;0;0;0;0;0
Centro;Lazio;FR;A421;0;0;0;0;0;0;0;0;0
Nord Ovest;Liguria;SV;A422;0;0;1;0;0;0;0;0;0
Nord Ovest;Valle d'Aosta;AO;A424;0;0;3;0;0;0;0;0;0
Sud;Puglia;LE;A425;0;1;2,33;0;0;0;0;1;0
Nord Ovest;Piemonte;VB;A427;0;0;2;0;0;0;0;0;0
Nord Ovest;Piemonte;NO;A429;1;7;11;0;0;0;1;0;0
Nord Ovest;Lombardia;CO;A430;1;4;3,15;0;0;0;0;0;0
Sud;Campania;BN;A431;0;0;0;0;0;0;0;0;0
Sud;Campania;BN;A432;0;0;1,44;0;0;0;0;0,22;0
Centro;Lazio;FR;A433;0;2;3;0;0;0;0;0;0
Nord Est;Veneto;PD;A434;0;0;2,67;0;0;0;0;0;0
Nord Est;Veneto;RO;A435;1;1;3;0;0;0;0;1;1
Nord Ovest;Piemonte;AL;A436;3;1;2;0;0;0;2;9;0
Centro;Marche;AP;A437;0;0;2;0;0;0;0;1;0
Nord Est;Veneto;PD;A438;0;0,17;7;0;0;0;0;0;0
Centro;Umbria;TR;A439;0;3;5;0;0;0;1;0;0
Nord Ovest;Lombardia;BG;A440;1;1;1,5;0;0;0;0;0;0
Nord Ovest;Lombardia;VA;A441;4;1;5;0;0;0;2;6,05;0
Nord Est;Veneto;BL;A443;0;1;3;0;0;0;0;3;0
Nord Est;Veneto;VI;A444;0;0;5,54;0;0;0;0;0;0
Sud;Abruzzo;TE;A445;0;0;0;0;0;0;0;0;0
Centro;Lazio;RM;A446;0;0,39;0,5;0;0;0;0;0;0
Nord Est;Friuli- Venezia Giulia;UD;A447;0;0;3,5;0;0;0;0;3;0
Nord Est;Friuli- Venezia Giulia;UD;A448;0;0;1;0;0;0;0;1;0
Centro;Lazio;RM;A449;0;2;6;0;0;0;0;0;0
Nord Ovest;Lombardia;BS;A451;1;4;1,17;0;0;0;0;1;0
Nord Ovest;Valle d'Aosta;AO;A452;0;0;6;0;0;0;0;0;0
Isole;Sardegna;SS;A453;0;15;10,65;0;1,02;0;1;2;0
Isole;Sardegna;NU;A454;0;2;0;0;0;0;0;0;0
Sud;Campania;NA;A455;1;7,33;12,03;0;0;0;0;7;0
Nord Est;Veneto;PD;A458;1;3;8,33;0;0;0;0,5;2;0
Nord Est;Veneto;VI;A459;8;8,86;13,27;0;0;0;0,17;8,5;0
Sud;Campania;SA;A460;1;3,5;12;0;16;0;0;1;0
Centro;Toscana;SI;A461;0;2,5;17,53;0;0;0;0;1;1
Centro;Marche;AP;A462;15,17;22,33;33,72;0;1;0;1;14,03;1
Sud;Puglia;FG;A463;0;1;17,72;0;0;0;0;2;1
Centro;Lazio;RI;A464;0;0;0;0;0;0;0;0;0
Nord Est;Veneto;VI;A465;1;16,25;7;0;1;0;0;0;0
Nord Ovest;Piemonte;VC;A466;0;0;3;0;0;0;0;0;1
Nord Est;Veneto;VI;A467;0;0;10,5;0;0;0;0;1;1
Centro;Toscana;SI;A468;2;2;13,39;0;0;0;0;2;0
Nord Ovest;Lombardia;MN;A470;3,5;0;3;0;0;0;0;2;2
Nord Est;Veneto;TV;A471;4;14;8;0;0;0;1;0,17;2
